"Jahr";"Monat";"Anzahl Arbeitslose - gesamt";"Anzahl Arbeitslose - Frauen";"Anzahl Arbeitslose - 15- bis unter 25 Jahre";"Anzahl Arbeitslose - 55- bis unter 65 Jahre";"Anzahl Arbeitslose- Langzeitarbeitslose";"Anzahl Arbeitslose - Schwerbehinderte";"Anzahl Arbeitslose - Ausländer";"Arbeitslosenanteil - Frauen";"Arbeitslosenanteil - Langzeitarbeitslose";"Arbeitslosenanteil - Ausländer";"ALO-Quote: alle ziv. EP - gesamt";"ALO-Quote: alle ziv. EP - Männer";"ALO-Quote: alle ziv. EP - Frauen";"ALO-Quote: alle ziv. EP - 15- bis unter 25-Jahre";"ALO-Quote: alle ziv. EP - 55- bis unter 65-Jahre";"ALO-Quote: alle ziv. EP - Ausländer";"ALO-Quote: alle abh. ziv. EP - gesamt";"UB: Personen im weiteren Sinne arbeitslos";"UB: Arbeitslosigkeit im weiteren Sinne";"UB: Personen nahe am Arbeitslosenstatus";"UB: Unterbeschäftigung im engeren Sinne";"UB: Personen weit weg vom Arbeitslosenstatus";"UB: Unterbeschäftigung im weiteren Sinne";"Unterbeschäftigungsquote";"Bestand offene Arbeitsstellen"
"2011";"01 ";30392;13447;3495;4905;10476;1239;2076;44;35;7;12;12;11;11;13;21;13;1502;31894;3672;35566;1419;36985;14;2049
"2011";"02 ";30194;13267;3545;4864;10361;1258;2087;44;34;7;12;12;11;12;13;21;13;1573;31767;3495;35262;1387;36649;14;2305
"2011";"03 ";29426;12957;3389;4805;10218;1258;1982;44;35;7;11;12;10;11;13;20;12;1441;30867;3463;34330;1384;35714;13;2405
"2011";"04";28228;12649;3198;4614;10017;1233;1940;45;36;7;11;11;10;10;12;20;12;1470;29698;3767;33465;1409;34874;13;2492
"2011";"05";26773;12102;2898;4489;9785;1220;1893;45;37;7;10;11;10;10;11;18;11;1584;28357;6096;34453;1385;35838;13;2494
"2011";"06";25662;11702;2721;4290;9557;1213;1862;46;37;7;10;10;9;9;11;18;11;1462;27124;6272;33396;1380;34776;13;2520
"2011";"07";26167;12145;3211;4279;9534;1249;1871;46;36;7;10;10;10;11;11;18;11;1448;27615;6148;33763;1358;35121;13;2596
"2011";"08";25926;12141;3368;4269;9418;1207;1784;47;36;7;10;10;10;11;11;17;11;1605;27531;6037;33568;1339;34907;13;2489
"2011";"09";24807;11555;2900;4231;9151;1174;1752;47;37;7;9;10;9;10;11;17;10;1782;26589;5800;32389;1366;33755;13;2524
"2011";"10";24355;11306;2449;4299;9039;1197;1771;46;37;7;9;9;9;8;11;17;10;1840;26195;5591;31786;1361;33147;12;2492
"2011";"11";23761;10814;2196;4298;8928;1177;1714;46;38;7;9;9;9;7;11;17;10;1861;25622;5583;31205;1385;32590;12;2491
"2011";"12";23906;10652;2183;4335;9065;1175;1779;45;38;7;9;10;8;7;11;17;10;1754;25660;5304;30964;1348;32312;12;2297
"2012";"01 ";25938;11406;2459;4596;9314;1224;1864;44;36;7;10;10;9;8;12;18;11;1677;27615;5048;32663;1283;33946;13;2315
"2012";"02 ";26177;11317;2586;4539;9238;1244;1889;43;35;7;10;11;9;8;12;18;11;1629;27806;5261;33067;1254;34321;13;2389
"2012";"03 ";25770;11115;2619;4459;9205;1261;1896;43;36;7;10;11;9;9;11;18;11;1688;27458;5288;32746;1205;33951;13;2493
"2012";"04";25132;11031;2494;4369;9136;1267;1899;44;36;8;9;10;9;8;11;18;11;1703;26835;5351;32186;1078;33264;12;2520
"2012";"05";24136;10758;2303;4277;8999;1233;1809;45;37;8;9;10;8;8;10;17;10;1715;25851;5533;31384;983;32367;12;2604
"2012";"06";23466;10505;2155;4164;8890;1229;1763;45;38;8;9;9;8;7;10;16;10;1818;25284;5717;31001;913;31914;12;2699
"2012";"07";23985;10871;2372;4207;8923;1268;1749;45;37;7;9;9;8;8;10;16;10;1822;25807;5535;31342;1520;32862;12;2571
"2012";"08";24591;11195;2803;4133;9035;1266;1807;46;37;7;9;10;9;10;10;17;10;1884;26475;5360;31835;1417;33252;12;2873
"2012";"09";23682;10704;2477;4103;8942;1198;1864;45;38;8;9;9;8;8;10;17;10;1904;25586;5540;31126;1380;32506;12;2973
"2012";"10";23398;10523;2155;4141;9057;1207;1801;45;39;8;9;9;8;7;10;16;10;1975;25373;5559;30932;1384;32316;12;2786
"2012";"11";23144;10326;2056;4099;8979;1176;1771;45;39;8;9;9;8;7;10;16;10;1957;25101;5725;30826;1424;32250;12;2527
"2012";"12";23831;10405;2042;4286;9025;1211;1830;44;38;8;9;10;8;7;10;17;10;1911;25742;5423;31165;1390;32555;12;2304
"2013";"01 ";26047;11135;2240;4664;9207;1258;2015;43;35;8;10;11;9;8;11;18;11;1803;27850;5081;32931;1277;34208;12;2461
"2013";"02 ";26157;11085;2429;4672;9278;1294;2020;42;36;8;10;11;9;8;11;18;11;1856;28013;5269;33282;1180;34462;13;2496
"2013";"03 ";25841;11019;2445;4634;9186;1261;2045;43;36;8;10;11;9;8;11;19;11;1905;27746;5354;33100;1134;34234;12;2439
"2013";"04";25325;10848;2408;4516;9114;1284;2017;43;36;8;9;10;8;8;11;18;10;1936;27261;5520;32781;1114;33895;12;2365
"2013";"05";24273;10572;2210;4431;8963;1281;1955;44;37;8;9;10;8;8;11;17;10;1989;26262;5410;31672;1141;32813;12;2284
"2013";"06";23521;10326;2046;4372;8769;1283;1919;44;37;8;9;9;8;7;10;17;10;2142;25663;5394;31057;1141;32198;12;2309
"2013";"07";23446;10451;2233;4336;8649;1312;1886;45;37;8;9;9;8;8;10;17;10;2313;25759;5269;31028;1122;32150;11;2335
"2013";"08";24109;10870;2631;4312;8695;1337;1949;45;36;8;9;9;8;9;10;17;10;2239;26348;5111;31459;1172;32631;12;2472
"2013";"09";23521;10614;2311;4274;8623;1323;1960;45;37;8;9;9;8;8;10;17;10;2104;25625;5189;30814;1140;31954;11;2612
"2013";"10";22828;10219;2002;4246;8457;1322;1942;45;37;9;8;9;8;7;10;17;9;2190;25018;5258;30276;1128;31404;11;2593
"2013";"11";22694;10083;1830;4233;8409;1297;1923;44;37;9;8;9;8;6;10;17;9;2120;24814;5160;29974;1138;31112;11;2438
"2013";"12";23105;10116;1817;4363;8514;1311;1993;44;37;9;8;9;8;6;10;18;9;2056;25161;4818;29979;1166;31145;11;2396
"2014";"01 ";24841;10660;1993;4647;8783;1357;2111;43;35;9;9;10;8;7;11;19;10;1941;26782;4661;31443;1153;32596;12;2398
"2014";"02 ";24922;10626;2068;4618;8702;1353;2099;43;35;8;9;10;8;7;11;19;10;1920;26842;4750;31592;1135;32727;12;2550
"2014";"03 ";24640;10590;2037;4582;8728;1355;2077;43;35;8;9;10;8;7;11;19;10;1937;26577;4711;31288;1154;32442;12;2657
"2014";"04";24093;10533;1970;4517;8652;1374;2063;44;36;9;9;9;8;7;11;18;10;1939;26032;4841;30873;1140;32013;11;2598
"2014";"05";23623;10396;1845;4531;8765;1337;2064;44;37;9;8;9;8;7;10;16;9;1813;25436;4719;30155;1153;31308;11;2520
"2014";"06";23091;10245;1751;4500;8629;1316;2025;44;37;9;8;9;8;6;10;16;9;2037;25128;4628;29756;1165;30921;11;2751
"2014";"07";22882;10167;1769;4381;8638;1300;2001;44;38;9;8;9;8;7;16;9;9;2030;24912;4537;29449;1165;30614;11;2970
"2014";"08";23651;10554;2180;4390;8653;1291;2045;45;37;9;8;9;8;8;10;16;9;1939;25590;4270;29860;1160;31020;11;3057
"2014";"09";23020;10283;1893;4349;8490;1291;2076;45;37;9;8;9;8;7;10;16;9;1973;24993;4164;29157;1146;30303;11;3052
"2014";"10";22414;10017;1606;4307;8357;1295;2087;45;37;9;8;8;8;6;10;16;9;2046;24460;4105;28565;1106;29671;10;3106
"2014";"11";21869;9728;1442;4311;8243;1244;2065;45;38;9;8;8;7;5;10;16;9;2167;24036;4118;28154;1080;29234;10;2939
"2014";"12";22255;9744;1472;4456;8278;1275;2085;44;37;9;8;9;7;5;10;16;9;2059;24314;3767;28081;1064;29145;10;2942
"2015";"01 ";24376;10526;1584;4805;8494;1335;2296;43;35;9;9;9;8;6;11;18;10;1980;26356;3290;29646;1010;30656;11;2878
"2015";"02 ";24288;10406;1690;4722;8337;1300;2321;43;34;10;9;9;8;6;11;18;10;2018;26306;3483;29789;989;30778;11;3070
"2015";"03 ";23768;10138;1661;4604;8224;1266;2300;43;35;10;8;9;8;6;11;18;9;1955;25723;3583;29306;971;30277;11;3022
"2015";"04";23151;10025;1637;4463;8243;1256;2311;43;36;10;8;9;8;6;10;18;9;2051;25202;3470;28672;940;29612;10;3127
"2015";"05";22442;9759;1498;4353;8179;1275;2278;44;36;10;8;9;7;6;10;18;9;1953;24395;3666;28061;909;28970;10;3240
