"Jahr";"Geschlecht";"Bezugsland (M03 aus MigraPro)";"Migrationshintergrund M2 (aggregiert)";"Anzahl Einwohner"
"2013";"männlich";"Südeuropa (Italien, Vatikan, San Marino, Malta -  2016 ff.)";"Ausländer";515
"2013";"männlich";"Südeuropa (Griechenland, Zypern - 2016 ff.)";"Ausländer";294
"2013";"männlich";"Südeuropa: Türkei 163";"Ausländer";505
"2013";"männlich";"Südeuropa (Spanien, Portugal, Andora - 2016 ff.)";"Ausländer";620
"2013";"männlich";"Osteuropa: EU-Beitrittsländer 2004";"Ausländer";1583
"2013";"männlich";"Osteuropa: EU-Beitrittsländer 2007";"Ausländer";668
"2013";"männlich";"Osteuropa: Teil ehem. SU, GUS";"Ausländer";1592
"2013";"männlich";"Südosteuropa (2016 ff.)";"Ausländer";475
"2013";"männlich";"Westeuropa: EU-Länder";"Ausländer";1042
"2013";"männlich";"Westeuropa: Nicht-EU-Länder";"Ausländer";100
"2013";"männlich";"Nordafrika (2016 ff.)";"Ausländer";457
"2013";"männlich";"Mittel- und Südafrika (2016 ff.)";"Ausländer";276
"2013";"männlich";"Zentralasien (2016 ff.)";"Ausländer";158
"2013";"männlich";"Vorder- und Westasien (2016 ff.)";"Ausländer";731
"2013";"männlich";"Südasien (2016 ff.)";"Ausländer";1039
"2013";"männlich";"Ostasien (2016 ff.)";"Ausländer";1420
"2013";"männlich";"Südostasien (2016 ff.)";"Ausländer";911
"2013";"männlich";"Nordamerika (2016 ff.)";"Ausländer";329
"2013";"männlich";"Mittel- und Südamerika (2016 ff.)";"Ausländer";466
"2013";"männlich";"Pazifikraum (2016 ff.)";"Ausländer";45
"2013";"männlich";"Sonstige und ungeklärt (2016 ff.)";"Ausländer";111
"2013";"männlich";"BRD: 000 und 020";"Deutsche ohne Migrationshintergrund";241873
"2013";"männlich";"BRD: 000 und 020";"Deutsche mit Migrationshintergrund";9136
"2013";"weiblich";"Südeuropa (Italien, Vatikan, San Marino, Malta -  2016 ff.)";"Ausländer";304
"2013";"weiblich";"Südeuropa (Griechenland, Zypern - 2016 ff.)";"Ausländer";235
"2013";"weiblich";"Südeuropa: Türkei 163";"Ausländer";292
"2013";"weiblich";"Südeuropa (Spanien, Portugal, Andora - 2016 ff.)";"Ausländer";391
"2013";"weiblich";"Osteuropa: EU-Beitrittsländer 2004";"Ausländer";1983
"2013";"weiblich";"Osteuropa: EU-Beitrittsländer 2007";"Ausländer";544
"2013";"weiblich";"Osteuropa: Teil ehem. SU, GUS";"Ausländer";2425
"2013";"weiblich";"Südosteuropa (2016 ff.)";"Ausländer";330
"2013";"weiblich";"Westeuropa: EU-Länder";"Ausländer";706
"2013";"weiblich";"Westeuropa: Nicht-EU-Länder";"Ausländer";77
"2013";"weiblich";"Nordafrika (2016 ff.)";"Ausländer";169
"2013";"weiblich";"Mittel- und Südafrika (2016 ff.)";"Ausländer";153
"2013";"weiblich";"Zentralasien (2016 ff.)";"Ausländer";227
"2013";"weiblich";"Vorder- und Westasien (2016 ff.)";"Ausländer";422
"2013";"weiblich";"Südasien (2016 ff.)";"Ausländer";429
"2013";"weiblich";"Ostasien (2016 ff.)";"Ausländer";1316
"2013";"weiblich";"Südostasien (2016 ff.)";"Ausländer";1103
"2013";"weiblich";"Nordamerika (2016 ff.)";"Ausländer";265
"2013";"weiblich";"Mittel- und Südamerika (2016 ff.)";"Ausländer";427
"2013";"weiblich";"Pazifikraum (2016 ff.)";"Ausländer";35
"2013";"weiblich";"Sonstige und ungeklärt (2016 ff.)";"Ausländer";54
"2013";"weiblich";"BRD: 000 und 020";"Deutsche ohne Migrationshintergrund";250230
"2013";"weiblich";"BRD: 000 und 020";"Deutsche mit Migrationshintergrund";9347
