"Jahr";"Stadtraum";"Zeitfenster";"Anteil Benotung ""sehr gut""";"Anteil Benotung ""gut""";"Anteil Benotung ""teils/teils""";"Anteil Benotung ""schlecht""";"Anteil Benotung ""sehr schlecht""";"Anteil Benotung ""nicht beurteilt"""
"1995";"01 StB Altstadt ohne Johannstadt";"vor einem Jahr";4;16;68;8;3;2
"1995";"01 StB Altstadt ohne Johannstadt";"heute";2;53;33;10;1;1
"1995";"01 StB Altstadt ohne Johannstadt";"in einem Jahr";2;10;42;18;7;21
"1995";"02 Johannstadt";"vor einem Jahr";7;17;60;14;1;2
"1995";"02 Johannstadt";"heute";5;40;43;8;3;1
"1995";"02 Johannstadt";"in einem Jahr";3;11;43;19;2;23
"1995";"03 StB Neustadt ohne Leipziger Vorstadt";"vor einem Jahr";3;16;62;15;2;2
"1995";"03 StB Neustadt ohne Leipziger Vorstadt";"heute";2;35;46;11;3;4
"1995";"03 StB Neustadt ohne Leipziger Vorstadt";"in einem Jahr";3;14;41;13;5;24
"1995";"04 Leipziger Vorstadt, Pieschen";"vor einem Jahr";1;21;65;9;2;2
"1995";"04 Leipziger Vorstadt, Pieschen";"heute";3;32;41;17;5;2
"1995";"04 Leipziger Vorstadt, Pieschen";"in einem Jahr";5;13;38;16;4;24
"1995";"05 Mickten, Kaditz, Trachau";"vor einem Jahr";3;19;60;14;3;2
"1995";"05 Mickten, Kaditz, Trachau";"heute";2;46;45;6;1;1
"1995";"05 Mickten, Kaditz, Trachau";"in einem Jahr";4;18;37;16;2;24
"1995";"06 StB Klotzsche und nördliche OS";"vor einem Jahr";3;17;58;19;2;1
"1995";"06 StB Klotzsche und nördliche OS";"heute";7;39;44;6;3;1
"1995";"06 StB Klotzsche und nördliche OS";"in einem Jahr";5;14;38;19;1;24
"1995";"07 StB Loschwitz und OS Schönfeld-Weißig";"vor einem Jahr";5;18;64;6;5;3
"1995";"07 StB Loschwitz und OS Schönfeld-Weißig";"heute";3;55;29;4;5;4
"1995";"07 StB Loschwitz und OS Schönfeld-Weißig";"in einem Jahr";2;13;40;8;7;31
"1995";"08 Blasewitz, Striesen";"vor einem Jahr";4;21;64;9;1;2
"1995";"08 Blasewitz, Striesen";"heute";2;45;44;6;2;2
"1995";"08 Blasewitz, Striesen";"in einem Jahr";2;15;42;13;3;25
"1995";"09 Tolkewitz, Seidnitz, Gruna";"vor einem Jahr";7;21;61;8;1;1
"1995";"09 Tolkewitz, Seidnitz, Gruna";"heute";4;44;41;8;3;0
"1995";"09 Tolkewitz, Seidnitz, Gruna";"in einem Jahr";5;9;36;16;5;29
"1995";"10 StB Leuben";"vor einem Jahr";3;19;63;11;2;3
"1995";"10 StB Leuben";"heute";3;46;42;6;2;2
"1995";"10 StB Leuben";"in einem Jahr";3;15;41;14;3;24
"1995";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"vor einem Jahr";3;18;63;12;2;3
"1995";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"heute";2;42;41;10;3;3
"1995";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"in einem Jahr";1;12;41;17;2;27
"1995";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"vor einem Jahr";7;20;61;9;2;2
"1995";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"heute";5;45;39;9;1;2
"1995";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"in einem Jahr";3;14;45;12;1;25
"1995";"13 Südvorstadt, Zschertnitz";"vor einem Jahr";5;21;60;8;1;5
"1995";"13 Südvorstadt, Zschertnitz";"heute";3;35;47;9;1;5
"1995";"13 Südvorstadt, Zschertnitz";"in einem Jahr";4;10;45;12;4;25
"1995";"14 Mockritz, Coschütz, Plauen";"vor einem Jahr";7;23;60;8;1;1
"1995";"14 Mockritz, Coschütz, Plauen";"heute";7;46;38;6;2;1
"1995";"14 Mockritz, Coschütz, Plauen";"in einem Jahr";3;14;38;14;2;29
"1995";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"vor einem Jahr";2;18;58;16;2;4
"1995";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"heute";1;43;45;8;0;2
"1995";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"in einem Jahr";1;19;38;14;2;28
"1995";"16 Gorbitz";"vor einem Jahr";6;17;58;16;1;3
"1995";"16 Gorbitz";"heute";2;44;43;9;1;2
"1995";"16 Gorbitz";"in einem Jahr";6;17;40;11;4;22
"1995";"17 Briesnitz und westliche OS";"vor einem Jahr";4;24;63;10;0;0
"1995";"17 Briesnitz und westliche OS";"heute";2;41;41;14;2;0
"1995";"17 Briesnitz und westliche OS";"in einem Jahr";0;9;54;12;0;26
"1995";"18 Dresden gesamt";"vor einem Jahr";4;19;62;11;2;2
"1995";"18 Dresden gesamt";"heute";3;43;41;9;2;2
"1995";"18 Dresden gesamt";"in einem Jahr";3;13;41;15;3;25
"1996";"01 StB Altstadt ohne Johannstadt";"vor einem Jahr";4;18;64;10;2;2
"1996";"01 StB Altstadt ohne Johannstadt";"heute";2;54;34;6;1;3
"1996";"01 StB Altstadt ohne Johannstadt";"in einem Jahr";1;7;42;20;5;24
"1996";"02 Johannstadt";"vor einem Jahr";3;20;65;11;1;0
"1996";"02 Johannstadt";"heute";4;46;41;6;3;0
"1996";"02 Johannstadt";"in einem Jahr";2;7;41;28;5;18
"1996";"03 StB Neustadt ohne Leipziger Vorstadt";"vor einem Jahr";6;28;57;6;2;1
"1996";"03 StB Neustadt ohne Leipziger Vorstadt";"heute";5;41;39;11;4;1
"1996";"03 StB Neustadt ohne Leipziger Vorstadt";"in einem Jahr";3;9;38;24;5;22
"1996";"04 Leipziger Vorstadt, Pieschen";"vor einem Jahr";5;21;56;15;3;2
"1996";"04 Leipziger Vorstadt, Pieschen";"heute";3;42;41;10;4;1
"1996";"04 Leipziger Vorstadt, Pieschen";"in einem Jahr";2;13;40;18;6;22
"1996";"05 Mickten, Kaditz, Trachau";"vor einem Jahr";4;20;61;12;2;2
"1996";"05 Mickten, Kaditz, Trachau";"heute";4;47;42;7;1;0
"1996";"05 Mickten, Kaditz, Trachau";"in einem Jahr";1;12;38;20;6;24
"1996";"06 StB Klotzsche und nördliche OS";"vor einem Jahr";6;16;67;7;2;2
"1996";"06 StB Klotzsche und nördliche OS";"heute";4;47;38;8;0;2
"1996";"06 StB Klotzsche und nördliche OS";"in einem Jahr";1;8;45;23;4;19
"1996";"07 StB Loschwitz und OS Schönfeld-Weißig";"vor einem Jahr";4;29;55;8;1;2
"1996";"07 StB Loschwitz und OS Schönfeld-Weißig";"heute";6;49;37;8;1;1
"1996";"07 StB Loschwitz und OS Schönfeld-Weißig";"in einem Jahr";4;11;35;20;4;27
"1996";"08 Blasewitz, Striesen";"vor einem Jahr";6;20;64;7;0;2
"1996";"08 Blasewitz, Striesen";"heute";3;52;35;8;2;0
"1996";"08 Blasewitz, Striesen";"in einem Jahr";0;11;47;17;4;21
"1996";"09 Tolkewitz, Seidnitz, Gruna";"vor einem Jahr";3;22;60;12;2;1
"1996";"09 Tolkewitz, Seidnitz, Gruna";"heute";3;44;44;7;1;1
"1996";"09 Tolkewitz, Seidnitz, Gruna";"in einem Jahr";3;8;42;20;6;21
"1996";"10 StB Leuben";"vor einem Jahr";9;24;58;8;1;0
"1996";"10 StB Leuben";"heute";3;48;39;8;2;0
"1996";"10 StB Leuben";"in einem Jahr";2;11;46;19;4;18
"1996";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"vor einem Jahr";4;22;59;12;2;2
"1996";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"heute";1;47;42;9;0;1
