"Jahr";"Grundmiete in €-Klassen";"Anteil in %"
"1995";"0,50 - 1,50 €";6
"1995";"1,51 - 2,00 €";13
"1995";"2,01 - 2,50 €";47
"1995";"2,51 - 3,00 €";14
"1995";"3,01 - 3,50 €";7
"1995";"3,51 - 4,00 €";3
"1995";"4,01 - 4,50 €";2
"1995";"4,51 - 5,00 €";1
"1995";"5,01 - 5,50 €";1
"1995";"5,51 - 6,00 €";1
"1995";"6,01 - 6,50 €";1
"1995";"6,51 - 7,00 €";1
"1995";"7,01 - 7,50 €";0
"1995";"7,51 € u.m.";4
"1996";"0,50 - 1,50 €";2
"1996";"1,51 - 2,00 €";7
"1996";"2,01 - 2,50 €";10
"1996";"2,51 - 3,00 €";26
"1996";"3,01 - 3,50 €";13
"1996";"3,51 - 4,00 €";9
"1996";"4,01 - 4,50 €";8
"1996";"4,51 - 5,00 €";5
"1996";"5,01 - 5,50 €";4
"1996";"5,51 - 6,00 €";2
"1996";"6,01 - 6,50 €";2
"1996";"6,51 - 7,00 €";2
"1996";"7,01 - 7,50 €";2
"1996";"7,51 € u.m.";8
"1998";"0,50 - 1,50 €";1
"1998";"1,51 - 2,00 €";2
"1998";"2,01 - 2,50 €";4
"1998";"2,51 - 3,00 €";11
"1998";"3,01 - 3,50 €";13
"1998";"3,51 - 4,00 €";10
"1998";"4,01 - 4,50 €";13
"1998";"4,51 - 5,00 €";10
"1998";"5,01 - 5,50 €";9
"1998";"5,51 - 6,00 €";6
"1998";"6,01 - 6,50 €";6
"1998";"6,51 - 7,00 €";5
"1998";"7,01 - 7,50 €";4
"1998";"7,51 € u.m.";6
"2002";"0,50 - 1,50 €";1
"2002";"1,51 - 2,00 €";1
"2002";"2,01 - 2,50 €";1
"2002";"2,51 - 3,00 €";8
"2002";"3,01 - 3,50 €";9
"2002";"3,51 - 4,00 €";8
"2002";"4,01 - 4,50 €";14
"2002";"4,51 - 5,00 €";17
"2002";"5,01 - 5,50 €";11
"2002";"5,51 - 6,00 €";10
"2002";"6,01 - 6,50 €";9
"2002";"6,51 - 7,00 €";5
"2002";"7,01 - 7,50 €";3
"2002";"7,51 € u.m.";2
"2005";"0,50 - 1,50 €";0
"2005";"1,51 - 2,00 €";1
"2005";"2,01 - 2,50 €";1
"2005";"2,51 - 3,00 €";4
"2005";"3,01 - 3,50 €";5
"2005";"3,51 - 4,00 €";7
"2005";"4,01 - 4,50 €";14
"2005";"4,51 - 5,00 €";18
"2005";"5,01 - 5,50 €";20
"2005";"5,51 - 6,00 €";13
"2005";"6,01 - 6,50 €";8
"2005";"6,51 - 7,00 €";5
"2005";"7,01 - 7,50 €";3
"2005";"7,51 € u.m.";3
"2007";"0,50 - 1,50 €";0
"2007";"1,51 - 2,00 €";1
"2007";"2,01 - 2,50 €";1
"2007";"2,51 - 3,00 €";3
"2007";"3,01 - 3,50 €";4
"2007";"3,51 - 4,00 €";6
"2007";"4,01 - 4,50 €";13
"2007";"4,51 - 5,00 €";21
"2007";"5,01 - 5,50 €";23
"2007";"5,51 - 6,00 €";15
"2007";"6,01 - 6,50 €";7
"2007";"6,51 - 7,00 €";4
"2007";"7,01 - 7,50 €";2
"2007";"7,51 € u.m.";2
"2010";"0,50 - 1,50 €";0
"2010";"1,51 - 2,00 €";0
"2010";"2,01 - 2,50 €";1
"2010";"2,51 - 3,00 €";2
"2010";"3,01 - 3,50 €";3
"2010";"3,51 - 4,00 €";5
"2010";"4,01 - 4,50 €";12
"2010";"4,51 - 5,00 €";18
"2010";"5,01 - 5,50 €";22
"2010";"5,51 - 6,00 €";18
"2010";"6,01 - 6,50 €";10
"2010";"6,51 - 7,00 €";6
"2010";"7,01 - 7,50 €";2
"2010";"7,51 € u.m.";2
"2012";"0,50 - 1,50 €";0
"2012";"1,51 - 2,00 €";0
"2012";"2,01 - 2,50 €";0
