"Jahr";"Stadtraum";"Eigentümer des Gebäudes";"Anteil in %"
"1993";"01 StB Altstadt ohne Johannstadt";"Eigennutzung";0
"1993";"01 StB Altstadt ohne Johannstadt";"Eigentümer Wohnungsgenossenschaft";39
"1993";"01 StB Altstadt ohne Johannstadt";"Eigentümer Stadt";55
"1993";"01 StB Altstadt ohne Johannstadt";"Eigentümer privat";6
"1993";"02 Johannstadt";"Eigennutzung";1
"1993";"02 Johannstadt";"Eigentümer Wohnungsgenossenschaft";50
"1993";"02 Johannstadt";"Eigentümer Stadt";40
"1993";"02 Johannstadt";"Eigentümer privat";8
"1993";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigennutzung";4
"1993";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigentümer Wohnungsgenossenschaft";8
"1993";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigentümer Stadt";59
"1993";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigentümer privat";29
"1993";"04 Leipziger Vorstadt, Pieschen";"Eigennutzung";5
"1993";"04 Leipziger Vorstadt, Pieschen";"Eigentümer Wohnungsgenossenschaft";19
"1993";"04 Leipziger Vorstadt, Pieschen";"Eigentümer Stadt";48
"1993";"04 Leipziger Vorstadt, Pieschen";"Eigentümer privat";29
"1993";"05 Mickten, Kaditz, Trachau";"Eigennutzung";9
"1993";"05 Mickten, Kaditz, Trachau";"Eigentümer Wohnungsgenossenschaft";24
"1993";"05 Mickten, Kaditz, Trachau";"Eigentümer Stadt";46
"1993";"05 Mickten, Kaditz, Trachau";"Eigentümer privat";21
"1993";"06 StB Klotzsche und nördliche OS";"Eigennutzung";34
"1993";"06 StB Klotzsche und nördliche OS";"Eigentümer Wohnungsgenossenschaft";37
"1993";"06 StB Klotzsche und nördliche OS";"Eigentümer Stadt";16
"1993";"06 StB Klotzsche und nördliche OS";"Eigentümer privat";13
"1993";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigennutzung";47
"1993";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigentümer Wohnungsgenossenschaft";3
"1993";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigentümer Stadt";27
"1993";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigentümer privat";23
"1993";"08 Blasewitz, Striesen";"Eigennutzung";3
"1993";"08 Blasewitz, Striesen";"Eigentümer Wohnungsgenossenschaft";28
"1993";"08 Blasewitz, Striesen";"Eigentümer Stadt";45
"1993";"08 Blasewitz, Striesen";"Eigentümer privat";24
"1993";"09 Tolkewitz, Seidnitz, Gruna";"Eigennutzung";3
"1993";"09 Tolkewitz, Seidnitz, Gruna";"Eigentümer Wohnungsgenossenschaft";48
"1993";"09 Tolkewitz, Seidnitz, Gruna";"Eigentümer Stadt";41
"1993";"09 Tolkewitz, Seidnitz, Gruna";"Eigentümer privat";9
"1993";"10 StB Leuben";"Eigennutzung";8
"1993";"10 StB Leuben";"Eigentümer Wohnungsgenossenschaft";47
"1993";"10 StB Leuben";"Eigentümer Stadt";31
"1993";"10 StB Leuben";"Eigentümer privat";14
"1993";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigennutzung";2
"1993";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigentümer Wohnungsgenossenschaft";46
"1993";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigentümer Stadt";51
"1993";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigentümer privat";1
"1993";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigennutzung";27
"1993";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigentümer Wohnungsgenossenschaft";23
"1993";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigentümer Stadt";28
"1993";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigentümer privat";22
"1993";"13 Südvorstadt, Zschertnitz";"Eigennutzung";4
"1993";"13 Südvorstadt, Zschertnitz";"Eigentümer Wohnungsgenossenschaft";39
"1993";"13 Südvorstadt, Zschertnitz";"Eigentümer Stadt";49
"1993";"13 Südvorstadt, Zschertnitz";"Eigentümer privat";8
"1993";"14 Mockritz, Coschütz, Plauen";"Eigennutzung";13
"1993";"14 Mockritz, Coschütz, Plauen";"Eigentümer Wohnungsgenossenschaft";36
"1993";"14 Mockritz, Coschütz, Plauen";"Eigentümer Stadt";35
"1993";"14 Mockritz, Coschütz, Plauen";"Eigentümer privat";17
"1993";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Eigennutzung";10
"1993";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Eigentümer Wohnungsgenossenschaft";21
"1993";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Eigentümer Stadt";46
"1993";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Eigentümer privat";22
"1993";"16 Gorbitz";"Eigennutzung";0
"1993";"16 Gorbitz";"Eigentümer Wohnungsgenossenschaft";68
"1993";"16 Gorbitz";"Eigentümer Stadt";31
"1993";"16 Gorbitz";"Eigentümer privat";0
"1993";"17 Briesnitz und westliche OS";"Eigennutzung";33
"1993";"17 Briesnitz und westliche OS";"Eigentümer Wohnungsgenossenschaft";25
"1993";"17 Briesnitz und westliche OS";"Eigentümer Stadt";29
"1993";"17 Briesnitz und westliche OS";"Eigentümer privat";13
"1993";"18 Dresden gesamt";"Eigennutzung";8
"1993";"18 Dresden gesamt";"Eigentümer Wohnungsgenossenschaft";36
"1993";"18 Dresden gesamt";"Eigentümer Stadt";42
"1993";"18 Dresden gesamt";"Eigentümer privat";15
"1995";"01 StB Altstadt ohne Johannstadt";"Eigennutzung";0
"1995";"01 StB Altstadt ohne Johannstadt";"Eigentümer Wohnungsgenossenschaft";45
"1995";"01 StB Altstadt ohne Johannstadt";"Eigentümer Stadt";48
"1995";"01 StB Altstadt ohne Johannstadt";"Eigentümer privat";8
"1995";"02 Johannstadt";"Eigennutzung";3
"1995";"02 Johannstadt";"Eigentümer Wohnungsgenossenschaft";50
"1995";"02 Johannstadt";"Eigentümer Stadt";39
"1995";"02 Johannstadt";"Eigentümer privat";9
"1995";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigennutzung";4
"1995";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigentümer Wohnungsgenossenschaft";12
"1995";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigentümer Stadt";30
"1995";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigentümer privat";54
"1995";"04 Leipziger Vorstadt, Pieschen";"Eigennutzung";5
