"Jahr";"Quartal";"Steuereinnahmen (netto)";"Steuereinnahmen (brutto)";"Grundsteuer A und B";"Gewerbesteuer (brutto)";"Sonstige Gemeindesteuern";"Spielautomatensteuer";"Hundesteuer";"Zweitwohnungssteuer";"Beherbergungssteuer";"Gemeindeanteil an der Einkommenssteuer";"Gewerbesteuerumlage";"Gemeindeanteil Umsatzsteuer"
"1991";"1. Quartal";4122;934;934;0;60;0;0;0;0;3188;0;0
"1991";"2. Quartal";8377;4666;4636;30;47;0;0;0;0;3711;0;0
"1991";"3. Quartal";4962;4962;824;4138;60;0;0;0;0;0;0;0
"1991";"4. Quartal";33760;16842;1052;15790;35;0;0;0;0;16918;0;0
"1992";"1. Quartal";12473;12473;2615;9858;138;0;0;0;0;0;0;0
"1992";"2. Quartal";18685;10877;2508;8369;138;0;0;0;0;7808;0;0
"1992";"3. Quartal";15942;9241;2557;6684;138;0;0;0;0;6701;0;0
"1992";"4. Quartal";35761;16425;9020;7405;142;0;0;0;0;19336;0;0
"1993";"1. Quartal";17855;12681;5146;7535;336;0;0;0;0;5174;0;0
"1993";"2. Quartal";20899;12253;5380;6873;266;0;0;0;0;9173;527;0
"1993";"3. Quartal";21007;11386;5672;5714;481;0;0;0;0;10102;481;0
"1993";"4. Quartal";44382;20724;5589;15135;105;0;0;0;0;24458;800;0
"1994";"1. Quartal";14009;11397;5224;6173;256;0;0;0;0;3271;659;0
"1994";"2. Quartal";45018;32725;5949;26776;256;0;0;0;0;12879;586;0
"1994";"3. Quartal";33489;23255;7302;15953;256;0;0;0;0;12778;2544;0
"1994";"4. Quartal";48123;23932;6500;17432;716;0;0;0;0;27222;3031;0
"1995";"1. Quartal";22244;17142;6106;11036;358;0;0;0;0;5152;50;0
"1995";"2. Quartal";44045;29730;8157;21573;771;0;0;0;0;15278;963;0
"1995";"3. Quartal";32566;21136;7502;13634;201;0;0;0;0;13252;1822;0
"1995";"4. Quartal";59048;30028;9243;20785;535;0;0;0;0;31323;2303;0
"1996";"1. Quartal";23567;19672;8529;11143;717;0;0;0;0;4499;604;0
"1996";"2. Quartal";48567;35743;9291;26452;203;0;0;0;0;13765;941;0
"1996";"3. Quartal";40909;31971;11042;20929;452;0;0;0;0;11172;2234;0
"1996";"4. Quartal";47148;33782;9068;24714;380;0;0;0;0;16901;3535;0
"1997";"1. Quartal";26255;23216;8373;14843;617;0;0;0;0;3359;320;0
"1997";"2. Quartal";45885;32129;12431;19698;519;0;0;0;0;15011;1255;0
"1997";"3. Quartal";36483;28564;9818;18746;492;0;0;0;0;9601;1682;0
"1997";"4. Quartal";58419;33364;8878;24486;404;0;0;0;0;22105;-2950;0
"1998";"1. Quartal";33556;25633;9018;16615;572;0;0;0;0;5949;0;1974
"1998";"2. Quartal";57824;40812;13807;27005;467;0;0;0;0;11425;260;5847
