"Jahr";"Quartal";"Monat";"Betriebsart";"Tourismus_Ankünfte";"Tourismus_Übernachtungen";"Tourismus_Betriebe";"Tourismus_Betten"
"2000";"1. Quartal";"01";"Hotels";36687;76144;70;11410
"2000";"1. Quartal";"01";"Hotels garni";4713;9740;22;2011
"2000";"1. Quartal";"01";"Gasthöfe";511;1045;10;196
"2000";"1. Quartal";"01";"Pensionen";1388;3811;30;670
"2000";"1. Quartal";"01";"Jugendherbergen";1438;2909;4;392
"2000";"1. Quartal";"01";"sonstige";347;1019;4;80
"2000";"1. Quartal";"02";"Hotels";41920;80365;68;10864
"2000";"1. Quartal";"02";"Hotels garni";5339;11293;22;2011
"2000";"1. Quartal";"02";"Gasthöfe";606;1259;10;196
"2000";"1. Quartal";"02";"Pensionen";1489;4345;31;665
"2000";"1. Quartal";"02";"Jugendherbergen";2013;4456;4;392
"2000";"1. Quartal";"02";"sonstige";266;867;4;80
"2000";"1. Quartal";"03";"Hotels";59015;114291;69;11288
"2000";"1. Quartal";"03";"Hotels garni";7977;17273;22;2011
"2000";"1. Quartal";"03";"Gasthöfe";780;1755;10;196
"2000";"1. Quartal";"03";"Pensionen";1934;4930;32;673
"2000";"1. Quartal";"03";"Jugendherbergen";3190;6282;4;392
"2000";"1. Quartal";"03";"sonstige";260;995;4;80
"2000";"2. Quartal";"04";"Hotels";76286;161943;69;11313
"2000";"2. Quartal";"04";"Hotels garni";10971;25808;22;2011
"2000";"2. Quartal";"04";"Gasthöfe";1034;1982;10;200
"2000";"2. Quartal";"04";"Pensionen";2458;6571;33;698
"2000";"2. Quartal";"04";"Jugendherbergen";4385;9464;4;616
"2000";"2. Quartal";"04";"sonstige";542;1665;5;157
"2000";"2. Quartal";"05";"Hotels";98974;209133;70;11344
"2000";"2. Quartal";"05";"Hotels garni";14471;32906;22;2011
"2000";"2. Quartal";"05";"Gasthöfe";1334;2322;10;200
"2000";"2. Quartal";"05";"Pensionen";2860;6990;32;694
"2000";"2. Quartal";"05";"Jugendherbergen";5649;13046;4;616
"2000";"2. Quartal";"05";"sonstige";813;2251;5;157
"2000";"2. Quartal";"06";"Hotels";93991;200287;70;11344
"2000";"2. Quartal";"06";"Hotels garni";13420;31517;22;2028
"2000";"2. Quartal";"06";"Gasthöfe";1124;2196;10;200
"2000";"2. Quartal";"06";"Pensionen";2648;6455;32;694
"2000";"2. Quartal";"06";"Jugendherbergen";5878;13157;4;616
"2000";"2. Quartal";"06";"sonstige";531;1589;5;157
"2000";"3. Quartal";"07";"Hotels";85137;176725;70;11350
"2000";"3. Quartal";"07";"Hotels garni";11690;27198;22;2028
"2000";"3. Quartal";"07";"Gasthöfe";999;2026;10;200
"2000";"3. Quartal";"07";"Pensionen";2656;6374;32;694
"2000";"3. Quartal";"07";"Jugendherbergen";5820;13207;4;616
"2000";"3. Quartal";"07";"sonstige";405;1358;5;157
"2000";"3. Quartal";"08";"Hotels";87871;180034;70;11350
"2000";"3. Quartal";"08";"Hotels garni";11227;26281;21;2010
"2000";"3. Quartal";"08";"Gasthöfe";1101;2250;10;200
"2000";"3. Quartal";"08";"Pensionen";2698;6770;33;708
"2000";"3. Quartal";"08";"Jugendherbergen";4882;9352;4;616
"2000";"3. Quartal";"08";"sonstige";327;1931;5;157
"2000";"3. Quartal";"09";"Hotels";103531;215065;70;11351
"2000";"3. Quartal";"09";"Hotels garni";15439;34699;22;2028
"2000";"3. Quartal";"09";"Gasthöfe";1251;2296;10;204
"2000";"3. Quartal";"09";"Pensionen";3144;8027;34;722
"2000";"3. Quartal";"09";"Jugendherbergen";5301;12076;4;616
"2000";"3. Quartal";"09";"sonstige";438;1530;5;157
"2000";"4. Quartal";"10";"Hotels";87716;187354;70;11351
"2000";"4. Quartal";"10";"Hotels garni";12911;29781;22;2028
"2000";"4. Quartal";"10";"Gasthöfe";1004;2035;10;204
