"Jahr";"Quartal";"Monat";"Hauptgruppen (WZ 08)";"Auftragseingang insgesamt (in 1000 Euro)";"Auftragseingang Ausland (in 1000 Euro)";"Auftragseingang Eurozone (in 1000 Euro)";"Umsatz insgesamt aus Auftragseingang (in 1000 Euro)";"Umsazu Ausland aus Auftragseingang (in 1000 Euro)";"Umsatz Eurozone aus Auftragseingang (in 1000 Euro)"
"2014";"1. Quartal";"01";"A+EN Vorleistungsgüter und Energie";176648;116678;93582;170068;115334;94084
"2014";"1. Quartal";"01";"B Investitionsgüter";204076;68695;6558;85945;43089;8091
"2014";"1. Quartal";"01";"GG Gebrauchsgüter";2134;0;0;2386;0;0
"2014";"1. Quartal";"01";"VG Verbrauchsgüter";49831;0;0;17637;0;0
"2014";"1. Quartal";"01";"Verarbeitendes Gewerbe gesamt";432689;205812;119913;276036;170368;113023
"2014";"1. Quartal";"02";"A+EN Vorleistungsgüter und Energie";325224;272300;11738;268607;216249;194589
"2014";"1. Quartal";"02";"B Investitionsgüter";125106;83622;5775;124762;80687;7267
"2014";"1. Quartal";"02";"GG Gebrauchsgüter";2622;0;0;2586;0;0
"2014";"1. Quartal";"02";"VG Verbrauchsgüter";16911;0;0;19099;0;0
"2014";"1. Quartal";"02";"Verarbeitendes Gewerbe gesamt";469863;367934;28845;415054;310327;213682
"2014";"1. Quartal";"03";"A+EN Vorleistungsgüter und Energie";314153;263042;235285;306334;0;0
"2014";"1. Quartal";"03";"B Investitionsgüter";135395;98492;49223;135385;85135;8449
"2014";"1. Quartal";"03";"GG Gebrauchsgüter";1854;0;0;2642;0;0
"2014";"1. Quartal";"03";"VG Verbrauchsgüter";17925;0;0;19927;0;0
"2014";"1. Quartal";"03";"Verarbeitendes Gewerbe gesamt";469327;374573;296482;464288;355305;257039
"2014";"2. Quartal";"04";"A+EN Vorleistungsgüter und Energie";205921;151146;131183;209661;163285;145644
"2014";"2. Quartal";"04";"B Investitionsgüter";120344;66901;20191;106096;64162;12305
"2014";"2. Quartal";"04";"GG Gebrauchsgüter";0;0;0;2312;0;0
"2014";"2. Quartal";"04";"VG Verbrauchsgüter";0;0;0;20192;0;0
"2014";"2. Quartal";"04";"Verarbeitendes Gewerbe gesamt";353223;231003;163691;338261;240701;170117
"2014";"2. Quartal";"05";"A+EN Vorleistungsgüter und Energie";217637;165553;137928;211366;157879;141539
"2014";"2. Quartal";"05";"B Investitionsgüter";123897;84936;5674;124885;83629;10563
"2014";"2. Quartal";"05";"GG Gebrauchsgüter";1509;0;0;2278;0;0
"2014";"2. Quartal";"05";"VG Verbrauchsgüter";17439;0;0;19100;0;0
"2014";"2. Quartal";"05";"Verarbeitendes Gewerbe gesamt";360481;264017;156577;357628;255064;164234
"2014";"2. Quartal";"06";"A+EN Vorleistungsgüter und Energie";231100;168936;144224;211789;153272;131037
"2014";"2. Quartal";"06";"B Investitionsgüter";115670;81288;5997;160218;66524;6402
"2014";"2. Quartal";"06";"GG Gebrauchsgüter";1277;0;0;2232;0;0
"2014";"2. Quartal";"06";"VG Verbrauchsgüter";19524;0;0;17161;0;0
"2014";"2. Quartal";"06";"Verarbeitendes Gewerbe gesamt";367571;262337;161636;391401;231737;148436
"2014";"3. Quartal";"07";"A+EN Vorleistungsgüter und Energie";225408;164804;145203;231033;168849;152414
"2014";"3. Quartal";"07";"B Investitionsgüter";89702;51382;9751;88016;41530;8470
"2014";"3. Quartal";"07";"GG Gebrauchsgüter";1535;0;0;2538;0;0
"2014";"3. Quartal";"07";"VG Verbrauchsgüter";14212;0;0;19423;0;0
"2014";"3. Quartal";"07";"Verarbeitendes Gewerbe gesamt";330858;226793;165034;341010;223337;172754
"2014";"3. Quartal";"08";"A+EN Vorleistungsgüter und Energie";207032;154731;141261;284044;0;0
"2014";"3. Quartal";"08";"B Investitionsgüter";91555;47160;4658;67409;31885;7064
"2014";"3. Quartal";"08";"GG Gebrauchsgüter";560;0;0;1768;0;0
"2014";"3. Quartal";"08";"VG Verbrauchsgüter";19089;0;0;18719;0;0
"2014";"3. Quartal";"08";"Verarbeitendes Gewerbe gesamt";318235;214863;158139;371941;275432;233404
"2014";"3. Quartal";"09";"A+EN Vorleistungsgüter und Energie";227662;175960;151434;281340;218999;195528
"2014";"3. Quartal";"09";"B Investitionsgüter";0;0;0;0;0;0
"2014";"3. Quartal";"09";"GG Gebrauchsgüter";0;0;0;0;0;0
"2014";"3. Quartal";"09";"VG Verbrauchsgüter";19063;0;0;20334;0;0
"2014";"3. Quartal";"09";"Verarbeitendes Gewerbe gesamt";399057;273730;173854;907583;774125;214547
"2014";"4. Quartal";"10";"A+EN Vorleistungsgüter und Energie";257892;200575;179903;290635;233984;204346
"2014";"4. Quartal";"10";"B Investitionsgüter";90684;51351;7368;81909;39157;9182
"2014";"4. Quartal";"10";"GG Gebrauchsgüter";658;0;0;2347;0;0
"2014";"4. Quartal";"10";"VG Verbrauchsgüter";21692;0;0;20075;0;0
"2014";"4. Quartal";"10";"Verarbeitendes Gewerbe gesamt";370927;264879;198078;394966;286626;224454
"2014";"4. Quartal";"11";"A+EN Vorleistungsgüter und Energie";266109;211333;177960;175965;124133;104291
"2014";"4. Quartal";"11";"B Investitionsgüter";102973;53920;13230;107659;58952;9195
"2014";"4. Quartal";"11";"GG Gebrauchsgüter";0;0;0;2828;0;0
"2014";"4. Quartal";"11";"VG Verbrauchsgüter";0;0;0;21902;0;0
"2014";"4. Quartal";"11";"Verarbeitendes Gewerbe gesamt";390204;276839;201789;308354;196764;125656
"2014";"4. Quartal";"12";"A+EN Vorleistungsgüter und Energie";191703;137322;118620;155499;104137;75284
"2014";"4. Quartal";"12";"B Investitionsgüter";124562;73042;6564;147847;86859;9847
"2014";"4. Quartal";"12";"GG Gebrauchsgüter";0;0;0;2248;0;0
"2014";"4. Quartal";"12";"VG Verbrauchsgüter";0;0;0;20589;0;0
"2014";"4. Quartal";"12";"Verarbeitendes Gewerbe gesamt";337446;224635;137287;326184;206188;98865
