"Jahr";"Hauptgruppen (WZ 08)";"Anzahl Betriebe";"Tätige Personen";"Entgelte (in 1000 EUR)";"Entgelte je tätiger Person";"Gesamtumsatz (in 1000 EUR)";"Absoluter Anteil des Umsatzes im Ausland am Gesamtumsatz (in 1000 EUR)";"Gesamtumsatz je tätiger Person";"Exportquote (in Prozent)"
"2013";"A+EN Vorleistungsgüter und Energie";74;11477;507650;44232;2958843;2102058;257806;71
"2013";"B Investitionsgüter";104;10555;430811;40816;2074260;1043565;196519;50
"2013";"GG Gebrauchsgüter";2;0;0;0;0;0;0;0
"2013";"VG Verbrauchsgüter";56;0;0;0;0;0;0;0
"2013";"Verarbeitendes Gewerbe gesamt";236;27155;1105070;40695;6399453;3370903;235664;53
"2014";"A+EN Vorleistungsgüter und Energie";72;11165;504363;45174;3061830;2174851;274235;71
"2014";"B Investitionsgüter";109;10681;442055;41387;2357696;1347592;220737;57
"2014";"GG Gebrauchsgüter";4;333;13126;39417;50980;20986;153093;41
"2014";"VG Verbrauchsgüter";57;5123;172268;33626;1158427;253028;226123;22
"2014";"Verarbeitendes Gewerbe gesamt";242;27302;1131811;41455;6628933;3796456;242800;57
"2015";"A+EN Vorleistungsgüter und Energie";74;11455;541678;47287;3679051;2328329;321174;63
"2015";"B Investitionsgüter";105;10714;452938;42275;1767788;787910;164998;45
"2015";"GG Gebrauchsgüter";4;375;14411;38429;58936;26519;157163;45
"2015";"VG Verbrauchsgüter";56;4985;173957;34896;1151466;278108;230986;24
"2015";"Verarbeitendes Gewerbe gesamt";239;27529;1182984;42972;6657241;3420867;241826;51
"2016";"A+EN Vorleistungsgüter und Energie";73;11274;529884;47001;3200561;1793487;283889;56
"2016";"B Investitionsgüter";106;10780;458681;42549;1660512;736333;154036;44
"2016";"GG Gebrauchsgüter";3;0;0;0;0;0;0;0
"2016";"VG Verbrauchsgüter";56;0;0;0;0;0;0;0
"2016";"Verarbeitendes Gewerbe gesamt";238;27377;1180614;43124;6278373;3053425;229330;49
"2017";"A+EN Vorleistungsgüter und Energie";79;11378;542346;47666;3413367;1951265;299997;57
"2017";"B Investitionsgüter";108;11160;484496;43414;1961523;907232;175764;46
"2017";"GG Gebrauchsgüter";2;0;0;0;0;0;0;0
"2017";"VG Verbrauchsgüter";54;0;0;0;0;0;0;0
"2017";"Verarbeitendes Gewerbe gesamt";243;27855;1226903;44046;6585872;3200892;236434;49
"2018";"A+EN Vorleistungsgüter und Energie";78;11676;555872;47608;3245084;1836793;277928;57
"2018";"B Investitionsgüter";109;11711;518832;44303;2459136;1264502;209985;51
"2018";"GG Gebrauchsgüter";2;0;0;0;0;0;0;0
"2018";"VG Verbrauchsgüter";54;0;0;0;0;0;0;0
"2018";"Verarbeitendes Gewerbe gesamt";243;28828;1287660;44667;6949843;3530203;241080;51
