"Jahr";"Wirtschaftszweig 2-Steller";"Anzahl Betriebe";"Tätige Personen";"Entgelte (in 1000 EUR)";"Entgelte je tätiger Person";"Gesamtumsatz (in 1000 EUR)";"Absoluter Anteil des Umsatzes im Ausland am Gesamtumsatz (in 1000 EUR)";"Gesamtumsatz je tätiger Person";"Exportquote (in Prozent)"
"2013";"Verarbeitendes Gewerbe gesamt";236;27155;1105070;40695;6399453;3370903;235664;53
"2013";"Kohlenbergbau, Torfgewinnung";24;939;20119;21426;144485;0;153871;0
"2013";"Gewinnung v.Erdöl u.Erbringung damit verbund.Dienstleistgen.";1;0;0;0;0;0;0;0
"2013";"Bergbau auf Uran- und Thoriumerze";1;0;0;0;0;0;0;0
"2013";"Erzbergbau";1;0;0;0;0;0;0;0
"2013";"Tabakverarbeitung";1;0;0;0;0;0;0;0
"2013";"Textilgewerbe";1;0;0;0;0;0;0;0
"2013";"Bekleidungsgewerbe";20;1881;50633;26918;223565;29829;118854;13
"2013";"Holzgewerbe (ohne Herstellung von Möbeln) 20";5;483;14328;29665;108789;31923;225236;29
"2013";"Papiergewerbe";6;0;0;0;0;0;0;0
"2013";"Verlags-,Druckgew.,Vervielfält.v.besp.Ton-,Bild-u.Datenträg.";6;365;9452;25896;59227;28202;162266;48
"2013";"Kokerei,Mineralölverarb.,Herst.u.Verarb.v.Spalt-u.Brutstoff. 23";11;246;8572;34846;56152;0;228260;0
"2013";"Chemische Industrie 24";2;0;0;0;0;0;0;0
"2013";"Herstellung von Gummi- und Kunststoffwaren 25";22;1450;37470;25841;148547;11955;102446;8
"2013";"Glasgewerbe, Keramik, Verarbeitung von Steinen und Erden 26";29;8546;413400;48374;2458380;1988668;287664;81
"2013";"Metallerzeugung und -bearbeitung";19;1989;82266;41360;338163;163161;170017;48
"2013";"Herstellung von Metallerzeugnissen";34;4378;179261;40946;844786;553374;192962;66
"2013";"Maschinenbau 29";2;0;0;0;0;0;0;0
"2013";"Herst.v.Büromasch.,Datenverarbeitungsgeräten u.-einrichtgen.";3;0;0;0;0;0;0;0
"2013";"Herstellung v.Geräten der Elektrizitätserzeugung, -verteilg.";1;0;0;0;0;0;0;0
"2013";"Rundfunk-, Fernseh- und Nachrichtentechnik";14;761;17258;22678;53305;0;70046;0
"2013";"Medizin-, Meß-, Steuer- und Regelungstechnik, Optik";33;2051;84575;41236;321369;59810;156689;19
"2014";"Verarbeitendes Gewerbe gesamt";242;27302;1131811;41455;6628933;3796456;242800;57
"2014";"Kohlenbergbau, Torfgewinnung";26;975;21370;21918;143163;4027;146834;3
"2014";"Gewinnung v.Erdöl u.Erbringung damit verbund.Dienstleistgen.";1;0;0;0;0;0;0;0
"2014";"Bergbau auf Uran- und Thoriumerze";1;0;0;0;0;0;0;0
