"Jahr";"Bundesautobahnen (gesamt)";"Tunnelstrecke an Bundesautobahn";"Strassen des ueberoertlichen Verkehrs (gesamt)";"Bundesstrassen";"Staatsstrassen";"Kreisstrassen";"Tunnelstrecke an Strassen des ueberoertlichen Verkehrs";"Gemeindestrassen";"Radwege-kombinierte Rad-Gehwege";"Gehwege (selbststaendige)";"Strassenbruecken (Anzahl)";"Strassentunnel (Anzahl)";"Bundesstrassen (Baulast der Stadt)";"Staatsstrassen (Baulast der Stadt)";"Kreisstrassen (Baulast der Stadt)"
"1990";0;0;0;0;0;0;0;940;14;73;167;0;54;36;28
"1995";0;0;0;0;0;0;0;989;105;101;176;1;54;38;26
"1996";11;0;137;58;53;26;0;990;119;101;196;1;54;38;26
"1997";18;0;138;57;53;28;0;1026;131;115;170;1;58;38;33
"1998";18;0;148;62;53;33;0;1029;179;106;181;1;57;42;31
"1999";20;0;226;71;75;80;0;1183;180;130;239;1;58;53;78
"2000";21;0;227;72;75;80;1;1189;200;123;212;2;61;53;78
"2001";22;0;240;75;85;80;1;1183;213;114;225;2;62;58;80
"2002";22;0;243;77;86;80;1;1193;266;115;223;3;64;60;80
"2006";0;0;246;79;87;80;1;1205;337;162;230;3;65;60;80
"2007";34;4;246;80;86;80;1;1211;340;165;242;3;66;55;80
"2008";34;0;246;80;86;80;1;1215;366;168;0;3;68;55;80
"2009";34;0;246;81;85;80;1;1217;370;126;240;3;68;55;80
"2010";34;4;245;81;85;79;1;1220;377;127;247;3;68;55;79
"2011";34;4;245;80;86;79;1;1222;381;128;249;3;68;55;79
"2012";34;4;246;81;86;79;1;1219;391;125;249;3;69;55;79
"2013";34;4;246;81;86;79;2;1222;402;125;250;4;70;55;79
"2014";34;4;243;70;94;79;2;1227;409;125;250;4;59;63;79
"2015";34;4;243;70;94;79;2;1227;409;125;250;4;59;63;79
"2016";34;4;243;70;94;79;2;1231;411;125;250;4;59;63;79
"2017";34;4;243;70;94;79;2;1232;411;125;250;4;59;63;79
"2018";34;4;243;70;94;79;2;1233;411;125;250;4;60;63;79
