Statistischer Bezirk,"Ausstellungen, Galerien (cls:L496)"
01 StB Altstadt ohne Johannstadt,72
02 Johannstadt,6
03 StB Neustadt ohne Leipziger Vorstadt,135
"04 Leipziger Vorstadt, Pieschen",12
"05 Mickten, Kaditz, Trachau",0
06 StB Klotzsche und nördliche OS,6
07 StB Loschwitz und OS Schönfeld-Weißig,39
"08 Blasewitz, Striesen",9
"09 Tolkewitz, Seidnitz, Gruna",3
10 StB Leuben,3
"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",3
"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",3
"13 Südvorstadt, Zschertnitz",9
"14 Mockritz, Coschütz, Plauen",3
"15 Cotta, Löbtau, Naußlitz, Dölzschen",3
16 Gorbitz,3
17 Briesnitz und westliche OS,0
