Statistischer Bezirk,Bibliotheken (cls:L494)
01 StB Altstadt ohne Johannstadt,15
02 Johannstadt,9
03 StB Neustadt ohne Leipziger Vorstadt,3
"04 Leipziger Vorstadt, Pieschen",6
"05 Mickten, Kaditz, Trachau",3
06 StB Klotzsche und nördliche OS,18
07 StB Loschwitz und OS Schönfeld-Weißig,21
"08 Blasewitz, Striesen",3
"09 Tolkewitz, Seidnitz, Gruna",3
10 StB Leuben,12
"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",6
"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",9
"13 Südvorstadt, Zschertnitz",12
"14 Mockritz, Coschütz, Plauen",12
"15 Cotta, Löbtau, Naußlitz, Dölzschen",3
16 Gorbitz,3
17 Briesnitz und westliche OS,6
