Statistischer Bezirk,Horte (cls:L606)
01 StB Altstadt ohne Johannstadt,20
02 Johannstadt,12
03 StB Neustadt ohne Leipziger Vorstadt,40
"04 Leipziger Vorstadt, Pieschen",32
"05 Mickten, Kaditz, Trachau",20
06 StB Klotzsche und nördliche OS,32
07 StB Loschwitz und OS Schönfeld-Weißig,24
"08 Blasewitz, Striesen",24
"09 Tolkewitz, Seidnitz, Gruna",16
10 StB Leuben,28
"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",16
"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",20
"13 Südvorstadt, Zschertnitz",16
"14 Mockritz, Coschütz, Plauen",16
"15 Cotta, Löbtau, Naußlitz, Dölzschen",24
16 Gorbitz,16
17 Briesnitz und westliche OS,20
