Statistischer Bezirk,Lebensmittelmärkte (cls:L700)
01 StB Altstadt ohne Johannstadt,63
02 Johannstadt,39
03 StB Neustadt ohne Leipziger Vorstadt,51
"04 Leipziger Vorstadt, Pieschen",36
"05 Mickten, Kaditz, Trachau",18
06 StB Klotzsche und nördliche OS,33
07 StB Loschwitz und OS Schönfeld-Weißig,36
"08 Blasewitz, Striesen",48
"09 Tolkewitz, Seidnitz, Gruna",33
10 StB Leuben,54
"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",30
"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",33
"13 Südvorstadt, Zschertnitz",33
"14 Mockritz, Coschütz, Plauen",18
"15 Cotta, Löbtau, Naußlitz, Dölzschen",36
16 Gorbitz,24
17 Briesnitz und westliche OS,21
