Jahr,Stadtraum,Anzahl Einwohner,mean_age
1999,01 StB Altstadt ohne Johannstadt,27615,49.36313597682419
1999,02 Johannstadt,23126,47.46242324656231
1999,03 StB Neustadt ohne Leipziger Vorstadt,23855,36.1261789981136
1999,"04 Leipziger Vorstadt, Pieschen",24041,37.76282184601306
1999,"05 Mickten, Kaditz, Trachau",23396,42.048042400410324
1999,06 StB Klotzsche und nördliche OS,28812,41.144176037762044
1999,07 StB Loschwitz und OS Schönfeld-Weißig,29117,41.64986090599993
1999,"08 Blasewitz, Striesen",36172,41.11566957867964
1999,"09 Tolkewitz, Seidnitz, Gruna",36107,44.02229484587476
1999,10 StB Leuben,37118,43.262837437361924
1999,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",27049,40.825021257717474
1999,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",32378,41.07903514732226
1999,"13 Südvorstadt, Zschertnitz",25280,43.4182753164557
1999,"14 Mockritz, Coschütz, Plauen",21074,40.87316124134004
1999,"15 Cotta, Löbtau, Naußlitz, Dölzschen",29567,39.133594886190686
1999,16 Gorbitz,25937,39.1090719821105
1999,17 Briesnitz und westliche OS,20489,40.083361803894775
2000,01 StB Altstadt ohne Johannstadt,26477,49.75605242285757
2000,02 Johannstadt,22434,48.01560131942587
2000,03 StB Neustadt ohne Leipziger Vorstadt,25145,35.95430503082124
2000,"04 Leipziger Vorstadt, Pieschen",24663,37.21027450026355
2000,"05 Mickten, Kaditz, Trachau",24592,41.75650618087183
2000,06 StB Klotzsche und nördliche OS,29119,41.34544455510148
2000,07 StB Loschwitz und OS Schönfeld-Weißig,29825,41.885465213746855
2000,"08 Blasewitz, Striesen",38933,40.99352734184368
2000,"09 Tolkewitz, Seidnitz, Gruna",35537,44.404536117286206
2000,10 StB Leuben,36677,43.631403877089184
2000,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",24539,41.98088756673051
2000,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",32615,41.47527211405795
2000,"13 Südvorstadt, Zschertnitz",25047,43.380125364315084
2000,"14 Mockritz, Coschütz, Plauen",21848,40.89404064445258
2000,"15 Cotta, Löbtau, Naußlitz, Dölzschen",30315,38.876760679531586
2000,16 Gorbitz,23853,39.96658701211587
2000,17 Briesnitz und westliche OS,20731,40.334040808451114
2001,01 StB Altstadt ohne Johannstadt,25643,50.14678469757828
2001,02 Johannstadt,22229,48.31670340546133
2001,03 StB Neustadt ohne Leipziger Vorstadt,25653,35.88710872022765
2001,"04 Leipziger Vorstadt, Pieschen",25543,36.88474337391849
2001,"05 Mickten, Kaditz, Trachau",25102,41.702533662656364
2001,06 StB Klotzsche und nördliche OS,29353,41.691752120737235
2001,07 StB Loschwitz und OS Schönfeld-Weißig,30599,41.98290793816791
2001,"08 Blasewitz, Striesen",40427,41.01016647290177
2001,"09 Tolkewitz, Seidnitz, Gruna",35146,44.72949980083082
2001,10 StB Leuben,36666,44.08852888234332
2001,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",23092,42.9685172354062
2001,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",32512,41.81674458661417
2001,"13 Südvorstadt, Zschertnitz",24723,43.636249646078554
2001,"14 Mockritz, Coschütz, Plauen",22068,41.17468733007069
2001,"15 Cotta, Löbtau, Naußlitz, Dölzschen",30990,38.73420458212327
2001,16 Gorbitz,22116,41.02848616386326
2001,17 Briesnitz und westliche OS,21059,40.759057884989794
2002,01 StB Altstadt ohne Johannstadt,25400,50.29744094488189
2002,02 Johannstadt,22409,48.8699183363827
2002,03 StB Neustadt ohne Leipziger Vorstadt,26332,35.89146285887893
2002,"04 Leipziger Vorstadt, Pieschen",26540,36.85199698568199
2002,"05 Mickten, Kaditz, Trachau",25077,41.785022131833955
2002,06 StB Klotzsche und nördliche OS,29420,42.10268524813053
2002,07 StB Loschwitz und OS Schönfeld-Weißig,30764,42.35086464698999
2002,"08 Blasewitz, Striesen",41425,40.98397103198552
2002,"09 Tolkewitz, Seidnitz, Gruna",34995,45.035005000714385
2002,10 StB Leuben,36155,44.550297330936246
2002,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",22469,43.38857982108683
2002,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",32442,42.05529868688737
2002,"13 Südvorstadt, Zschertnitz",25088,43.3547512755102
2002,"14 Mockritz, Coschütz, Plauen",22292,41.42764220348107
2002,"15 Cotta, Löbtau, Naußlitz, Dölzschen",31755,38.52057943630924
2002,16 Gorbitz,21027,41.99881105245637
2002,17 Briesnitz und westliche OS,21140,41.06944181646168
2003,01 StB Altstadt ohne Johannstadt,25272,50.215218423551754
2003,02 Johannstadt,22539,49.06659567860154
2003,03 StB Neustadt ohne Leipziger Vorstadt,27327,35.71665385882095
2003,"04 Leipziger Vorstadt, Pieschen",27399,36.67345523559254
2003,"05 Mickten, Kaditz, Trachau",25295,41.896540818343546
2003,06 StB Klotzsche und nördliche OS,29649,42.319606057539886
2003,07 StB Loschwitz und OS Schönfeld-Weißig,30998,42.65091296212659
2003,"08 Blasewitz, Striesen",41687,41.11430421954086
2003,"09 Tolkewitz, Seidnitz, Gruna",35097,45.276291420919165
2003,10 StB Leuben,36198,44.911210564119564
2003,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",21918,43.91199014508623
2003,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",32374,42.2048557484401
2003,"13 Südvorstadt, Zschertnitz",25147,43.406688670616774
2003,"14 Mockritz, Coschütz, Plauen",22473,41.5892849196814
2003,"15 Cotta, Löbtau, Naußlitz, Dölzschen",32522,38.45593751921776
2003,16 Gorbitz,20668,42.574269401974064
2003,17 Briesnitz und westliche OS,21090,41.53205310573732
2004,01 StB Altstadt ohne Johannstadt,25151,50.13069062860323
2004,02 Johannstadt,22474,49.270979798878706
