Jahr,Stadtraum,Anzahl Wohnungen,Anzahl leerstehende Wohnungen,Anteil_leerstehende_Wohnungen
1999,01 StB Altstadt ohne Johannstadt,18486,3218,0.17407768040679433
1999,02 Johannstadt,13230,1571,0.11874527588813304
1999,03 StB Neustadt ohne Leipziger Vorstadt,18153,5190,0.28590315650305737
1999,"04 Leipziger Vorstadt, Pieschen",19934,6723,0.3372629677937193
1999,"05 Mickten, Kaditz, Trachau",15467,3902,0.25227904571022175
1999,06 StB Klotzsche und nördliche OS,14042,1966,0.14000854579119784
1999,07 StB Loschwitz und OS Schönfeld-Weißig,15240,2866,0.18805774278215223
1999,"08 Blasewitz, Striesen",23885,5884,0.24634707975716977
1999,"09 Tolkewitz, Seidnitz, Gruna",21479,3451,0.1606685599888263
1999,10 StB Leuben,21612,3692,0.17083101980381268
1999,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",15947,2492,0.15626763654605882
1999,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",16960,2716,0.16014150943396227
1999,"13 Südvorstadt, Zschertnitz",14523,2175,0.1497624457756662
1999,"14 Mockritz, Coschütz, Plauen",12295,2689,0.21870679137860918
1999,"15 Cotta, Löbtau, Naußlitz, Dölzschen",22793,7170,0.31457026279998246
1999,16 Gorbitz,14497,2164,0.14927226322687454
1999,17 Briesnitz und westliche OS,10866,2192,0.20173016749493833
2000,01 StB Altstadt ohne Johannstadt,18496,3562,0.19258217993079585
2000,02 Johannstadt,13287,1792,0.13486866862346655
2000,03 StB Neustadt ohne Leipziger Vorstadt,18364,4664,0.25397516880853843
2000,"04 Leipziger Vorstadt, Pieschen",19945,6244,0.31306091752318876
2000,"05 Mickten, Kaditz, Trachau",15657,3470,0.22162610972727853
2000,06 StB Klotzsche und nördliche OS,14224,1878,0.13203037120359956
2000,07 StB Loschwitz und OS Schönfeld-Weißig,15470,2773,0.17925016160310278
2000,"08 Blasewitz, Striesen",24167,4842,0.2003558571605909
2000,"09 Tolkewitz, Seidnitz, Gruna",21584,3547,0.1643346923647146
2000,10 StB Leuben,21746,3770,0.17336521659155707
2000,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",15988,3362,0.21028271203402552
2000,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",17468,2881,0.16493015800320587
