Jahr,Stadtraum,Lärm durch Straßenverkehr,Lärm durch Eisenbahnverkehr,Lärm durch Flugverkehr,Lärm von Baustellen,Lärm von Gewerbe/Industrie,Lärm durch Anwohner
1993,01 StB Altstadt ohne Johannstadt,4,2,2,3,1,2
1993,02 Johannstadt,4,1,2,2,1,2
1993,03 StB Neustadt ohne Leipziger Vorstadt,4,1,2,2,2,2
1993,"04 Leipziger Vorstadt, Pieschen",4,2,2,2,2,2
1993,"05 Mickten, Kaditz, Trachau",3,2,3,2,1,2
1993,06 StB Klotzsche und nördliche OS,3,1,3,2,1,2
1993,07 StB Loschwitz und OS Schönfeld-Weißig,3,1,2,2,1,2
1993,"08 Blasewitz, Striesen",3,1,2,2,1,2
1993,"09 Tolkewitz, Seidnitz, Gruna",3,1,1,2,1,2
1993,10 StB Leuben,3,1,1,2,1,2
1993,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",3,1,1,2,1,3
1993,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",3,1,1,2,1,2
1993,"13 Südvorstadt, Zschertnitz",3,1,1,2,1,2
1993,"14 Mockritz, Coschütz, Plauen",3,1,1,2,1,2
1993,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3,1,2,2,1,2
1993,16 Gorbitz,3,1,2,2,1,3
1993,17 Briesnitz und westliche OS,3,1,3,2,1,2
1993,18 Dresden gesamt,3,1,2,2,1,2
1996,01 StB Altstadt ohne Johannstadt,4,2,1,2,1,2
1996,02 Johannstadt,3,1,1,2,1,2
1996,03 StB Neustadt ohne Leipziger Vorstadt,4,1,2,3,2,2
1996,"04 Leipziger Vorstadt, Pieschen",4,2,2,3,1,2
1996,"05 Mickten, Kaditz, Trachau",3,1,3,2,1,2
1996,06 StB Klotzsche und nördliche OS,3,2,3,2,1,2
1996,07 StB Loschwitz und OS Schönfeld-Weißig,3,1,1,2,1,2
1996,"08 Blasewitz, Striesen",3,1,1,3,1,2
1996,"09 Tolkewitz, Seidnitz, Gruna",3,1,1,2,1,2
1996,10 StB Leuben,3,1,1,2,1,2
1996,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",3,1,1,2,1,3
1996,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",3,2,1,2,1,2
1996,"13 Südvorstadt, Zschertnitz",3,2,1,2,1,2
1996,"14 Mockritz, Coschütz, Plauen",3,1,2,2,1,2
1996,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3,1,2,3,1,2
1996,16 Gorbitz,3,1,2,2,1,3
1996,17 Briesnitz und westliche OS,3,1,3,2,1,2
1996,18 Dresden gesamt,3,1,2,2,1,2
2002,01 StB Altstadt ohne Johannstadt,3,2,1,2,1,2
2002,02 Johannstadt,3,1,1,2,1,2
2002,03 StB Neustadt ohne Leipziger Vorstadt,3,1,1,2,1,2
2002,"04 Leipziger Vorstadt, Pieschen",3,2,2,2,1,2
2002,"05 Mickten, Kaditz, Trachau",3,2,3,1,1,2
2002,06 StB Klotzsche und nördliche OS,3,2,3,1,1,2
2002,07 StB Loschwitz und OS Schönfeld-Weißig,2,1,1,2,1,2
