Jahr,Stadtraum,Grundmiete,Grundmiete - Whg mit Bad und IWC,Betriebskosten - kalt,Betriebskosten - warm
1995,01 StB Altstadt ohne Johannstadt,3,3,1,1
1995,02 Johannstadt,3,3,1,1
1995,03 StB Neustadt ohne Leipziger Vorstadt,3,3,1,1
1995,"04 Leipziger Vorstadt, Pieschen",3,3,1,1
1995,"05 Mickten, Kaditz, Trachau",3,3,1,1
1995,06 StB Klotzsche und nördliche OS,3,3,1,1
1995,07 StB Loschwitz und OS Schönfeld-Weißig,3,3,1,1
1995,"08 Blasewitz, Striesen",3,3,1,1
1995,"09 Tolkewitz, Seidnitz, Gruna",3,3,1,1
1995,10 StB Leuben,3,3,1,1
1995,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",3,3,1,1
1995,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",4,3,1,1
1995,"13 Südvorstadt, Zschertnitz",3,3,1,1
1995,"14 Mockritz, Coschütz, Plauen",3,3,1,1
1995,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3,4,1,1
1995,16 Gorbitz,3,3,1,1
1995,17 Briesnitz und westliche OS,3,4,1,1
1995,18 Dresden gesamt,3,3,1,1
1996,01 StB Altstadt ohne Johannstadt,3,3,1,1
1996,02 Johannstadt,4,4,1,1
1996,03 StB Neustadt ohne Leipziger Vorstadt,4,5,1,1
1996,"04 Leipziger Vorstadt, Pieschen",4,4,1,1
1996,"05 Mickten, Kaditz, Trachau",3,4,1,1
1996,06 StB Klotzsche und nördliche OS,4,4,1,1
1996,07 StB Loschwitz und OS Schönfeld-Weißig,4,4,1,1
1996,"08 Blasewitz, Striesen",4,4,1,1
1996,"09 Tolkewitz, Seidnitz, Gruna",4,4,1,1
1996,10 StB Leuben,4,4,1,1
1996,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",3,3,1,1
1996,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",4,5,1,1
1996,"13 Südvorstadt, Zschertnitz",4,4,1,1
1996,"14 Mockritz, Coschütz, Plauen",4,4,1,1
1996,"15 Cotta, Löbtau, Naußlitz, Dölzschen",4,5,1,1
1996,16 Gorbitz,3,3,1,1
1996,17 Briesnitz und westliche OS,4,4,1,1
1996,18 Dresden gesamt,4,4,1,1
1998,01 StB Altstadt ohne Johannstadt,4,4,1,1
1998,02 Johannstadt,4,4,1,1
1998,03 StB Neustadt ohne Leipziger Vorstadt,5,5,1,1
1998,"04 Leipziger Vorstadt, Pieschen",4,5,1,1
1998,"05 Mickten, Kaditz, Trachau",5,5,1,1
1998,06 StB Klotzsche und nördliche OS,5,5,1,1
1998,07 StB Loschwitz und OS Schönfeld-Weißig,6,6,1,1
1998,"08 Blasewitz, Striesen",5,5,1,1
1998,"09 Tolkewitz, Seidnitz, Gruna",4,4,1,1
1998,10 StB Leuben,5,5,1,1
1998,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",4,4,1,1
1998,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",5,5,1,1
1998,"13 Südvorstadt, Zschertnitz",4,4,1,1
1998,"14 Mockritz, Coschütz, Plauen",5,5,1,1
1998,"15 Cotta, Löbtau, Naußlitz, Dölzschen",5,5,1,1
1998,16 Gorbitz,4,4,1,1
1998,17 Briesnitz und westliche OS,4,5,1,1
1998,18 Dresden gesamt,5,5,1,1
2002,01 StB Altstadt ohne Johannstadt,4,4,2,1
2002,02 Johannstadt,4,4,1,1
2002,03 StB Neustadt ohne Leipziger Vorstadt,5,5,2,1
2002,"04 Leipziger Vorstadt, Pieschen",5,5,2,1
2002,"05 Mickten, Kaditz, Trachau",5,5,2,1
2002,06 StB Klotzsche und nördliche OS,5,5,2,1
2002,07 StB Loschwitz und OS Schönfeld-Weißig,5,5,1,1
2002,"08 Blasewitz, Striesen",5,5,1,1
2002,"09 Tolkewitz, Seidnitz, Gruna",5,5,1,1
2002,10 StB Leuben,5,5,1,1
2002,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",4,4,1,1
2002,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",5,5,1,1
2002,"13 Südvorstadt, Zschertnitz",4,4,1,1
2002,"14 Mockritz, Coschütz, Plauen",5,5,2,1
2002,"15 Cotta, Löbtau, Naußlitz, Dölzschen",5,5,1,1
2002,16 Gorbitz,4,4,1,1
2002,17 Briesnitz und westliche OS,5,5,1,1
2002,18 Dresden gesamt,5,5,1,1
2005,01 StB Altstadt ohne Johannstadt,5,5,1,1
2005,02 Johannstadt,5,5,1,1
2005,03 StB Neustadt ohne Leipziger Vorstadt,5,5,1,1
2005,"04 Leipziger Vorstadt, Pieschen",5,5,1,1
2005,"05 Mickten, Kaditz, Trachau",5,5,1,1
2005,06 StB Klotzsche und nördliche OS,5,5,1,1
2005,07 StB Loschwitz und OS Schönfeld-Weißig,5,5,1,1
2005,"08 Blasewitz, Striesen",6,6,1,1
2005,"09 Tolkewitz, Seidnitz, Gruna",5,5,1,1
2005,10 StB Leuben,5,5,1,1
2005,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",5,5,1,1
2005,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",5,5,1,1
2005,"13 Südvorstadt, Zschertnitz",5,5,1,1
2005,"14 Mockritz, Coschütz, Plauen",5,5,1,1
2005,"15 Cotta, Löbtau, Naußlitz, Dölzschen",5,5,1,1
2005,16 Gorbitz,4,4,1,1
2005,17 Briesnitz und westliche OS,5,6,1,1
2005,18 Dresden gesamt,5,5,1,1
2007,01 StB Altstadt ohne Johannstadt,5,5,1,1
2007,02 Johannstadt,5,5,1,1
2007,03 StB Neustadt ohne Leipziger Vorstadt,5,5,1,1
2007,"04 Leipziger Vorstadt, Pieschen",5,5,1,1
2007,"05 Mickten, Kaditz, Trachau",5,5,1,1
2007,06 StB Klotzsche und nördliche OS,5,5,1,1
2007,07 StB Loschwitz und OS Schönfeld-Weißig,6,6,1,1
2007,"08 Blasewitz, Striesen",6,6,1,1
2007,"09 Tolkewitz, Seidnitz, Gruna",5,5,1,1
2007,10 StB Leuben,5,5,1,1
2007,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",5,5,1,1
2007,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",5,5,1,1
