,Jahr,Stadtraum,Heizenergie,Anteil in %
0,1993,01 StB Altstadt ohne Johannstadt,Kohle,"85,2"
1,1993,01 StB Altstadt ohne Johannstadt,Gas,"4,8"
2,1993,01 StB Altstadt ohne Johannstadt,Öl,"7,7"
3,1993,01 StB Altstadt ohne Johannstadt,Strom,"2,4"
4,1993,01 StB Altstadt ohne Johannstadt,sonstige,0
5,1993,02 Johannstadt,Kohle,"85,1"
6,1993,02 Johannstadt,Gas,"6,8"
7,1993,02 Johannstadt,Öl,"2,6"
8,1993,02 Johannstadt,Strom,"5,5"
9,1993,02 Johannstadt,sonstige,0
10,1993,03 StB Neustadt ohne Leipziger Vorstadt,Kohle,"81,8"
11,1993,03 StB Neustadt ohne Leipziger Vorstadt,Gas,10
12,1993,03 StB Neustadt ohne Leipziger Vorstadt,Öl,"8,2"
13,1993,03 StB Neustadt ohne Leipziger Vorstadt,Strom,0
14,1993,03 StB Neustadt ohne Leipziger Vorstadt,sonstige,0
15,1993,"04 Leipziger Vorstadt, Pieschen",Kohle,"85,9"
16,1993,"04 Leipziger Vorstadt, Pieschen",Gas,"9,2"
17,1993,"04 Leipziger Vorstadt, Pieschen",Öl,"4,4"
18,1993,"04 Leipziger Vorstadt, Pieschen",Strom,"0,5"
19,1993,"04 Leipziger Vorstadt, Pieschen",sonstige,0
20,1993,"05 Mickten, Kaditz, Trachau",Kohle,"78,1"
21,1993,"05 Mickten, Kaditz, Trachau",Gas,"12,5"
22,1993,"05 Mickten, Kaditz, Trachau",Öl,6
23,1993,"05 Mickten, Kaditz, Trachau",Strom,"1,3"
24,1993,"05 Mickten, Kaditz, Trachau",sonstige,"2,2"
25,1993,06 StB Klotzsche und nördliche OS,Kohle,"52,2"
26,1993,06 StB Klotzsche und nördliche OS,Gas,"30,8"
27,1993,06 StB Klotzsche und nördliche OS,Öl,"14,4"
28,1993,06 StB Klotzsche und nördliche OS,Strom,"2,7"
29,1993,06 StB Klotzsche und nördliche OS,sonstige,0
30,1993,07 StB Loschwitz und OS Schönfeld-Weißig,Kohle,"56,2"
31,1993,07 StB Loschwitz und OS Schönfeld-Weißig,Gas,"31,2"
32,1993,07 StB Loschwitz und OS Schönfeld-Weißig,Öl,"11,6"
33,1993,07 StB Loschwitz und OS Schönfeld-Weißig,Strom,1
34,1993,07 StB Loschwitz und OS Schönfeld-Weißig,sonstige,0
35,1993,"08 Blasewitz, Striesen",Kohle,"77,8"
36,1993,"08 Blasewitz, Striesen",Gas,"14,5"
37,1993,"08 Blasewitz, Striesen",Öl,"4,2"
38,1993,"08 Blasewitz, Striesen",Strom,"3,6"
39,1993,"08 Blasewitz, Striesen",sonstige,0
40,1993,"09 Tolkewitz, Seidnitz, Gruna",Kohle,73
41,1993,"09 Tolkewitz, Seidnitz, Gruna",Gas,"23,2"
42,1993,"09 Tolkewitz, Seidnitz, Gruna",Öl,1
43,1993,"09 Tolkewitz, Seidnitz, Gruna",Strom,"0,6"
44,1993,"09 Tolkewitz, Seidnitz, Gruna",sonstige,"2,2"
45,1993,10 StB Leuben,Kohle,69
46,1993,10 StB Leuben,Gas,"25,4"
47,1993,10 StB Leuben,Öl,"4,1"
48,1993,10 StB Leuben,Strom,"1,5"
49,1993,10 StB Leuben,sonstige,0
50,1993,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Kohle,"45,1"
51,1993,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Gas,"38,9"
52,1993,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Öl,0
53,1993,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Strom,16
54,1993,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",sonstige,0
55,1993,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Kohle,"56,7"
56,1993,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Gas,"36,7"
57,1993,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Öl,"5,1"
58,1993,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Strom,"0,6"
59,1993,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",sonstige,"0,8"
60,1993,"13 Südvorstadt, Zschertnitz",Kohle,"70,3"
61,1993,"13 Südvorstadt, Zschertnitz",Gas,"25,8"
62,1993,"13 Südvorstadt, Zschertnitz",Öl,"1,7"
63,1993,"13 Südvorstadt, Zschertnitz",Strom,"1,2"
64,1993,"13 Südvorstadt, Zschertnitz",sonstige,1
65,1993,"14 Mockritz, Coschütz, Plauen",Kohle,"59,2"
66,1993,"14 Mockritz, Coschütz, Plauen",Gas,28
67,1993,"14 Mockritz, Coschütz, Plauen",Öl,"7,5"
68,1993,"14 Mockritz, Coschütz, Plauen",Strom,"5,3"
69,1993,"14 Mockritz, Coschütz, Plauen",sonstige,0
70,1993,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Kohle,"80,5"
71,1993,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Gas,12
