,Jahr,Stadtraum,Eigentümer des Gebäudes,Anteil in %
0,1993,01 StB Altstadt ohne Johannstadt,Eigennutzung,0
1,1993,01 StB Altstadt ohne Johannstadt,Eigentümer Wohnungsgenossenschaft,39
2,1993,01 StB Altstadt ohne Johannstadt,Eigentümer Stadt,55
3,1993,01 StB Altstadt ohne Johannstadt,Eigentümer privat,6
4,1993,02 Johannstadt,Eigennutzung,1
5,1993,02 Johannstadt,Eigentümer Wohnungsgenossenschaft,50
6,1993,02 Johannstadt,Eigentümer Stadt,40
7,1993,02 Johannstadt,Eigentümer privat,8
8,1993,03 StB Neustadt ohne Leipziger Vorstadt,Eigennutzung,4
9,1993,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Wohnungsgenossenschaft,8
10,1993,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Stadt,59
11,1993,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer privat,29
12,1993,"04 Leipziger Vorstadt, Pieschen",Eigennutzung,5
13,1993,"04 Leipziger Vorstadt, Pieschen",Eigentümer Wohnungsgenossenschaft,19
14,1993,"04 Leipziger Vorstadt, Pieschen",Eigentümer Stadt,48
15,1993,"04 Leipziger Vorstadt, Pieschen",Eigentümer privat,29
16,1993,"05 Mickten, Kaditz, Trachau",Eigennutzung,9
17,1993,"05 Mickten, Kaditz, Trachau",Eigentümer Wohnungsgenossenschaft,24
18,1993,"05 Mickten, Kaditz, Trachau",Eigentümer Stadt,46
19,1993,"05 Mickten, Kaditz, Trachau",Eigentümer privat,21
20,1993,06 StB Klotzsche und nördliche OS,Eigennutzung,34
21,1993,06 StB Klotzsche und nördliche OS,Eigentümer Wohnungsgenossenschaft,37
22,1993,06 StB Klotzsche und nördliche OS,Eigentümer Stadt,16
23,1993,06 StB Klotzsche und nördliche OS,Eigentümer privat,13
24,1993,07 StB Loschwitz und OS Schönfeld-Weißig,Eigennutzung,47
25,1993,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Wohnungsgenossenschaft,3
26,1993,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Stadt,27
27,1993,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer privat,23
28,1993,"08 Blasewitz, Striesen",Eigennutzung,3
29,1993,"08 Blasewitz, Striesen",Eigentümer Wohnungsgenossenschaft,28
30,1993,"08 Blasewitz, Striesen",Eigentümer Stadt,45
