Jahr,Stadtraum,Fälle erfasst,Fälle aufgeklärt,Tatverdächtige insgesamt
2002,01 StB Altstadt ohne Johannstadt,6718,3461,3270
2002,02 Johannstadt,1524,549,545
2002,03 StB Neustadt ohne Leipziger Vorstadt,5262,2204,1801
2002,"04 Leipziger Vorstadt, Pieschen",3567,1883,1647
2002,"05 Mickten, Kaditz, Trachau",2553,1412,1339
2002,06 StB Klotzsche und nördliche OS,1506,702,659
2002,07 StB Loschwitz und OS Schönfeld-Weißig,1435,793,645
2002,"08 Blasewitz, Striesen",3071,1597,1333
2002,"09 Tolkewitz, Seidnitz, Gruna",2613,1522,1207
2002,10 StB Leuben,1986,1065,845
2002,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",2480,1364,1285
2002,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",2485,1518,1315
2002,"13 Südvorstadt, Zschertnitz",2485,1007,955
2002,"14 Mockritz, Coschütz, Plauen",1496,767,704
2002,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3082,1577,1456
2002,16 Gorbitz,1695,860,747
2002,17 Briesnitz und westliche OS,1256,716,714
2003,01 StB Altstadt ohne Johannstadt,7803,4324,3984
2003,02 Johannstadt,1612,684,652
2003,03 StB Neustadt ohne Leipziger Vorstadt,5914,2475,2081
2003,"04 Leipziger Vorstadt, Pieschen",3690,1800,1606
2003,"05 Mickten, Kaditz, Trachau",2585,1228,1191
2003,06 StB Klotzsche und nördliche OS,1830,806,689
2003,07 StB Loschwitz und OS Schönfeld-Weißig,1422,765,699
2003,"08 Blasewitz, Striesen",2998,1537,1422
2003,"09 Tolkewitz, Seidnitz, Gruna",2483,1340,1143
2003,10 StB Leuben,1967,1046,924
2003,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",2952,1742,1527
2003,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",2785,1674,1464
2003,"13 Südvorstadt, Zschertnitz",2975,1357,1278
2003,"14 Mockritz, Coschütz, Plauen",1470,704,687
2003,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3282,1705,1566
2003,16 Gorbitz,1638,802,752
2003,17 Briesnitz und westliche OS,1342,695,613
2004,01 StB Altstadt ohne Johannstadt,7694,3708,3415
2004,02 Johannstadt,1842,639,505
2004,03 StB Neustadt ohne Leipziger Vorstadt,5469,2465,1944
2004,"04 Leipziger Vorstadt, Pieschen",3944,1799,1476
2004,"05 Mickten, Kaditz, Trachau",2599,1257,1146
2004,06 StB Klotzsche und nördliche OS,1606,691,648
2004,07 StB Loschwitz und OS Schönfeld-Weißig,1520,805,678
2004,"08 Blasewitz, Striesen",3077,1557,1345
2004,"09 Tolkewitz, Seidnitz, Gruna",2406,1228,1083
2004,10 StB Leuben,2094,1148,876
2004,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",2661,1634,1477
2004,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",2397,1394,1252
2004,"13 Südvorstadt, Zschertnitz",2255,808,784
2004,"14 Mockritz, Coschütz, Plauen",1357,618,614
2004,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3132,1593,1394
2004,16 Gorbitz,1719,892,822
2004,17 Briesnitz und westliche OS,1109,497,511
2005,01 StB Altstadt ohne Johannstadt,6678,3626,3365
2005,02 Johannstadt,1603,719,600
2005,03 StB Neustadt ohne Leipziger Vorstadt,5112,2291,2050
2005,"04 Leipziger Vorstadt, Pieschen",3430,1621,1350
2005,"05 Mickten, Kaditz, Trachau",2356,1162,1045
2005,06 StB Klotzsche und nördliche OS,1548,704,640
2005,07 StB Loschwitz und OS Schönfeld-Weißig,1278,659,616
2005,"08 Blasewitz, Striesen",2528,1351,1055
2005,"09 Tolkewitz, Seidnitz, Gruna",2039,1107,958
2005,10 StB Leuben,1749,887,759
2005,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",2222,1390,1247
2005,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",2041,1250,1117
