Statistischer Bezirk;Bodenrichtwerte (cls:L303);Bodenrichtwerte (cls:L483);Bodenrichtwertzonen 2015 - Beschriftung (cls:L580);Bodenleitwerte (cls:L295);Bodenrichtwerte (cls:L318);Bodenrichtwerte (cls:L308);Bodenrichtwerte (cls:L322);Bodenrichtwerte (cls:L311);Bodenrichtwerte (cls:L331);Bodenrichtwerte (cls:L312);Bodenrichtwerte (cls:L326);Bodenrichtwerte (cls:L335);Bodenrichtwerte (cls:L315);Bodenrichtwerte (cls:L329);Bodenrichtwerte (cls:L337);Bodenrichtwertzonen 2011 - Beschriftung (cls:L588);Bodenrichtwertzonen 2013 - Beschriftung (cls:L589);Bodenrichtwerte (cls:L298);Bodenrichtwerte (cls:L301);Bodenrichtwertzonen 2017 - Beschriftung (cls:L682);Bodenrichtwertzonen 2019 - Beschriftung (cls:L1079)
227;2;3;5;0;2;1;2;2;2;2;2;3;2;2;3;5;5;1;2;4;4
622;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1
921;3;1;2;1;2;3;2;2;2;2;2;1;2;2;1;1;2;1;2;2;2
132;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
764;0;1;2;1;0;0;1;0;1;0;1;1;0;1;1;2;2;0;0;2;2
862;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;1;1;0;1;2;2
763;2;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
214;1;1;2;1;1;5;1;3;1;2;1;1;1;1;1;2;2;0;1;2;2
615;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0
568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
991;0;3;4;0;0;0;2;0;3;0;2;3;0;3;3;4;4;0;0;4;4
768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2
554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
061;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
211;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
254;3;5;3;1;5;3;4;4;5;5;5;5;4;4;5;3;3;1;2;3;3
541;2;1;1;0;1;2;1;2;1;1;0;1;1;1;1;1;1;1;1;1;0
477;0;2;1;0;0;0;2;0;2;0;2;2;0;2;2;2;2;0;0;1;1
842;0;1;1;0;1;0;0;0;0;0;1;1;1;0;1;1;1;0;0;1;1
735;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
998;0;6;4;0;5;0;5;0;4;0;5;4;4;4;6;4;4;0;0;4;4
931;1;0;0;1;1;1;1;2;1;1;1;0;1;1;0;0;0;1;2;0;0
963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
242;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
773;1;0;0;0;0;1;1;1;1;0;1;1;0;1;0;0;0;0;1;0;0
964;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
522;1;2;0;0;3;1;3;1;3;2;3;2;3;2;2;0;0;0;1;0;0
578;0;1;0;0;1;2;0;1;1;1;1;1;0;1;1;0;0;1;0;0;0
245;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0
835;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
074;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
625;0;2;4;0;0;0;1;0;1;0;1;1;0;1;2;3;4;0;1;4;4
814;0;1;3;1;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;2;2
244;0;2;0;1;1;1;1;2;1;1;1;2;1;1;2;1;0;0;0;0;0
051;3;2;3;0;2;2;2;2;2;2;2;2;2;2;2;3;3;1;3;2;2
318;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
813;1;2;2;1;0;2;0;1;2;0;1;2;0;1;2;2;2;0;1;2;2
832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
924;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1
454;0;4;6;0;0;0;4;0;3;0;4;4;0;3;4;7;7;0;0;5;5
985;3;6;11;1;5;4;5;3;5;4;5;5;4;5;6;13;11;1;2;11;12
861;0;1;2;2;2;0;1;0;1;0;1;1;0;1;1;2;2;1;0;2;2
851;0;4;6;0;3;1;3;1;3;2;3;4;2;3;4;6;6;0;0;6;6
815;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0
577;2;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;1;1
313;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1
363;0;3;3;0;0;0;3;0;3;0;3;3;0;3;3;6;6;0;0;3;3
818;1;0;0;0;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;0
742;2;6;7;1;4;2;5;4;5;3;6;6;4;6;6;7;7;1;1;7;7
451;0;3;8;0;0;0;2;0;3;0;2;2;0;3;3;8;8;0;0;6;6
215;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
226;0;2;3;1;3;2;3;3;3;3;3;2;3;3;2;3;3;1;0;3;3
558;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0
052;2;0;0;0;2;3;2;2;1;2;2;0;2;2;0;0;0;1;2;0;0
755;2;4;4;1;3;2;3;3;3;3;3;3;3;3;4;3;3;1;1;4;4
916;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2
131;6;5;4;4;6;6;5;6;6;5;6;5;5;6;5;4;4;4;4;4;4
765;2;2;1;0;2;1;2;1;2;1;2;2;2;1;2;1;1;1;1;3;3
774;0;1;2;1;0;0;0;0;1;1;0;1;0;0;1;2;2;0;0;2;2
032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
036;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
353;0;2;3;0;0;0;2;0;2;0;2;2;0;2;2;3;3;0;0;3;3
076;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1
241;1;1;3;0;1;1;1;1;1;1;1;1;1;1;1;3;3;0;0;3;3
982;1;1;3;0;3;2;2;3;2;3;2;1;3;2;1;4;4;1;1;3;3
864;1;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0
868;2;1;0;1;1;2;1;2;1;1;1;1;1;1;1;0;0;1;1;0;0
255;1;0;2;0;0;1;0;1;0;1;0;0;1;0;0;2;2;0;0;2;2
474;0;3;3;0;0;0;2;0;2;0;2;2;0;2;3;4;4;0;0;2;2
542;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
146;1;1;3;0;1;3;2;0;2;1;2;1;1;1;1;3;3;0;1;3;3
845;2;8;8;1;5;2;5;2;6;2;6;8;3;6;8;8;8;2;2;8;8
317;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
772;0;2;1;1;0;0;1;0;1;0;0;1;0;1;2;1;1;0;0;1;1
356;0;2;2;0;0;0;1;0;1;0;1;1;0;1;2;2;2;0;0;1;1
465;0;3;5;0;0;0;3;0;3;0;3;3;0;3;3;5;5;0;0;4;4
734;1;1;2;0;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;2;2
825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
312;0;1;1;1;0;0;1;0;1;0;1;0;0;1;1;1;1;0;0;1;1
364;0;3;5;0;0;0;3;0;3;0;3;3;0;3;3;5;5;0;0;5;5
624;2;3;3;0;3;2;3;2;3;2;3;3;3;3;3;3;3;2;1;3;3
221;2;2;6;1;3;4;3;4;2;3;2;2;3;2;2;7;7;1;0;1;1
904;0;1;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;0;0;1;1
455;0;2;1;0;0;0;1;0;2;0;2;2;0;2;2;2;2;0;0;1;1
986;1;2;3;0;1;2;1;2;1;1;1;1;1;1;1;3;3;0;0;2;2
072;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1
852;2;4;7;1;4;2;4;3;4;3;4;4;3;4;4;7;7;1;2;7;7
935;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;3;1;0;1;1;1
901;0;3;7;0;3;0;2;0;2;0;2;3;2;2;3;5;5;0;0;6;6
754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
766;0;1;3;0;0;0;0;0;0;0;0;0;0;1;0;4;3;0;0;1;1
