Statistischer Bezirk;Hochwasserschadensbeseitigung 2013 - alle aktuell unbeschränkt (cls:L846)
227;0
622;10
921;0
132;2
764;0
862;0
763;0
559;4
214;0
615;0
568;0
991;0
768;0
865;4
554;0
061;4
211;2
254;6
541;0
477;0
842;0
735;0
998;0
931;0
963;0
145;0
242;0
773;2
964;0
522;0
578;0
245;0
835;0
074;0
625;0
814;0
244;0
051;0
318;0
813;0
832;0
924;0
454;2
985;2
861;0
851;0
815;0
577;0
313;0
363;0
818;0
742;0
451;0
215;0
226;2
558;0
052;0
755;0
916;0
131;2
765;0
774;0
032;0
036;0
353;0
076;0
241;0
982;0
864;0
868;0
255;0
474;0
542;0
146;0
845;2
317;0
769;0
952;0
557;0
772;0
356;2
465;2
734;0
825;0
569;0
312;0
364;0
624;16
221;0
904;6
455;0
986;0
072;0
852;0
935;0
901;10
754;0
766;0
743;0
819;0
844;0
737;0
475;0
543;0
936;0
212;4
961;0
993;2
824;0
352;0
753;0
816;0
078;0
316;0
767;0
911;4
523;0
965;0
556;0
053;0
905;2
836;0
324;0
073;0
067;0
355;0
617;0
464;0
576;0
311;0
833;0
902;6
321;0
538;0
925;0
472;2
736;0
141;4
867;0
995;0
951;0
915;0
955;0
033;0
853;0
223;0
452;0
077;0
823;0
983;0
247;0
752;0
817;0
331;0
441;0
213;6
063;0
611;2
545;0
922;0
992;0
351;0
966;0
731;0
514;0
111;0
759;0
626;0
079;0
846;0
517;0
473;2
144;0
934;0
994;0
315;0
054;0
361;2
715;0
906;0
621;14
841;0
725;0
251;0
546;0
751;0
222;0
478;0
616;0
154;0
142;0
822;0
908;0
744;0
228;0
837;0
758;0
225;0
134;6
256;0
761;0
923;0
933;0
997;0
143;0
866;0
555;0
914;0
034;0
062;0
733;0
811;0
863;0
714;0
516;6
113;0
821;0
909;0
762;0
471;0
771;22
246;0
757;0
579;0
623;2
224;0
133;0
932;0
996;0
243;0
967;0
314;0
055;44
362;0
984;0
907;4
257;0
476;0
834;0
614;0
843;0
953;0
071;0
732;0
112;0
332;0
756;0
962;0
812;0
981;0
232;0
035;0
644;0
643;0
122;2
978;0
511;0
721;0
414;4
524;0
114;0
726;0
342;0
572;0
563;0
428;0
233;2
975;0
123;2
972;0
421;0
533;0
151;0
115;0
973;0
723;0
422;0
041;2
958;0
252;0
944;0
722;0
525;0
612;0
642;0
513;0
561;0
571;0
121;0
431;10
253;0
945;0
544;2
069;6
613;0
641;0
724;0
971;0
532;0
043;96
946;0
153;0
068;0
341;0
512;0
117;0
152;0
515;4
116;2
518;0
531;0
042;0
427;0
631;4
234;0
025;4
434;0
977;0
011;6
426;0
045;0
632;4
435;0
954;0
453;0
012;0
411;0
066;0
976;0
551;6
354;2
566;0
838;0
425;0
537;0
044;0
463;0
575;0
521;0
957;0
903;8
741;0
941;0
713;0
322;0
075;0
618;0
727;0
024;0
536;0
633;4
031;0
567;0
839;0
526;0
424;0
047;0
913;0
412;18
065;0
249;0
432;8
574;0
831;0
942;0
462;0
323;0
956;0
619;0
728;2
023;0
553;0
634;16
564;2
974;0
535;0
712;0
912;2
413;0
064;0
046;0
646;8
022;0
527;0
248;0
433;18
461;0
573;0
124;0
565;0
118;0
534;0
645;4
423;0
943;0
711;0
552;0
021;10
231;2
562;0
429;0
