Statistischer Bezirk;Bodenrichtwerte (cls:L303)
227;6
622;0
921;9
132;0
764;0
862;0
763;6
559;0
214;3
615;0
568;0
991;0
768;0
865;0
554;0
061;0
211;3
254;9
541;6
477;0
842;0
735;0
998;0
931;3
963;0
145;0
242;0
773;3
964;0
522;3
578;0
245;0
835;0
074;0
625;0
814;0
244;0
051;9
318;0
813;3
832;0
924;0
454;0
985;9
861;0
851;0
815;3
577;6
313;3
363;0
818;3
742;6
451;0
215;0
226;0
558;0
052;6
755;6
916;0
131;18
765;6
774;0
032;0
036;0
353;0
076;3
241;3
982;3
864;3
868;6
255;3
474;0
542;0
146;3
845;6
317;0
769;0
952;0
557;0
772;0
356;0
465;0
734;3
825;0
569;0
312;0
364;0
624;6
221;6
904;0
455;0
986;3
072;0
852;6
935;3
901;0
754;0
766;0
743;9
819;3
844;3
737;0
475;0
543;0
936;3
212;0
961;0
993;0
824;3
352;0
753;0
816;0
078;3
316;12
767;0
911;6
523;3
965;0
556;0
053;9
905;0
836;3
324;6
073;3
067;3
355;0
617;0
464;0
576;6
311;6
833;0
902;0
321;9
538;0
925;3
472;0
736;0
141;6
867;0
995;0
951;3
915;3
955;0
033;0
853;6
223;3
452;0
077;0
823;6
983;6
247;3
752;6
817;6
331;6
441;0
213;3
063;0
611;3
545;6
922;3
992;0
351;0
966;0
731;6
514;3
111;6
759;3
626;6
079;0
846;3
517;0
473;0
144;0
934;0
994;0
315;6
054;0
361;0
715;0
906;0
621;12
841;0
725;0
251;6
546;0
751;6
222;0
478;0
616;0
154;0
142;6
822;3
908;0
744;0
228;0
837;0
758;0
225;6
134;3
256;3
761;12
923;3
933;3
997;0
143;3
866;0
555;0
914;0
034;9
062;0
733;6
811;6
863;0
714;0
516;3
113;0
821;0
909;0
762;3
471;0
771;3
246;0
757;0
579;3
623;0
224;0
133;3
932;9
996;0
243;6
967;0
314;9
055;3
362;0
984;6
907;0
257;6
476;0
834;0
614;3
843;0
953;0
071;3
732;6
112;0
332;0
756;6
962;0
812;0
981;9
232;3
035;0
644;0
643;0
122;9
978;0
511;9
721;0
414;6
524;3
114;0
726;0
342;0
572;6
563;3
428;6
233;3
975;0
123;3
972;0
421;6
533;6
151;0
115;0
973;0
723;0
422;3
041;12
958;6
252;6
944;3
722;0
525;0
612;3
642;0
513;0
561;3
571;6
121;3
431;3
253;0
945;6
544;3
069;0
613;0
641;3
724;0
971;0
532;0
043;3
946;9
153;0
068;3
341;0
512;15
117;0
152;3
515;9
116;0
518;0
531;0
042;0
427;6
631;6
234;3
025;0
434;3
977;0
011;12
426;3
045;0
632;3
435;3
954;3
453;0
012;6
411;6
066;3
976;0
551;6
354;0
566;6
838;0
425;6
537;0
044;0
463;0
575;0
521;0
957;0
903;0
741;6
941;3
713;0
322;12
075;0
618;0
727;0
024;3
536;0
633;6
031;9
567;0
839;3
526;0
424;6
047;3
913;3
412;6
065;3
249;0
432;6
574;0
831;3
942;3
462;0
323;12
956;0
619;0
728;0
023;0
553;0
634;9
564;9
974;0
535;0
712;3
912;3
413;6
064;0
046;0
646;6
022;0
527;6
248;3
433;3
461;0
573;0
124;0
565;0
118;3
534;0
645;9
423;3
943;3
711;0
552;0
021;3
231;0
562;0
429;3
