Statistischer Bezirk;Betreutes Wohnen (cls:L254)
227;0
622;0
921;0
132;0
764;0
862;0
763;2
559;0
214;0
615;0
568;0
991;0
768;0
865;0
554;0
061;0
211;0
254;0
541;2
477;0
842;0
735;0
998;0
931;0
963;0
145;2
242;0
773;0
964;0
522;0
578;2
245;0
835;0
074;0
625;0
814;0
244;0
051;0
318;0
813;0
832;0
924;0
454;0
985;0
861;0
851;0
815;0
577;0
313;0
363;0
818;0
742;0
451;0
215;0
226;0
558;0
052;0
755;0
916;0
131;0
765;0
774;0
032;0
036;0
353;0
076;0
241;0
982;0
864;0
868;4
255;2
474;0
542;0
146;0
845;0
317;0
769;0
952;0
557;0
772;0
356;0
465;0
734;0
825;0
569;0
312;0
364;0
624;2
221;0
904;0
455;0
986;0
072;0
852;0
935;0
901;0
754;0
766;2
743;0
819;0
844;0
737;0
475;0
543;0
936;0
212;2
961;0
993;0
824;0
352;2
753;0
816;0
078;0
316;0
767;0
911;0
523;0
965;2
556;0
053;2
905;0
836;0
324;0
073;2
067;0
355;0
617;0
464;0
576;4
311;0
833;0
902;0
321;0
538;4
925;0
472;0
736;0
141;0
867;0
995;0
951;2
915;0
955;0
033;0
853;0
223;0
452;0
077;0
823;0
983;0
247;0
752;0
817;0
331;0
441;0
213;0
063;0
611;0
545;0
922;0
992;0
351;0
966;0
731;0
514;0
111;2
759;0
626;0
079;0
846;0
517;2
473;0
144;0
934;0
994;0
315;0
054;0
361;0
715;0
906;0
621;0
841;0
725;0
251;0
546;0
751;0
222;0
478;0
616;0
154;0
142;0
822;0
908;0
744;0
228;0
837;0
758;2
225;0
134;2
256;0
761;0
923;0
933;0
997;0
143;0
866;0
555;0
914;0
034;2
062;0
733;0
811;0
863;0
714;0
516;0
113;0
821;0
909;0
762;2
471;0
771;0
246;2
757;0
579;0
623;0
224;0
133;0
932;2
996;0
243;0
967;0
314;0
055;0
362;2
984;0
907;0
257;0
476;0
834;0
614;0
843;2
953;0
071;0
732;0
112;0
332;0
756;0
962;0
812;0
981;0
232;0
035;0
644;0
643;0
122;2
978;0
511;0
721;0
414;0
524;0
114;2
726;0
342;0
572;0
563;0
428;0
233;0
975;0
123;2
972;0
421;2
533;0
151;0
115;0
973;0
723;0
422;0
041;0
958;0
252;2
944;0
722;0
525;2
612;0
642;0
513;0
561;0
571;0
121;2
431;0
253;0
945;0
544;0
069;0
613;0
641;0
724;0
971;0
532;0
043;0
946;0
153;0
068;0
341;0
512;0
117;2
152;2
515;2
116;0
518;0
531;0
042;0
427;0
631;0
234;0
025;0
434;0
977;0
011;2
426;0
045;0
632;0
435;0
954;2
453;2
012;2
411;0
066;4
976;0
551;0
354;0
566;0
838;0
425;0
537;0
044;2
463;0
575;0
521;0
957;0
903;0
741;0
941;0
713;0
322;0
075;0
618;0
727;2
024;2
536;0
633;0
031;2
567;0
839;0
526;0
424;2
047;0
913;0
412;0
065;0
249;0
432;2
574;0
831;0
942;0
462;0
323;0
956;0
619;0
728;0
023;0
553;0
634;0
564;0
974;0
535;0
712;0
912;0
413;0
064;0
046;0
646;0
022;0
527;2
248;0
433;0
461;0
573;0
124;0
565;0
118;0
534;0
645;0
423;2
943;0
711;0
552;0
021;0
231;0
562;0
429;0
