Statistischer Bezirk;Bodenrichtwertzonen 2019 - Beschriftung (cls:L1079)
227;4
622;1
921;2
132;1
764;2
862;2
763;1
559;0
214;2
615;0
568;0
991;4
768;0
865;2
554;0
061;0
211;1
254;3
541;0
477;1
842;1
735;0
998;4
931;0
963;0
145;0
242;1
773;0
964;1
522;0
578;0
245;0
835;1
074;0
625;4
814;2
244;0
051;2
318;1
813;2
832;0
924;1
454;5
985;12
861;2
851;6
815;0
577;1
313;1
363;3
818;0
742;7
451;6
215;1
226;3
558;0
052;0
755;4
916;2
131;4
765;3
774;2
032;0
036;0
353;3
076;1
241;3
982;3
864;0
868;0
255;2
474;2
542;2
146;3
845;8
317;1
769;0
952;0
557;1
772;1
356;1
465;4
734;2
825;0
569;0
312;1
364;5
624;3
221;1
904;1
455;1
986;2
072;1
852;7
935;1
901;6
754;0
766;1
743;6
819;1
844;3
737;0
475;2
543;0
936;0
212;1
961;0
993;5
824;2
352;3
753;1
816;0
078;0
316;5
767;1
911;4
523;0
965;0
556;0
053;0
905;3
836;2
324;6
073;1
067;1
355;4
617;1
464;2
576;3
311;6
833;0
902;7
321;5
538;4
925;1
472;2
736;0
141;3
867;2
995;1
951;0
915;2
955;0
033;2
853;9
223;1
452;3
077;1
823;4
983;8
247;2
752;9
817;3
331;1
441;0
213;0
063;0
611;1
545;1
922;4
992;3
351;6
966;0
731;4
514;1
111;3
759;6
626;2
079;1
846;1
517;1
473;1
144;1
934;0
994;2
315;3
054;4
361;5
715;1
906;4
621;2
841;1
725;0
251;3
546;1
751;3
222;1
478;1
616;0
154;0
142;1
822;2
908;1
744;2
228;0
837;0
758;1
225;6
134;1
256;2
761;3
923;0
933;3
997;1
143;1
866;1
555;1
914;2
034;3
062;1
733;1
811;0
863;1
714;0
516;1
113;0
821;1
909;4
762;3
471;3
771;1
246;2
757;1
579;1
623;2
224;1
133;2
932;1
996;1
243;1
967;0
314;9
055;1
362;6
984;3
907;2
257;6
476;1
834;1
614;1
843;0
953;0
071;0
732;3
112;0
332;0
756;3
962;1
812;0
981;6
232;6
035;1
644;1
643;1
122;3
978;0
511;1
721;0
414;3
524;0
114;0
726;0
342;1
572;0
563;2
428;3
233;9
975;1
123;9
972;0
421;4
533;1
151;0
115;0
973;0
723;0
422;3
041;3
958;3
252;2
944;3
722;0
525;1
612;2
642;0
513;0
561;4
571;1
121;1
431;2
253;2
945;14
544;1
069;0
613;2
641;4
724;0
971;2
532;1
043;0
946;8
153;2
068;1
341;2
512;5
117;1
152;4
515;3
116;0
518;0
531;1
042;1
427;3
631;5
234;1
025;1
434;3
977;1
011;7
426;1
045;2
632;1
435;1
954;0
453;3
012;6
411;1
066;1
976;0
551;3
354;9
566;3
838;0
425;6
537;1
044;0
463;5
575;0
521;0
957;0
903;5
741;4
941;1
713;0
322;7
075;0
618;0
727;0
024;0
536;2
633;5
031;8
567;2
839;1
526;0
424;3
047;0
913;1
412;9
065;0
249;1
432;2
574;0
831;4
942;1
462;2
323;4
956;0
619;2
728;0
023;1
553;1
634;6
564;5
974;0
535;0
712;0
912;3
413;0
064;0
046;0
646;4
022;1
527;3
248;5
433;3
461;4
573;1
124;2
565;0
118;3
534;1
645;2
423;1
943;1
711;3
552;1
021;1
231;2
562;1
429;2
