Statistischer Bezirk;Lebensmittelmärkte (cls:L700);WLAN-Hotspots (cls:L581);Paketstationen/Paketboxen (cls:L582);Märkte (cls:L108);Geldautomaten (cls:L110);Notare (cls:L109);Verbraucherberatung (cls:L461)
227;0;2;0;0;6;0;0
622;0;0;0;0;0;0;0
921;2;8;2;0;9;0;0
132;2;12;0;3;6;0;0
764;0;0;0;0;0;0;0
862;2;2;2;0;0;0;0
763;0;2;0;0;0;0;2
559;0;0;0;0;0;0;0
214;0;4;0;0;0;0;0
615;0;0;0;0;0;0;0
568;0;0;0;0;0;0;0
991;0;0;0;0;0;0;0
768;0;0;0;0;0;0;0
865;0;2;0;0;3;0;0
554;6;2;4;0;0;0;0
061;0;0;0;0;3;0;0
211;0;0;0;0;0;0;0
254;2;20;0;0;3;0;0
541;0;0;0;0;6;6;0
477;0;0;0;0;0;0;0
842;0;0;0;0;0;0;0
735;0;0;0;0;0;0;0
998;0;14;0;0;0;0;0
931;2;10;0;0;3;0;0
963;0;0;0;0;0;0;0
145;2;2;0;0;0;0;0
242;0;0;0;0;0;0;0
773;2;0;0;0;0;0;0
964;2;0;0;0;0;0;0
522;0;0;0;0;0;0;0
578;0;0;0;0;0;0;0
245;0;0;0;0;0;0;0
835;0;0;0;0;3;0;0
074;0;0;0;0;0;0;0
625;2;0;0;0;0;0;0
814;0;0;0;0;0;0;0
244;0;0;0;0;3;0;0
051;4;10;0;0;3;0;0
318;0;0;0;0;0;0;0
813;2;0;2;0;3;0;0
832;0;0;0;0;0;0;0
924;0;6;0;0;0;0;0
454;0;0;0;0;0;0;0
985;2;2;0;0;0;0;0
861;2;0;0;0;0;0;0
851;0;2;0;0;0;0;0
815;0;10;2;0;3;0;0
577;0;0;0;0;0;0;0
313;0;0;0;0;0;0;0
363;0;0;0;0;0;0;0
818;2;0;0;0;0;0;0
742;0;24;0;0;3;0;0
451;0;0;0;0;0;0;0
215;0;0;0;0;0;0;0
226;2;0;0;0;0;0;0
558;0;0;0;0;0;0;0
052;0;6;0;0;3;0;0
755;4;2;2;0;3;0;0
916;2;0;0;0;0;0;0
131;4;12;2;3;15;9;0
765;2;2;0;0;0;0;0
774;2;0;0;0;0;0;0
032;0;2;0;0;3;0;0
036;0;2;0;3;0;0;0
353;0;0;0;0;3;0;0
076;0;0;0;0;0;0;0
241;0;0;0;3;0;0;0
982;0;0;0;0;0;0;0
864;0;0;0;0;0;0;0
868;0;0;0;0;0;0;0
255;0;0;0;0;0;0;0
474;0;0;0;0;0;0;0
542;2;2;0;0;3;0;0
146;2;4;0;0;3;0;0
845;0;0;0;0;0;0;0
317;2;4;0;0;3;0;0
769;0;0;0;0;0;0;0
952;0;0;0;0;0;0;0
557;2;0;0;0;0;0;0
772;0;0;0;0;0;0;0
356;0;0;0;0;0;0;0
465;0;0;0;0;0;0;0
734;0;0;0;0;0;0;0
825;0;0;0;0;0;0;0
569;0;0;0;0;0;0;0
312;2;2;0;0;0;0;0
364;0;0;0;0;0;0;0
624;2;0;0;0;0;0;0
221;2;6;0;0;0;0;0
904;0;0;0;0;0;0;0
455;0;0;0;0;0;0;0
986;0;0;0;0;0;0;0
072;0;0;0;0;0;0;0
852;2;0;0;0;0;0;0
935;0;32;0;0;0;0;0
901;0;2;0;0;3;0;0
754;0;0;0;0;0;0;0
766;2;0;0;0;3;0;0
743;4;8;0;0;12;0;0
819;2;2;0;3;3;0;0
844;0;0;0;0;0;0;0
737;0;0;0;0;0;0;0
475;0;0;0;0;0;0;0
543;2;0;0;0;0;0;0
936;2;0;0;0;0;0;0
212;4;0;0;0;0;0;0
961;2;0;0;0;0;0;0
993;2;8;0;0;3;0;0
824;0;2;0;0;0;0;0
352;0;0;0;0;0;0;0
753;2;0;0;0;0;0;0
816;0;0;0;0;0;0;0
078;0;2;0;0;0;0;0
316;4;0;0;0;6;0;0
767;0;0;0;0;3;0;0
911;4;0;0;0;3;0;0
523;0;2;0;0;0;0;0
965;0;0;0;0;0;0;0
556;0;0;0;0;0;0;0
053;2;4;0;0;6;0;0
905;0;0;0;0;0;0;0
836;4;2;0;0;0;0;0
324;0;2;0;3;0;0;0
073;2;4;0;0;0;0;0
067;0;0;0;0;0;0;0
355;0;0;0;0;0;0;0
617;2;0;0;0;3;0;0
464;0;0;0;0;0;0;0
576;6;4;0;0;3;0;0
311;0;6;0;0;3;0;0
833;0;0;0;0;3;0;0
902;0;0;0;0;0;0;0
321;0;0;0;0;0;0;0
538;8;12;4;0;0;0;0
925;0;0;0;0;0;0;0
472;0;0;0;0;0;0;0
736;0;0;0;0;0;0;0
141;0;0;2;0;3;0;0
867;0;0;0;0;0;0;0
995;0;0;0;0;0;0;0
951;0;0;0;0;0;0;0
915;0;0;0;0;0;0;0
955;0;0;0;0;0;0;0
033;2;2;0;0;0;0;0
853;2;0;0;0;3;0;0
223;0;4;0;0;0;0;0
452;2;2;0;0;3;0;0
077;2;0;2;0;3;0;0
823;0;4;0;0;0;0;0
983;0;0;0;0;0;0;0
247;0;0;0;0;0;0;0
752;2;0;0;0;0;0;0
817;0;4;0;0;0;3;0
331;0;2;0;0;6;0;0
441;0;0;0;0;0;0;0
213;2;2;0;0;6;0;0
063;0;0;0;0;0;0;0
611;2;4;0;0;6;0;0
545;0;0;0;0;0;0;0
922;2;0;0;0;9;0;0
992;0;0;0;0;0;0;0
351;4;0;0;0;0;0;0
966;0;4;0;0;0;0;0
731;2;2;0;0;3;0;0
514;4;2;0;0;3;0;0
111;4;4;2;0;9;0;0
759;0;0;0;0;0;0;0
626;0;8;0;0;3;0;0
079;2;2;0;3;0;0;0
846;0;0;0;0;0;0;0
517;0;6;2;0;3;0;0
473;0;0;0;0;0;0;0
144;2;20;0;0;3;0;0
934;0;2;0;0;0;0;0
994;0;0;0;0;0;0;0
315;2;0;0;3;6;0;0
054;0;10;0;0;0;0;0
361;2;2;0;0;0;0;0
715;4;2;0;3;6;0;0
906;0;2;0;0;0;0;0
621;8;6;0;0;0;0;0
841;4;0;0;0;3;0;0
725;0;0;0;0;0;0;0
251;2;2;0;0;3;0;0
546;0;0;0;0;0;0;0
751;0;0;0;0;0;0;0
222;0;0;0;0;3;0;0
478;0;0;0;0;0;0;0
616;0;0;0;0;0;0;0
154;0;0;0;0;0;0;0
142;0;4;0;0;0;0;0
