Statistischer Bezirk;2013: Temperatur 1m unter Wasserspiegel  (Messwerte in Dresden) (cls:L960);2017: Temperatur 1m unter Wasserspiegel (Messwerte in Dresden) (cls:L961);2015: Temperatur 1m über Grundwasserleitersohle (Messwerte) (cls:L967);2015: Temperatur 1m unter Wasserspiegel (Messwerte) (cls:L970)
227;6;6;2;6
622;2;2;2;2
921;6;10;8;10
132;0;0;0;0
764;0;0;0;0
862;0;0;0;0
763;0;0;0;0
559;10;10;6;8
214;0;0;0;0
615;0;0;0;0
568;0;0;0;0
991;2;2;2;4
768;0;0;0;0
865;0;0;0;0
554;0;0;0;0
061;0;0;0;0
211;2;2;2;2
254;2;2;0;2
541;0;0;0;0
477;2;2;0;2
842;0;0;0;0
735;0;0;0;0
998;2;2;2;2
931;4;4;4;4
963;0;0;0;0
145;0;0;0;0
242;0;0;0;0
773;0;0;0;0
964;0;0;0;0
522;2;2;2;2
578;2;0;0;0
245;2;2;2;2
835;0;0;0;0
074;2;2;2;2
625;8;6;6;6
814;0;0;0;0
244;0;0;0;0
051;12;12;14;16
318;0;0;0;0
813;4;4;4;4
832;0;0;0;0
924;0;0;0;0
454;2;2;2;2
985;0;2;2;2
861;2;2;0;2
851;12;14;14;14
815;0;2;0;2
577;0;0;0;0
313;0;0;0;0
363;0;0;2;2
818;0;0;0;0
742;14;14;10;12
451;4;4;2;2
215;0;0;0;0
226;4;4;4;4
558;0;0;0;0
052;2;2;2;2
755;2;2;2;2
916;0;2;2;2
131;4;6;6;6
765;0;0;0;0
774;2;2;2;2
032;4;4;4;4
036;16;16;8;16
353;2;2;2;2
076;0;0;0;0
241;0;0;0;0
982;4;6;2;6
864;0;0;0;0
868;2;2;0;0
255;2;2;2;2
474;4;4;4;6
542;2;2;2;2
146;2;2;2;2
845;4;4;4;4
317;0;0;0;0
769;0;0;0;0
952;0;0;0;0
557;0;0;0;0
772;0;0;0;0
356;2;2;2;2
465;4;4;4;4
734;2;2;2;2
825;0;0;0;0
569;0;0;0;0
312;0;0;0;0
364;2;2;2;2
624;4;4;2;4
221;2;0;0;0
904;0;0;0;0
455;0;0;0;0
986;2;2;2;2
072;0;0;0;0
852;8;8;8;8
935;0;0;0;0
901;10;10;8;10
754;0;0;0;0
766;0;0;0;0
743;2;2;0;2
819;0;0;0;0
844;6;8;8;8
737;0;0;0;0
475;8;6;6;6
543;0;0;0;0
936;0;0;0;0
212;2;2;2;2
961;0;0;0;0
993;6;6;4;4
824;4;4;4;4
352;2;2;0;2
753;0;0;0;0
816;0;0;0;0
078;0;0;0;0
316;0;0;0;0
767;0;0;0;0
911;0;0;0;0
523;0;0;0;0
965;0;0;0;0
556;0;0;0;0
053;12;12;10;12
905;0;0;0;0
836;0;0;0;0
324;0;0;0;0
073;0;0;0;0
067;2;2;0;2
355;2;0;0;0
617;0;0;0;0
464;0;0;0;0
576;4;4;4;4
311;0;0;0;0
833;0;0;0;0
902;2;2;2;2
321;8;8;6;6
538;4;4;4;4
925;0;0;0;0
472;2;2;2;2
736;0;0;0;0
141;4;4;2;4
867;0;0;0;0
995;2;2;2;2
951;2;2;2;2
915;0;0;0;0
955;0;0;0;0
033;8;6;6;6
853;2;2;2;2
223;2;2;2;2
452;0;0;0;0
077;0;0;0;0
823;0;0;0;0
983;0;0;0;0
247;0;0;0;0
752;2;2;2;2
817;0;0;0;0
331;12;12;8;12
441;10;10;8;10
213;0;0;0;0
063;2;2;2;2
611;2;2;2;2
545;0;0;0;0
922;2;2;2;2
992;2;2;0;2
351;0;2;0;2
966;0;0;0;0
731;2;2;2;2
514;0;0;0;0
111;0;0;0;0
759;0;0;0;0
626;4;4;4;4
079;0;0;0;0
846;0;0;0;0
517;0;0;0;0
473;0;0;0;0
144;0;0;0;0
934;2;2;2;2
994;2;2;2;2
315;0;0;0;0
054;10;6;10;10
361;10;10;8;10
715;0;0;0;0
906;0;0;0;0
621;6;6;6;6
841;0;0;0;0
725;0;0;0;0
251;6;6;2;6
546;0;0;0;0
751;0;0;0;0
222;0;0;0;0
478;0;0;0;0
616;0;0;0;0
154;2;2;2;2
142;0;0;0;0
822;4;4;4;4
908;2;2;2;2
744;2;2;2;2
228;4;6;8;8
837;0;0;0;0
758;0;0;0;0
225;8;10;10;10
134;2;0;0;0
256;0;0;0;0
