Statistischer Bezirk;Infrastruktur (cls:L51)
227;6
622;3
921;0
132;12
764;0
862;0
763;0
559;0
214;0
615;3
568;0
991;3
768;0
865;3
554;0
061;0
211;0
254;6
541;6
477;12
842;0
735;0
998;6
931;3
963;0
145;9
242;0
773;0
964;3
522;0
578;0
245;3
835;0
074;0
625;0
814;0
244;0
051;6
318;0
813;3
832;0
924;0
454;9
985;0
861;0
851;6
815;0
577;3
313;9
363;0
818;3
742;27
451;6
215;6
226;0
558;0
052;3
755;3
916;0
131;18
765;3
774;3
032;0
036;12
353;6
076;0
241;0
982;3
864;0
868;0
255;0
474;27
542;0
146;0
845;6
317;3
769;0
952;0
557;0
772;0
356;3
465;0
734;0
825;3
569;0
312;0
364;9
624;0
221;0
904;9
455;6
986;3
072;0
852;3
935;0
901;9
754;0
766;0
743;9
819;6
844;3
737;0
475;0
543;0
936;0
212;9
961;3
993;15
824;0
352;0
753;0
816;0
078;0
316;18
767;0
911;6
523;0
965;0
556;0
053;6
905;6
836;0
324;0
073;0
067;3
355;18
617;0
464;6
576;3
311;12
833;0
902;9
321;21
538;9
925;0
472;15
736;0
141;12
867;0
995;0
951;0
915;0
955;0
033;0
853;9
223;0
452;6
077;3
823;9
983;3
247;0
752;6
817;9
331;21
441;36
213;18
063;0
611;12
545;0
922;3
992;0
351;0
966;0
731;3
514;3
111;6
759;0
626;0
079;3
846;0
517;3
473;3
144;0
934;3
994;3
315;6
054;21
361;24
715;3
906;15
621;3
841;0
725;0
251;3
546;0
751;3
222;0
478;0
616;0
154;0
142;0
822;3
908;0
744;0
228;0
837;0
758;0
225;3
134;15
256;0
761;9
923;0
933;0
997;21
143;3
866;9
555;0
914;0
034;3
062;0
733;0
811;6
863;0
714;0
516;3
113;9
821;3
909;12
762;3
471;24
771;3
246;9
757;0
579;0
623;0
224;0
133;3
932;3
996;6
243;0
967;3
314;0
055;12
362;0
984;3
907;6
257;3
476;0
834;0
614;3
843;0
953;0
071;3
732;6
112;3
332;0
756;0
962;3
812;3
981;9
232;3
035;27
644;0
643;0
122;12
978;0
511;3
721;0
414;3
524;0
114;12
726;0
342;0
572;0
563;3
428;0
233;6
975;0
123;9
972;0
421;12
533;0
151;0
115;15
973;0
723;0
422;3
041;15
958;6
252;9
944;6
722;0
525;6
612;0
642;0
513;0
561;6
571;0
121;3
431;3
253;0
945;18
544;0
069;3
613;0
641;0
724;9
971;0
532;0
043;27
946;9
153;9
068;9
341;12
512;12
117;0
152;15
515;0
116;9
518;0
531;0
042;6
427;9
631;0
234;0
025;6
434;3
977;0
011;42
426;0
045;0
632;3
435;0
954;3
453;6
012;12
411;3
066;0
976;0
551;3
354;24
566;3
838;0
425;3
537;0
044;0
463;9
575;0
521;0
957;0
903;15
741;6
941;3
713;0
322;15
075;0
618;0
727;0
024;0
536;0
633;6
031;15
567;3
839;0
526;0
424;9
047;0
913;0
412;39
065;0
249;6
432;6
574;0
831;12
942;0
462;0
323;12
956;0
619;3
728;3
023;0
553;0
634;9
564;6
974;0
535;0
712;3
912;12
413;0
064;0
046;0
646;6
022;0
527;0
248;6
433;42
461;0
573;0
124;0
565;0
118;0
534;0
645;0
423;0
943;0
711;0
552;0
021;3
231;6
562;0
429;0
