Statistischer Bezirk;Lebensmittelmärkte (cls:L700)
227;0
622;0
921;3
132;3
764;0
862;3
763;0
559;0
214;0
615;0
568;0
991;0
768;0
865;0
554;9
061;0
211;0
254;3
541;0
477;0
842;0
735;0
998;0
931;3
963;0
145;3
242;0
773;3
964;3
522;0
578;0
245;0
835;0
074;0
625;3
814;0
244;0
051;6
318;0
813;3
832;0
924;0
454;0
985;3
861;3
851;0
815;0
577;0
313;0
363;0
818;3
742;0
451;0
215;0
226;3
558;0
052;0
755;6
916;3
131;6
765;3
774;3
032;0
036;0
353;0
076;0
241;0
982;0
864;0
868;0
255;0
474;0
542;3
146;3
845;0
317;3
769;0
952;0
557;3
772;0
356;0
465;0
734;0
825;0
569;0
312;3
364;0
624;3
221;3
904;0
455;0
986;0
072;0
852;3
935;0
901;0
754;0
766;3
743;6
819;3
844;0
737;0
475;0
543;3
936;3
212;6
961;3
993;3
824;0
352;0
753;3
816;0
078;0
316;6
767;0
911;6
523;0
965;0
556;0
053;3
905;0
836;6
324;0
073;3
067;0
355;0
617;3
464;0
576;9
311;0
833;0
902;0
321;0
538;12
925;0
472;0
736;0
141;0
867;0
995;0
951;0
915;0
955;0
033;3
853;3
223;0
452;3
077;3
823;0
983;0
247;0
752;3
817;0
331;0
441;0
213;3
063;0
611;3
545;0
922;3
992;0
351;6
966;0
731;3
514;6
111;6
759;0
626;0
079;3
846;0
517;0
473;0
144;3
934;0
994;0
315;3
054;0
361;3
715;6
906;0
621;12
841;6
725;0
251;3
546;0
751;0
222;0
478;0
616;0
154;0
142;0
822;6
908;0
744;0
228;0
837;0
758;0
225;6
134;0
256;3
761;6
923;0
933;3
997;0
143;3
866;0
555;0
914;0
034;3
062;3
733;0
811;6
863;0
714;3
516;0
113;9
821;0
909;3
762;3
471;0
771;6
246;3
757;0
579;0
623;0
224;0
133;0
932;6
996;0
243;0
967;0
314;6
055;0
362;0
984;3
907;0
257;3
476;0
834;6
614;9
843;0
953;0
071;9
732;0
112;3
332;0
756;0
962;0
812;0
981;3
232;0
035;0
644;0
643;0
122;0
978;0
511;0
721;0
414;0
524;0
114;6
726;0
342;0
572;0
563;0
428;0
233;0
975;3
123;6
972;3
421;3
533;0
151;0
115;0
973;0
723;0
422;0
041;6
958;0
252;3
944;0
722;0
525;0
612;3
642;3
513;0
561;6
571;3
121;0
431;0
253;0
945;0
544;9
069;0
613;3
641;3
724;3
971;6
532;0
043;3
946;0
153;0
068;6
341;0
512;3
117;0
152;6
515;3
116;3
518;0
531;0
042;0
427;6
631;0
234;0
025;3
434;0
977;0
011;3
426;0
045;0
632;3
435;0
954;3
453;3
012;9
411;0
066;6
976;0
551;0
354;0
566;0
838;0
425;9
537;0
044;3
463;0
575;0
521;0
957;0
903;6
741;0
941;3
713;0
322;3
075;0
618;0
727;0
024;0
536;3
633;0
031;15
567;9
839;0
526;0
424;0
047;0
913;0
412;6
065;0
249;0
432;3
574;0
831;0
942;0
462;0
323;0
956;3
619;3
728;3
023;3
553;0
634;0
564;3
974;0
535;0
712;0
912;3
413;0
064;6
046;0
646;0
022;3
527;3
248;0
433;0
461;3
573;0
124;0
565;0
118;3
534;3
645;3
423;0
943;0
711;0
552;0
021;0
231;3
562;0
429;0
