Statistischer Bezirk;Sirenen (cls:L564)
227;3
622;3
921;3
132;3
764;3
862;0
763;0
559;0
214;0
615;0
568;0
991;3
768;3
865;3
554;0
061;0
211;0
254;0
541;0
477;3
842;0
735;0
998;3
931;0
963;0
145;0
242;0
773;0
964;0
522;0
578;0
245;0
835;0
074;3
625;3
814;0
244;0
051;3
318;3
813;3
832;0
924;0
454;3
985;3
861;3
851;3
815;0
577;0
313;0
363;3
818;0
742;9
451;0
215;3
226;0
558;3
052;3
755;3
916;3
131;0
765;0
774;0
032;3
036;0
353;6
076;0
241;3
982;3
864;0
868;3
255;0
474;3
542;0
146;3
845;3
317;0
769;0
952;0
557;0
772;0
356;3
465;3
734;3
825;0
569;0
312;3
364;3
624;3
221;0
904;3
455;0
986;3
072;0
852;3
935;0
901;9
754;0
766;0
743;6
819;0
844;3
737;0
475;12
543;0
936;0
212;3
961;0
993;6
824;0
352;0
753;0
816;0
078;0
316;0
767;0
911;0
523;0
965;0
556;0
053;3
905;3
836;0
324;0
073;0
067;3
355;3
617;0
464;0
576;3
311;3
833;0
902;0
321;3
538;3
925;3
472;3
736;0
141;3
867;0
995;3
951;3
915;0
955;0
033;0
853;3
223;3
452;3
077;3
823;0
983;6
247;0
752;3
817;3
331;6
441;0
213;3
063;0
611;3
545;3
922;0
992;3
351;0
966;3
731;3
514;3
111;3
759;0
626;0
079;3
846;3
517;0
473;0
144;3
934;3
994;0
315;3
054;3
361;3
715;0
906;3
621;0
841;3
725;0
251;0
546;0
751;0
222;0
478;0
616;0
154;0
142;0
822;3
908;3
744;0
228;0
837;0
758;0
225;3
134;3
256;0
761;3
923;0
933;0
997;3
143;0
866;0
555;0
914;0
034;0
062;0
733;3
811;0
863;3
714;0
516;3
113;0
821;0
909;6
762;3
471;3
771;3
246;0
757;3
579;3
623;3
224;3
133;0
932;0
996;0
243;0
967;0
314;3
055;6
362;3
984;0
907;3
257;9
476;0
834;0
614;3
843;0
953;0
071;0
732;0
112;0
332;0
756;6
962;0
812;0
981;6
232;3
035;0
644;0
643;3
122;6
978;0
511;0
721;3
414;0
524;0
114;0
726;3
342;3
572;0
563;3
428;3
233;9
975;0
123;0
972;0
421;6
533;0
151;0
115;3
973;3
723;0
422;0
041;3
958;0
252;3
944;3
722;0
525;0
612;0
642;0
513;0
561;3
571;0
121;0
431;3
253;3
945;9
544;3
069;0
613;3
641;0
724;0
971;0
532;3
043;0
946;3
153;3
068;0
341;0
512;3
117;0
152;6
515;0
116;0
518;0
531;0
042;0
427;3
631;0
234;3
025;0
434;3
977;0
011;6
426;0
045;3
632;3
435;0
954;0
453;0
012;0
411;0
066;0
976;0
551;3
354;3
566;0
838;3
425;0
537;0
044;0
463;3
575;0
521;0
957;3
903;6
741;3
941;0
713;0
322;9
075;0
618;3
727;0
024;0
536;0
633;3
031;6
567;6
839;0
526;0
424;3
047;0
913;0
412;3
065;0
249;0
432;3
574;0
831;3
942;0
462;0
323;3
956;3
619;0
728;0
023;0
553;0
634;6
564;0
974;0
535;0
712;0
912;6
413;0
064;3
046;0
646;0
022;0
527;0
248;3
433;3
461;3
573;3
124;3
565;3
118;0
534;0
645;3
423;0
943;0
711;3
552;0
021;0
231;3
562;0
429;3
