Statistischer Bezirk;Bodenrichtwerte (cls:L315)
227;6
622;0
921;6
132;0
764;0
862;3
763;3
559;0
214;3
615;3
568;0
991;0
768;0
865;0
554;0
061;0
211;3
254;12
541;3
477;0
842;3
735;0
998;12
931;3
963;0
145;0
242;0
773;0
964;0
522;9
578;0
245;0
835;0
074;0
625;0
814;0
244;3
051;6
318;0
813;0
832;0
924;3
454;0
985;12
861;0
851;6
815;0
577;3
313;0
363;0
818;3
742;12
451;0
215;0
226;9
558;3
052;6
755;9
916;0
131;15
765;6
774;0
032;0
036;0
353;0
076;0
241;3
982;9
864;3
868;3
255;3
474;0
542;0
146;3
845;9
317;0
769;0
952;0
557;0
772;0
356;0
465;0
734;3
825;0
569;0
312;0
364;0
624;9
221;9
904;3
455;0
986;3
072;0
852;9
935;3
901;6
754;0
766;0
743;15
819;3
844;6
737;0
475;0
543;0
936;3
212;3
961;0
993;0
824;6
352;0
753;0
816;3
078;0
316;15
767;0
911;6
523;0
965;0
556;0
053;3
905;0
836;0
324;6
073;3
067;0
355;0
617;0
464;0
576;3
311;6
833;0
902;12
321;18
538;0
925;6
472;0
736;0
141;9
867;0
995;0
951;0
915;6
955;0
033;0
853;6
223;3
452;0
077;0
823;3
983;6
247;0
752;9
817;6
331;0
441;0
213;9
063;0
611;0
545;3
922;0
992;0
351;0
966;0
731;3
514;6
111;9
759;9
626;3
079;0
846;3
517;6
473;0
144;0
934;0
994;0
315;9
054;3
361;0
715;0
906;0
621;12
841;0
725;0
251;3
546;3
751;6
222;3
478;0
616;0
154;0
142;3
822;3
908;0
744;0
228;0
837;0
758;0
225;9
134;3
256;0
761;9
923;6
933;3
997;0
143;3
866;3
555;0
914;0
034;6
062;0
733;6
811;0
863;0
714;0
516;6
113;0
821;0
909;0
762;3
471;0
771;3
246;0
757;0
579;3
623;0
224;0
133;6
932;3
996;0
243;6
967;0
314;9
055;0
362;0
984;12
907;0
257;6
476;0
834;0
614;3
843;0
953;0
071;3
732;6
112;0
332;0
756;6
962;0
812;0
981;9
232;3
035;0
644;0
643;0
122;9
978;0
511;3
721;0
414;9
524;3
114;0
726;0
342;0
572;3
563;3
428;6
233;6
975;0
123;6
972;0
421;12
533;0
151;0
115;0
973;0
723;0
422;3
041;6
958;6
252;6
944;6
722;0
525;0
612;9
642;0
513;0
561;6
571;6
121;6
431;3
253;0
945;15
544;3
069;0
613;0
641;3
724;0
971;3
532;3
043;0
946;9
153;0
068;9
341;0
512;9
117;3
152;3
515;6
116;0
518;0
531;6
042;3
427;6
631;9
234;3
025;0
434;6
977;0
011;12
426;6
045;0
632;3
435;3
954;3
453;0
012;6
411;6
066;3
976;0
551;3
354;0
566;6
838;0
425;9
537;0
044;0
463;0
575;0
521;6
957;0
903;12
741;3
941;0
713;0
322;15
075;3
618;0
727;0
024;3
536;0
633;12
031;6
567;0
839;3
526;3
424;6
047;3
913;3
412;15
065;3
249;0
432;9
574;0
831;3
942;0
462;0
323;12
956;0
619;0
728;0
023;0
553;3
634;6
564;12
974;0
535;3
712;0
912;6
413;6
064;0
046;0
646;3
022;0
527;0
248;12
433;3
461;0
573;0
124;0
565;0
118;9
534;0
645;6
423;3
943;6
711;3
552;0
021;3
231;6
562;0
429;6
