Statistischer Bezirk;Bodenrichtwertzonen 2011 - Beschriftung (cls:L588)
227;15
622;3
921;3
132;3
764;6
862;3
763;3
559;0
214;6
615;0
568;0
991;12
768;0
865;0
554;0
061;0
211;3
254;9
541;3
477;6
842;3
735;0
998;12
931;0
963;3
145;0
242;3
773;0
964;3
522;0
578;0
245;3
835;3
074;3
625;9
814;3
244;3
051;9
318;3
813;6
832;0
924;3
454;21
985;39
861;6
851;18
815;0
577;3
313;3
363;18
818;3
742;21
451;24
215;3
226;9
558;3
052;0
755;9
916;6
131;12
765;3
774;6
032;0
036;0
353;9
076;3
241;9
982;12
864;0
868;0
255;6
474;12
542;0
146;9
845;24
317;3
769;0
952;0
557;0
772;3
356;6
465;15
734;6
825;0
569;0
312;3
364;15
624;9
221;21
904;3
455;6
986;9
072;0
852;21
935;9
901;15
754;0
766;12
743;18
819;3
844;9
737;0
475;15
543;0
936;3
212;6
961;0
993;18
824;12
352;9
753;3
816;0
078;0
316;15
767;0
911;12
523;0
965;0
556;3
053;0
905;9
836;9
324;18
073;3
067;3
355;9
617;3
464;6
576;6
311;18
833;0
902;24
321;12
538;12
925;3
472;6
736;0
141;9
867;3
995;3
951;0
915;9
955;0
033;6
853;54
223;3
452;9
077;3
823;15
983;36
247;3
752;30
817;9
331;3
441;0
213;0
063;0
611;3
545;3
922;12
992;12
351;15
966;0
731;12
514;3
111;9
759;24
626;9
079;0
846;3
517;3
473;3
144;0
934;3
994;6
315;12
054;12
361;12
715;3
906;15
621;3
841;0
725;0
251;9
546;3
751;6
222;3
478;3
616;0
154;0
142;3
822;3
908;3
744;3
228;0
837;0
758;9
225;24
134;3
256;9
761;9
923;0
933;15
997;3
143;3
866;0
555;3
914;6
034;9
062;3
733;3
811;3
863;3
714;0
516;3
113;0
821;3
909;9
762;9
471;9
771;3
246;6
757;0
579;6
623;3
224;3
133;6
932;3
996;3
243;6
967;0
314;27
055;3
362;18
984;9
907;6
257;18
476;3
834;3
614;6
843;3
953;0
071;3
732;9
112;0
332;0
756;9
962;3
812;0
981;33
232;15
035;3
644;3
643;3
122;9
978;0
511;3
721;0
414;9
524;0
114;0
726;0
342;3
572;3
563;6
428;9
233;30
975;3
123;27
972;0
421;12
533;3
151;0
115;0
973;0
723;0
422;6
041;9
958;12
252;9
944;12
722;0
525;3
612;6
642;0
513;0
561;12
571;3
121;3
431;6
253;3
945;45
544;3
069;0
613;6
641;12
724;0
971;6
532;6
043;3
946;33
153;6
068;3
341;6
512;15
117;3
152;18
515;9
116;0
518;0
531;3
042;3
427;9
631;12
234;3
025;3
434;9
977;3
011;30
426;6
045;3
632;3
435;3
954;0
453;6
012;18
411;3
066;3
976;0
551;9
354;30
566;9
838;0
425;18
537;3
044;6
463;18
575;0
521;0
957;3
903;15
741;12
941;6
713;0
322;24
075;3
618;0
727;0
024;0
536;6
633;15
031;24
567;6
839;3
526;0
424;9
047;3
913;3
412;12
065;0
249;0
432;6
574;0
831;12
942;9
462;9
323;18
956;0
619;6
728;0
023;3
553;3
634;15
564;12
974;0
535;0
712;0
912;6
413;0
064;0
046;3
646;12
022;3
527;9
248;21
433;12
461;18
573;3
124;9
565;0
118;12
534;3
645;9
423;3
943;3
711;9
552;3
021;3
231;6
562;3
429;9
