Statistischer Bezirk;Bodenrichtwerte (cls:L483)
227;9
622;0
921;3
132;0
764;3
862;0
763;3
559;0
214;3
615;0
568;0
991;9
768;0
865;0
554;0
061;0
211;3
254;15
541;3
477;6
842;3
735;0
998;18
931;0
963;0
145;0
242;0
773;0
964;0
522;6
578;3
245;0
835;0
074;0
625;6
814;3
244;6
051;6
318;0
813;6
832;0
924;3
454;12
985;18
861;3
851;12
815;3
577;0
313;0
363;9
818;0
742;18
451;9
215;0
226;6
558;3
052;0
755;12
916;0
131;15
765;6
774;3
032;0
036;0
353;6
076;0
241;3
982;3
864;0
868;3
255;0
474;9
542;0
146;3
845;24
317;0
769;0
952;0
557;0
772;6
356;6
465;9
734;3
825;0
569;0
312;3
364;9
624;9
221;6
904;3
455;6
986;6
072;0
852;12
935;3
901;9
754;0
766;3
743;15
819;6
844;6
737;0
475;6
543;3
936;3
212;3
961;0
993;6
824;3
352;6
753;0
816;0
078;0
316;21
767;0
911;12
523;0
965;0
556;0
053;0
905;3
836;3
324;12
073;3
067;0
355;6
617;3
464;9
576;3
311;12
833;0
902;15
321;24
538;6
925;0
472;9
736;0
141;3
867;3
995;3
951;0
915;3
955;0
033;0
853;12
223;3
452;3
077;0
823;6
983;18
247;3
752;27
817;3
331;3
441;0
213;3
063;0
611;3
545;3
922;6
992;9
351;18
966;0
731;12
514;9
111;6
759;15
626;6
079;0
846;3
517;3
473;6
144;0
934;3
994;3
315;12
054;3
361;9
715;3
906;6
621;12
841;0
725;0
251;3
546;3
751;6
222;3
478;3
616;0
154;0
142;3
822;6
908;6
744;6
228;0
837;0
758;0
225;9
134;3
256;6
761;6
923;6
933;3
997;3
143;3
866;3
555;0
914;0
034;3
062;0
733;6
811;0
863;0
714;0
516;6
113;0
821;0
909;6
762;15
471;9
771;3
246;0
757;0
579;6
623;3
224;0
133;6
932;3
996;3
243;3
967;3
314;18
055;0
362;9
984;9
907;6
257;12
476;6
834;3
614;3
843;3
953;0
071;3
732;6
112;0
332;0
756;9
962;0
812;0
981;15
232;6
035;0
644;3
643;0
122;9
978;0
511;3
721;0
414;15
524;3
114;0
726;0
342;0
572;3
563;3
428;12
233;18
975;0
123;15
972;0
421;12
533;0
151;0
115;0
973;0
723;0
422;6
041;9
958;6
252;3
944;12
722;0
525;0
612;9
642;0
513;0
561;6
571;6
121;6
431;3
253;3
945;15
544;3
069;0
613;3
641;3
724;0
971;0
532;0
043;3
946;18
153;0
068;6
341;0
512;12
117;3
152;6
515;6
116;0
518;0
531;3
042;0
427;15
631;12
234;3
025;0
434;6
977;0
011;24
426;6
045;0
632;6
435;3
954;3
453;3
012;12
411;12
066;3
976;0
551;9
354;15
566;6
838;0
425;15
537;0
044;0
463;6
575;0
521;3
957;0
903;12
741;12
941;0
713;0
322;18
075;3
618;0
727;0
024;0
536;0
633;18
031;15
567;0
839;3
526;3
424;12
047;3
913;3
412;15
065;0
249;0
432;9
574;0
831;9
942;6
462;12
323;9
956;0
619;3
728;0
023;0
553;3
634;12
564;18
974;0
535;0
712;3
912;6
413;9
064;0
046;0
646;6
022;0
527;9
248;15
433;9
461;15
573;0
124;3
565;0
118;9
534;3
645;6
423;3
943;6
711;3
552;3
021;3
231;3
562;0
429;9
