Statistischer Bezirk;Abfallsäcke - Ausgabestellen (cls:L287);Mobile Sammelstellen (cls:L565);Wertstoffhöfe/Annahmestellen (cls:L566);Wertstoffcontainerstandplätze (cls:L567);HandYcap - Sammlung von Mobiltelefonen (cls:L288);Mehrwegbecher willkommen (cls:L699)
227;0;2;0;8;2;0
622;0;4;0;0;0;0
921;0;0;0;6;0;0
132;0;2;0;2;0;8
764;0;0;0;2;0;0
862;0;0;0;0;0;0
763;0;0;0;2;0;0
559;0;0;0;2;0;0
214;0;0;0;2;0;0
615;0;0;0;2;0;0
568;0;2;0;0;0;0
991;0;4;0;4;0;0
768;0;0;0;6;0;0
865;2;0;0;2;2;0
554;0;2;0;0;0;0
061;0;0;0;0;0;0
211;0;0;0;0;0;0
254;0;2;0;2;0;0
541;0;0;0;2;0;0
477;0;4;0;2;0;0
842;0;0;0;6;0;0
735;0;0;0;0;0;0
998;0;6;0;6;0;0
931;0;6;0;8;0;2
963;0;2;0;2;0;0
145;0;0;0;6;0;0
242;0;4;0;2;0;0
773;0;0;0;8;0;0
964;0;0;0;4;0;2
522;0;2;0;4;0;0
578;0;0;0;2;0;0
245;0;0;0;2;0;0
835;0;4;0;4;0;0
074;0;4;0;2;0;0
625;0;2;0;2;0;0
814;0;0;0;2;0;0
244;0;0;0;6;0;0
051;2;0;2;8;2;0
318;0;2;0;4;0;0
813;0;4;0;4;0;0
832;0;0;0;2;0;0
924;0;2;0;2;0;0
454;0;4;0;2;0;0
985;0;6;0;10;0;0
861;0;4;0;2;0;0
851;2;0;2;12;2;0
815;0;0;0;2;0;0
577;0;0;0;2;0;0
313;0;2;0;2;0;0
363;0;0;0;2;0;0
818;0;2;0;6;0;0
742;0;6;0;8;0;0
451;0;4;0;4;0;0
215;0;0;0;0;0;0
226;0;0;0;4;0;0
558;0;4;0;6;0;0
052;0;0;0;4;2;0
755;0;4;0;2;0;2
916;0;0;0;2;0;0
131;0;0;0;2;0;4
765;0;0;0;4;0;2
774;0;0;0;2;0;0
032;0;4;0;0;0;0
036;0;0;0;2;0;0
353;2;6;0;6;0;0
076;0;2;0;8;0;0
241;0;0;2;2;0;0
982;0;6;0;4;2;0
864;0;2;0;2;0;0
868;0;4;0;4;0;0
255;0;2;0;6;0;0
474;0;4;0;2;0;0
542;0;2;0;4;0;2
146;0;0;0;4;0;0
845;0;4;0;10;0;0
317;0;2;0;4;0;0
769;0;0;0;2;0;0
952;0;2;0;4;0;0
557;0;0;0;0;0;0
772;0;2;0;2;0;0
356;0;4;0;2;0;0
465;0;4;0;2;0;0
734;0;4;0;2;0;0
825;0;0;0;0;0;4
569;0;0;0;4;0;0
312;0;2;0;0;0;0
364;0;4;0;2;0;0
624;0;4;0;6;0;0
221;0;0;0;4;0;0
904;0;0;0;0;0;0
455;0;6;0;2;0;0
986;0;0;0;4;0;0
072;0;0;0;4;0;0
852;0;6;0;10;0;0
935;0;0;0;2;0;0
901;2;10;0;4;0;0
754;0;0;0;0;0;0
766;0;2;0;6;0;0
743;0;6;0;8;0;0
819;0;0;0;4;0;0
844;0;0;0;2;0;0
737;0;0;0;2;0;0
475;0;0;0;0;0;0
543;0;0;0;2;0;0
936;0;0;0;0;0;0
212;0;0;0;4;0;2
961;0;0;0;2;0;0
993;4;4;2;4;0;0
824;0;0;0;2;0;0
352;0;4;0;2;0;0
753;0;2;0;8;0;0
816;0;0;0;6;0;0
078;0;0;0;2;0;0
316;0;4;0;6;0;2
767;0;2;0;2;0;0
911;0;0;0;6;2;0
523;0;0;0;0;0;0
965;0;2;0;2;0;0
556;0;0;0;0;0;0
053;0;2;0;8;0;0
905;0;4;0;2;0;0
836;0;0;0;0;0;0
324;0;6;0;2;0;0
073;0;0;0;2;0;2
067;0;0;0;4;0;0
355;0;4;0;0;0;0
617;0;0;0;4;0;0
464;0;4;0;0;0;0
576;0;2;0;2;0;4
311;2;0;0;2;2;0
833;0;0;0;4;0;0
902;0;2;0;4;0;0
321;0;8;0;4;0;0
538;0;0;0;6;4;0
925;0;0;0;0;0;0
472;0;4;0;2;0;0
736;0;0;0;2;0;0
141;0;0;0;4;0;0
867;0;0;0;0;0;0
995;0;0;0;0;0;0
951;0;0;0;2;0;0
915;0;0;0;6;0;0
955;0;0;0;2;0;0
033;0;2;0;8;0;0
853;0;4;0;6;0;0
223;0;4;0;0;0;0
452;2;0;0;0;0;0
077;0;0;0;0;0;2
823;0;0;0;6;0;2
983;0;6;0;6;0;0
247;0;0;0;0;0;0
752;0;6;0;4;0;0
817;0;0;0;4;4;8
331;0;0;0;0;0;0
441;0;0;0;0;0;0
213;2;2;0;6;2;0
063;0;2;0;14;0;0
611;2;4;0;0;2;0
545;0;0;0;12;0;0
922;0;0;0;4;0;2
992;0;4;0;2;0;0
351;0;0;0;0;2;0
966;0;0;0;2;0;0
731;0;2;0;6;0;0
514;0;0;0;0;0;2
111;0;4;0;4;0;0
759;0;2;0;8;0;0
626;0;0;0;2;0;0
079;0;0;0;2;0;0
846;0;0;0;2;0;0
517;0;0;0;0;0;0
473;0;4;0;2;0;0
144;0;2;0;4;0;0
934;0;0;0;0;0;0
994;0;0;0;0;0;0
315;0;0;0;4;0;0
054;0;0;0;4;4;0
361;2;6;0;6;0;0
715;2;0;0;2;2;0
906;2;4;0;2;0;0
621;0;0;0;0;0;2
841;0;2;0;4;0;0
725;0;0;0;0;0;0
251;0;2;0;6;0;2
546;0;2;0;2;0;0
751;0;0;0;0;0;0
222;0;0;0;0;0;0
478;0;4;0;2;0;0
616;0;2;0;4;0;0
154;0;0;0;0;0;0
142;0;0;0;8;0;2
822;0;0;0;8;0;8
908;0;0;0;0;0;0
744;0;0;0;2;0;0
228;2;0;2;2;2;0
837;0;0;0;4;0;0
758;0;6;0;8;0;0
225;0;0;0;10;0;0
134;2;0;0;6;2;2
256;0;0;0;2;0;0
761;0;2;0;2;0;2
923;0;0;0;0;0;0
933;0;0;0;6;0;0
997;0;4;0;2;0;0
143;0;0;0;2;0;2
866;0;0;0;0;0;2
555;0;0;0;8;0;0
914;0;0;0;2;0;0
034;0;0;0;6;0;0
062;0;2;0;4;0;2
733;0;0;0;4;0;0
811;0;2;0;4;2;0
863;0;2;0;0;0;0
714;0;2;0;4;0;0
516;0;0;0;0;0;0
113;0;0;0;0;2;6
821;0;2;0;0;0;0
909;0;0;0;0;0;0
762;0;0;0;2;0;0
471;0;4;2;4;0;0
771;2;0;2;4;2;0
246;0;2;0;4;0;0
757;0;0;0;2;0;0
579;0;0;0;4;0;2
623;0;4;0;10;0;0
224;0;2;0;2;0;0
133;0;0;0;4;0;0
932;0;0;0;2;0;2
996;0;0;0;0;0;0
243;0;0;0;0;0;0
967;0;4;0;8;0;0
314;0;0;0;6;0;0
055;0;0;0;0;0;2
362;0;4;0;2;0;0
984;0;6;0;4;0;0
907;0;4;4;2;0;0
257;0;0;0;6;0;0
476;0;4;0;2;0;0
834;0;2;0;2;0;0
614;0;0;0;4;0;0
843;0;0;0;6;0;0
953;0;0;0;2;0;0
071;0;2;0;6;0;0
732;0;4;0;4;0;0
112;0;0;0;0;0;2
332;0;0;0;0;0;0
756;0;0;0;2;0;0
962;0;0;0;6;0;0
812;0;0;0;2;0;0
981;0;4;0;6;0;2
232;0;4;0;2;0;0
035;0;0;0;0;0;0
644;0;4;0;2;0;0
643;0;0;0;0;0;0
122;0;4;0;4;0;0
978;0;0;0;0;0;0
511;0;2;0;4;0;0
721;0;2;0;10;0;0
414;0;4;0;4;0;0
524;0;0;0;0;0;2
114;0;0;0;2;0;14
726;0;0;0;0;0;0
342;0;0;0;0;0;0
572;0;2;0;0;0;0
563;0;0;0;6;0;0
428;0;4;0;2;0;0
233;0;8;0;12;0;0
975;0;2;0;2;0;0
123;0;0;0;6;2;0
972;0;0;0;6;0;0
421;0;6;0;6;0;0
533;0;4;0;4;0;0
151;0;0;0;0;0;0
115;0;0;0;4;0;10
973;0;0;0;2;0;0
723;0;0;0;0;2;0
422;0;0;0;0;0;0
041;2;0;0;4;2;6
958;0;0;0;2;0;0
252;0;0;0;2;0;0
944;0;2;0;10;0;0
722;0;4;0;2;0;0
525;0;0;0;4;0;0
612;0;0;0;2;0;0
642;0;2;0;2;0;0
513;0;0;0;0;0;0
561;0;2;0;4;0;0
571;0;0;0;2;0;0
121;0;0;0;2;0;0
431;0;0;0;0;0;0
253;0;0;0;2;0;0
945;0;6;0;6;0;0
544;0;0;0;2;0;6
069;0;0;0;0;0;0
613;0;0;0;0;0;0
641;0;0;0;2;0;0
724;0;2;0;4;0;0
971;0;2;0;8;0;0
532;0;0;0;0;0;0
043;0;6;0;4;2;4
946;0;2;0;6;0;0
153;0;0;0;2;0;0
068;0;0;0;0;4;0
341;2;0;2;6;2;0
512;2;2;0;8;2;2
117;0;0;0;0;0;4
152;0;0;0;6;0;8
515;0;0;0;2;0;0
116;0;0;0;4;0;4
518;0;0;0;0;0;0
531;0;0;0;2;0;0
042;0;2;0;6;0;2
427;0;6;0;6;0;0
631;0;0;0;4;0;0
234;0;0;0;4;0;0
025;0;2;0;2;0;0
434;0;0;0;2;0;0
977;0;2;0;8;0;0
011;0;0;0;2;4;16
426;0;4;0;2;0;0
045;0;0;0;0;0;0
632;0;2;0;2;0;2
435;0;4;0;0;0;0
954;0;0;0;6;0;0
453;0;0;0;4;0;0
012;0;0;0;0;0;16
411;0;0;0;2;0;0
066;4;2;2;4;4;0
976;0;0;0;2;0;0
551;0;2;0;4;0;0
354;0;0;2;8;0;0
566;0;2;0;4;0;0
838;0;0;0;2;0;0
425;0;0;0;2;0;0
537;0;0;0;4;0;0
044;0;0;0;4;0;0
463;0;0;0;2;0;0
575;0;0;0;4;0;0
521;0;4;0;0;0;0
957;0;0;0;2;0;0
903;0;2;0;4;0;0
741;0;0;0;4;0;0
941;0;0;0;0;0;2
713;0;0;0;4;0;0
322;0;2;0;8;0;0
075;0;4;0;2;0;0
618;0;0;0;2;0;0
727;0;0;0;4;0;0
024;0;0;0;4;0;2
536;0;0;0;6;0;0
633;0;4;0;6;0;0
031;0;0;0;4;0;28
567;0;0;0;6;0;0
839;0;2;0;0;0;0
526;0;2;0;2;0;0
424;0;0;0;4;0;0
047;0;0;0;2;0;0
