Statistischer Bezirk;Sirenen (cls:L564);Berufsfeuerwehr (cls:L501);Freiwillige Feuerwehr (cls:L502)
227;2;4;0
622;2;0;0
921;2;0;0
132;2;0;0
764;2;0;0
862;0;0;0
763;0;0;0
559;0;0;0
214;0;0;0
615;0;0;0
568;0;0;0
991;2;0;0
768;2;0;0
865;2;0;0
554;0;0;0
061;0;0;0
211;0;0;0
254;0;0;0
541;0;0;0
477;2;0;0
842;0;0;0
735;0;0;0
998;2;0;0
931;0;0;0
963;0;0;0
145;0;0;0
242;0;0;0
773;0;0;0
964;0;0;0
522;0;0;0
578;0;0;0
245;0;0;0
835;0;0;0
074;2;0;0
625;2;0;0
814;0;0;0
244;0;0;0
051;2;0;0
318;2;0;0
813;2;0;0
832;0;0;0
924;0;0;0
454;2;0;2
985;2;0;0
861;2;0;0
851;2;0;0
815;0;0;0
577;0;0;0
313;0;0;0
363;2;0;0
818;0;0;0
742;6;0;2
451;0;0;0
215;2;0;0
226;0;0;0
558;2;0;0
052;2;0;0
755;2;0;0
916;2;0;0
131;0;0;0
765;0;0;0
774;0;0;0
032;2;0;0
036;0;0;0
353;4;0;0
076;0;0;0
241;2;0;0
982;2;0;0
864;0;0;0
868;2;0;0
255;0;0;0
474;2;0;2
542;0;0;0
146;2;0;0
845;2;0;0
317;0;0;0
769;0;0;0
952;0;0;0
557;0;0;0
772;0;0;0
356;2;0;0
465;2;0;2
734;2;0;0
825;0;0;0
569;0;0;0
312;2;0;0
364;2;0;0
624;2;0;0
221;0;0;0
904;2;0;0
455;0;0;0
986;2;0;0
072;0;0;0
852;2;0;0
935;0;0;0
901;6;0;2
754;0;0;0
766;0;0;0
743;4;0;0
819;0;0;0
844;2;0;2
737;0;0;0
475;8;0;0
543;0;0;0
936;0;0;0
212;2;0;0
961;0;0;0
993;4;0;2
824;0;2;0
352;0;0;0
753;0;0;0
816;0;0;0
078;0;0;0
316;0;0;0
767;0;0;0
911;0;0;0
523;0;0;0
965;0;0;0
556;0;0;0
053;2;0;0
905;2;0;0
836;0;0;0
324;0;0;0
073;0;0;0
067;2;0;0
355;2;0;0
617;0;0;0
464;0;0;0
576;2;0;0
311;2;0;0
833;0;0;0
902;0;0;0
321;2;0;2
538;2;2;0
925;2;0;0
472;2;0;0
736;0;0;0
141;2;0;0
867;0;0;0
995;2;0;0
951;2;0;0
915;0;0;0
955;0;0;0
033;0;0;0
853;2;0;0
223;2;0;0
452;2;0;0
077;2;0;0
823;0;0;0
983;4;0;0
247;0;0;0
752;2;0;0
817;2;0;0
331;4;0;0
441;0;0;0
213;2;0;0
063;0;0;0
611;2;0;0
545;2;0;0
922;0;0;0
992;2;0;2
351;0;0;0
966;2;0;0
731;2;0;0
514;2;0;0
111;2;0;0
759;0;0;0
626;0;0;0
079;2;0;0
846;2;0;0
517;0;0;0
473;0;0;0
144;2;0;0
934;2;2;0
994;0;0;0
315;2;0;0
054;2;0;0
361;2;0;2
715;0;0;0
906;2;0;2
621;0;0;0
841;2;0;0
725;0;0;0
251;0;0;0
546;0;0;0
751;0;0;0
222;0;0;0
478;0;0;2
616;0;0;0
154;0;0;0
142;0;0;0
822;2;0;0
908;2;0;0
744;0;0;0
228;0;0;0
837;0;0;0
758;0;0;0
225;2;0;0
134;2;0;0
256;0;0;0
761;2;0;0
923;0;0;0
933;0;0;0
997;2;0;0
143;0;0;0
866;0;0;0
555;0;0;0
914;0;0;0
034;0;0;0
062;0;0;0
733;2;0;0
811;0;0;0
863;2;0;0
714;0;0;0
516;2;0;0
113;0;0;0
821;0;0;0
909;4;0;0
762;2;0;0
471;2;0;2
771;2;0;0
246;0;0;0
757;2;0;0
579;2;0;0
623;2;0;0
224;2;0;0
133;0;0;0
932;0;0;0
996;0;0;0
243;0;0;0
967;0;0;0
314;2;0;2
055;4;0;0
362;2;0;0
984;0;0;0
907;2;0;2
257;6;0;0
476;0;0;0
834;0;0;0
614;2;0;0
843;0;0;0
953;0;0;0
071;0;0;0
732;0;0;2
112;0;0;0
332;0;0;0
756;4;0;0
962;0;0;0
812;0;0;0
981;4;0;0
232;2;0;0
035;0;0;0
644;0;0;0
643;2;0;0
122;4;0;0
978;0;0;0
511;0;0;0
721;2;0;0
414;0;0;0
524;0;0;0
114;0;0;0
726;2;0;0
342;2;0;0
572;0;0;0
563;2;0;0
428;2;0;0
233;6;0;0
975;0;0;0
123;0;0;0
972;0;0;0
421;4;0;0
533;0;0;0
151;0;2;0
115;2;0;0
973;2;0;0
723;0;0;0
422;0;0;0
041;2;0;0
958;0;0;0
252;2;0;0
944;2;0;0
722;0;0;0
525;0;0;0
612;0;0;0
642;0;0;0
513;0;0;0
561;2;0;0
571;0;0;0
121;0;0;0
431;2;0;0
253;2;0;0
945;6;0;0
544;2;0;0
069;0;0;0
613;2;0;0
641;0;0;0
724;0;0;0
971;0;0;0
532;2;0;0
043;0;0;0
946;2;0;0
153;2;0;0
068;0;0;0
341;0;0;0
512;2;0;0
117;0;0;0
152;4;0;0
515;0;0;0
116;0;0;0
518;0;0;0
531;0;0;0
042;0;0;0
427;2;0;0
631;0;0;0
234;2;0;0
025;0;0;0
434;2;0;0
977;0;0;0
011;4;0;0
426;0;0;0
045;2;0;0
632;2;0;0
435;0;0;0
954;0;0;0
453;0;0;0
012;0;0;0
411;0;0;0
066;0;0;0
976;0;0;0
551;2;0;0
354;2;0;2
566;0;0;0
838;2;0;0
425;0;0;2
537;0;0;0
044;0;0;0
463;2;0;2
575;0;0;0
521;0;0;0
957;2;0;2
903;4;0;0
741;2;0;0
941;0;0;0
713;0;0;0
322;6;0;0
075;0;0;0
618;2;0;0
727;0;0;0
024;0;0;0
536;0;0;0
633;2;0;0
031;4;0;0
567;4;0;0
839;0;0;0
526;0;0;0
424;2;0;0
047;0;0;0
913;0;0;0
412;2;0;0
065;0;0;0
249;0;0;0
432;2;0;0
574;0;0;0
831;2;0;0
942;0;0;0
462;0;0;0
323;2;0;0
956;2;0;0
619;0;0;0
728;0;0;0
023;0;0;0
553;0;0;0
634;4;0;0
564;0;0;0
974;0;0;0
535;0;0;0
712;0;0;0
912;4;0;0
413;0;0;0
064;2;0;0
046;0;0;0
646;0;0;0
022;0;0;0
527;0;0;0
248;2;0;0
433;2;0;2
461;2;0;0
573;2;0;0
124;2;0;0
565;2;0;0
118;0;0;0
534;0;0;0
645;2;0;0
423;0;0;0
943;0;0;0
711;2;0;0
552;0;0;0
021;0;0;0
231;2;0;0
562;0;0;0
429;2;0;0
