Statistischer Bezirk;2013: Temperatur 1m unter Wasserspiegel  (Messwerte in Dresden) (cls:L960);2017: Temperatur 1m unter Wasserspiegel (Messwerte in Dresden) (cls:L961);2015: Temperatur 1m über Grundwasserleitersohle (Messwerte) (cls:L967);2015: Temperatur 1m unter Wasserspiegel (Messwerte) (cls:L970)
227;9;9;3;9
622;3;3;3;3
921;9;15;12;15
132;0;0;0;0
764;0;0;0;0
862;0;0;0;0
763;0;0;0;0
559;15;15;9;12
214;0;0;0;0
615;0;0;0;0
568;0;0;0;0
991;3;3;3;6
768;0;0;0;0
865;0;0;0;0
554;0;0;0;0
061;0;0;0;0
211;3;3;3;3
254;3;3;0;3
541;0;0;0;0
477;3;3;0;3
842;0;0;0;0
735;0;0;0;0
998;3;3;3;3
931;6;6;6;6
963;0;0;0;0
145;0;0;0;0
242;0;0;0;0
773;0;0;0;0
964;0;0;0;0
522;3;3;3;3
578;3;0;0;0
245;3;3;3;3
835;0;0;0;0
074;3;3;3;3
625;12;9;9;9
814;0;0;0;0
244;0;0;0;0
051;18;18;21;24
318;0;0;0;0
813;6;6;6;6
832;0;0;0;0
924;0;0;0;0
454;3;3;3;3
985;0;3;3;3
861;3;3;0;3
851;18;21;21;21
815;0;3;0;3
577;0;0;0;0
313;0;0;0;0
363;0;0;3;3
818;0;0;0;0
742;21;21;15;18
451;6;6;3;3
215;0;0;0;0
226;6;6;6;6
558;0;0;0;0
052;3;3;3;3
755;3;3;3;3
916;0;3;3;3
131;6;9;9;9
765;0;0;0;0
774;3;3;3;3
032;6;6;6;6
036;24;24;12;24
353;3;3;3;3
076;0;0;0;0
241;0;0;0;0
982;6;9;3;9
864;0;0;0;0
868;3;3;0;0
255;3;3;3;3
474;6;6;6;9
542;3;3;3;3
146;3;3;3;3
845;6;6;6;6
317;0;0;0;0
769;0;0;0;0
952;0;0;0;0
557;0;0;0;0
772;0;0;0;0
356;3;3;3;3
465;6;6;6;6
734;3;3;3;3
825;0;0;0;0
569;0;0;0;0
312;0;0;0;0
364;3;3;3;3
624;6;6;3;6
221;3;0;0;0
904;0;0;0;0
455;0;0;0;0
986;3;3;3;3
072;0;0;0;0
852;12;12;12;12
935;0;0;0;0
901;15;15;12;15
754;0;0;0;0
766;0;0;0;0
743;3;3;0;3
819;0;0;0;0
844;9;12;12;12
737;0;0;0;0
475;12;9;9;9
543;0;0;0;0
936;0;0;0;0
212;3;3;3;3
961;0;0;0;0
993;9;9;6;6
824;6;6;6;6
352;3;3;0;3
753;0;0;0;0
816;0;0;0;0
078;0;0;0;0
316;0;0;0;0
767;0;0;0;0
911;0;0;0;0
523;0;0;0;0
965;0;0;0;0
556;0;0;0;0
053;18;18;15;18
905;0;0;0;0
836;0;0;0;0
324;0;0;0;0
073;0;0;0;0
067;3;3;0;3
355;3;0;0;0
617;0;0;0;0
464;0;0;0;0
576;6;6;6;6
311;0;0;0;0
833;0;0;0;0
902;3;3;3;3
321;12;12;9;9
538;6;6;6;6
925;0;0;0;0
472;3;3;3;3
