Statistischer Bezirk;Hochwasserschadensbeseitigung 2013 - alle aktuell unbeschränkt (cls:L846)
227;0
622;20
921;0
132;4
764;0
862;0
763;0
559;8
214;0
615;0
568;0
991;0
768;0
865;8
554;0
061;8
211;4
254;12
541;0
477;0
842;0
735;0
998;0
931;0
963;0
145;0
242;0
773;4
964;0
522;0
578;0
245;0
835;0
074;0
625;0
814;0
244;0
051;0
318;0
813;0
832;0
924;0
454;4
985;4
861;0
851;0
815;0
577;0
313;0
363;0
818;0
742;0
451;0
215;0
226;4
558;0
052;0
755;0
916;0
131;4
765;0
774;0
032;0
036;0
353;0
076;0
241;0
982;0
864;0
868;0
255;0
474;0
542;0
146;0
845;4
317;0
769;0
952;0
557;0
772;0
356;4
465;4
734;0
825;0
569;0
312;0
364;0
624;32
221;0
904;12
455;0
986;0
072;0
852;0
935;0
901;20
754;0
766;0
743;0
819;0
844;0
737;0
475;0
543;0
936;0
212;8
961;0
993;4
824;0
352;0
753;0
816;0
078;0
316;0
767;0
911;8
523;0
965;0
556;0
053;0
905;4
836;0
324;0
073;0
067;0
355;0
617;0
464;0
576;0
311;0
833;0
902;12
321;0
538;0
925;0
472;4
736;0
141;8
867;0
995;0
951;0
915;0
955;0
033;0
853;0
223;0
452;0
077;0
823;0
983;0
247;0
752;0
817;0
331;0
441;0
213;12
063;0
611;4
545;0
922;0
992;0
351;0
966;0
731;0
514;0
111;0
759;0
626;0
079;0
846;0
517;0
473;4
144;0
934;0
994;0
315;0
054;0
361;4
715;0
906;0
621;28
841;0
725;0
251;0
546;0
751;0
222;0
478;0
616;0
154;0
142;0
822;0
908;0
744;0
228;0
837;0
758;0
225;0
134;12
256;0
761;0
923;0
933;0
997;0
143;0
866;0
555;0
914;0
034;0
062;0
733;0
811;0
863;0
714;0
516;12
113;0
821;0
909;0
762;0
471;0
771;44
246;0
757;0
579;0
623;4
224;0
133;0
932;0
996;0
243;0
967;0
314;0
055;88
362;0
984;0
907;8
257;0
476;0
834;0
614;0
843;0
953;0
071;0
732;0
112;0
332;0
756;0
962;0
812;0
981;0
232;0
035;0
644;0
643;0
122;4
978;0
511;0
721;0
414;8
524;0
114;0
726;0
342;0
572;0
563;0
428;0
233;4
975;0
123;4
972;0
421;0
533;0
151;0
115;0
973;0
723;0
422;0
041;4
958;0
252;0
944;0
722;0
525;0
612;0
642;0
513;0
561;0
571;0
121;0
431;20
253;0
945;0
544;4
069;12
613;0
641;0
724;0
971;0
532;0
043;192
946;0
153;0
068;0
341;0
512;0
117;0
152;0
515;8
116;4
518;0
531;0
042;0
427;0
631;8
234;0
025;8
434;0
977;0
011;12
426;0
045;0
632;8
435;0
954;0
453;0
012;0
411;0
066;0
976;0
551;12
354;4
566;0
838;0
425;0
537;0
044;0
463;0
575;0
521;0
957;0
903;16
741;0
941;0
713;0
322;0
075;0
618;0
727;0
024;0
536;0
633;8
031;0
567;0
839;0
526;0
424;0
047;0
913;0
412;36
065;0
249;0
432;16
574;0
831;0
942;0
462;0
323;0
956;0
619;0
728;4
023;0
553;0
634;32
564;4
974;0
535;0
712;0
912;4
413;0
064;0
046;0
646;16
022;0
527;0
248;0
433;36
461;0
573;0
124;0
565;0
118;0
534;0
645;8
423;0
943;0
711;0
552;0
021;20
231;4
562;0
429;0
