Statistischer Bezirk;Kindertagesstätten (cls:L608)
227;8
622;8
921;0
132;4
764;0
862;4
763;0
559;0
214;4
615;8
568;0
991;0
768;8
865;4
554;0
061;0
211;0
254;12
541;0
477;4
842;0
735;4
998;4
931;8
963;4
145;16
242;0
773;0
964;4
522;0
578;0
245;4
835;4
074;0
625;0
814;0
244;0
051;4
318;8
813;4
832;0
924;8
454;8
985;8
861;4
851;4
815;0
577;0
313;12
363;0
818;0
742;4
451;0
215;8
226;0
558;12
052;0
755;0
916;0
131;0
765;4
774;0
032;0
036;0
353;4
076;8
241;4
982;0
864;4
868;0
255;4
474;4
542;8
146;8
845;0
317;4
769;0
952;0
557;0
772;0
356;0
465;0
734;8
825;4
569;0
312;0
364;4
624;8
221;0
904;0
455;4
986;4
072;8
852;8
935;0
901;4
754;4
766;4
743;8
819;4
844;0
737;0
475;0
543;0
936;0
212;8
961;0
993;4
824;4
352;0
753;0
816;4
078;0
316;8
767;0
911;16
523;4
965;0
556;0
053;12
905;4
836;4
324;4
073;0
067;4
355;0
617;0
464;0
576;0
311;8
833;0
902;0
321;4
538;0
925;0
472;4
736;8
141;0
867;0
995;0
951;0
915;8
955;0
033;8
853;0
223;0
452;0
077;4
823;8
983;4
247;4
752;4
817;4
331;0
441;0
213;12
063;12
611;0
545;16
922;4
992;0
351;0
966;0
731;4
514;8
111;0
759;0
626;0
079;0
846;0
517;4
473;0
144;0
934;4
994;0
315;0
054;0
361;0
715;0
906;0
621;0
841;8
725;0
251;4
546;8
751;0
222;0
478;0
616;4
154;0
142;0
822;8
908;0
744;0
228;0
837;4
758;4
225;4
134;12
256;0
761;0
923;8
933;0
997;0
143;0
866;8
555;4
914;0
034;4
062;0
733;0
811;4
863;0
714;4
516;0
113;0
821;0
909;0
762;4
471;0
771;4
246;8
757;0
579;0
623;0
224;4
133;16
932;0
996;0
243;0
967;4
314;4
055;0
362;12
984;4
907;4
257;8
476;0
834;4
614;4
843;0
953;4
071;4
732;0
112;4
332;0
756;0
962;4
812;0
981;4
232;8
035;0
644;0
643;4
122;4
978;0
511;16
721;0
414;0
524;8
114;4
726;0
342;4
572;0
563;4
428;4
233;4
975;0
123;16
972;0
421;12
533;4
151;0
115;4
973;4
723;0
422;0
041;0
958;0
252;4
944;4
722;4
525;4
612;4
642;4
513;0
561;0
571;8
121;0
431;0
253;0
945;0
544;8
069;0
613;4
641;0
724;8
971;8
532;0
043;12
946;4
153;8
068;4
341;4
512;28
117;0
152;8
515;8
116;8
518;0
531;8
042;0
427;4
631;4
234;0
025;8
434;0
977;4
011;0
426;0
045;0
632;0
435;0
954;0
453;0
012;0
411;0
066;4
976;0
551;8
354;4
566;8
838;0
425;8
537;0
044;0
463;0
575;8
521;0
957;0
903;4
741;0
941;8
713;8
322;4
075;4
618;0
727;0
024;0
536;4
633;4
031;4
567;4
839;4
526;0
424;8
047;0
913;0
412;8
065;0
249;4
432;4
574;0
831;4
942;0
462;0
323;4
956;4
619;12
728;0
023;0
553;0
634;4
564;4
974;0
535;0
712;0
912;4
413;0
064;0
046;4
646;4
022;0
527;0
248;0
433;8
461;4
573;4
124;12
565;0
118;16
534;4
645;4
423;0
943;0
711;0
552;0
021;4
231;0
562;4
429;4
