Statistischer Bezirk;Kirchen, Religiöse Einrichtungen (cls:L121);Ausstellungen, Galerien (cls:L496);Veranstaltungsorte (cls:L498);Theater, Musik, Tanz (cls:L499);Studentenclubs (cls:L493);Museen (cls:L497);Kulturelle Bildung, Soziokultur (cls:L500);Kinos (cls:L495);Bibliotheken (cls:L494)
227;0;0;0;0;0;0;0;0;0
622;0;0;0;0;0;0;0;0;0
921;3;0;0;0;0;0;0;0;0
132;0;6;2;0;0;2;0;2;0
764;0;0;0;0;0;0;0;0;0
862;0;0;0;0;0;0;0;0;0
763;0;0;0;0;0;0;0;0;0
559;0;0;0;0;0;0;0;0;0
214;0;0;0;0;0;0;0;0;0
615;0;0;0;0;0;0;0;0;0
568;0;0;0;0;0;0;0;0;0
991;0;0;0;0;0;0;0;0;0
768;3;0;0;0;0;0;0;0;0
865;0;0;0;0;0;0;0;0;0
554;0;0;0;0;0;0;0;0;0
061;0;0;0;0;0;0;4;0;0
211;0;0;0;0;0;0;0;0;0
254;0;0;0;0;0;2;0;0;0
541;9;0;0;0;0;0;0;0;0
477;0;0;0;0;0;2;2;0;0
842;0;0;0;0;0;0;0;0;0
735;0;0;0;0;0;0;0;0;0
998;0;0;0;0;0;0;0;0;0
931;6;0;0;0;0;0;0;0;0
963;0;0;0;0;0;0;0;0;0
145;3;0;0;2;0;0;0;0;0
242;0;0;0;0;0;0;0;0;0
773;0;0;0;0;0;0;0;0;0
964;0;2;0;0;0;0;2;2;0
522;3;0;0;0;0;0;0;0;0
578;0;0;0;0;0;0;0;0;0
245;0;0;0;0;0;0;0;0;0
835;0;0;0;0;0;0;0;0;0
074;0;0;0;0;0;0;0;0;0
625;0;0;0;0;0;0;0;0;0
814;0;0;0;0;0;0;0;0;0
244;0;0;0;0;0;0;0;0;0
051;0;0;0;0;0;0;0;0;0
318;0;0;0;0;0;0;0;0;0
813;0;0;0;0;0;0;0;0;0
832;0;0;0;0;0;0;0;0;0
924;0;0;0;0;0;0;0;0;0
454;3;0;0;4;0;0;0;0;0
985;0;0;0;0;0;0;0;0;0
861;0;2;0;0;0;0;0;0;0
851;0;0;0;0;0;0;0;0;0
815;3;0;0;0;0;0;0;0;0
577;6;0;0;0;0;0;0;0;0
313;0;0;0;0;0;0;0;0;0
363;0;0;0;0;0;0;0;0;0
818;0;0;0;0;0;2;0;0;0
742;6;0;0;0;0;0;0;0;0
451;3;0;0;0;0;0;0;0;0
215;3;0;0;0;0;0;0;0;0
226;0;0;0;0;0;0;0;0;0
558;0;0;0;0;0;0;0;0;0
052;0;8;0;0;0;2;2;0;0
755;3;0;0;0;0;0;0;0;0
916;0;0;0;0;0;0;0;0;0
131;3;28;2;4;0;12;6;0;0
765;3;0;0;0;0;0;0;0;0
774;0;0;0;0;0;0;0;0;0
032;0;0;0;0;2;0;0;0;0
036;0;2;2;0;0;2;2;0;2
353;0;0;2;0;0;0;0;0;0
076;0;0;0;0;0;0;0;0;0
241;0;0;0;0;0;0;0;0;0
982;0;0;0;0;0;0;0;0;0
864;0;0;0;0;0;0;0;0;0
868;0;0;0;0;0;0;0;0;0
255;0;0;0;0;0;0;0;0;0
474;3;0;0;0;0;0;0;0;0
542;0;0;0;0;0;0;0;0;0
146;3;0;0;0;0;0;0;0;0
845;0;0;0;0;0;0;0;0;0
317;0;0;0;0;0;0;0;0;0
769;0;0;0;0;0;0;0;0;0
952;0;0;0;0;0;0;0;0;0
557;0;0;0;0;0;0;0;0;0
772;0;0;0;0;0;0;0;0;0
356;0;0;0;0;0;0;0;0;0
465;0;0;0;0;0;0;0;0;2
734;6;0;0;0;0;0;0;0;2
825;0;0;0;2;0;0;0;0;0
569;0;0;0;0;0;0;0;0;0
312;0;0;0;0;0;0;0;0;0
364;3;0;0;0;0;0;0;0;2
624;0;0;0;0;0;0;0;0;2
221;3;0;0;0;0;0;0;0;0
904;0;0;0;2;0;0;0;0;0
455;0;0;0;0;0;0;0;0;0
986;0;0;0;0;0;0;0;0;0
072;0;0;0;0;0;0;0;0;0
852;3;0;0;0;0;0;0;0;2
935;0;0;0;0;0;0;2;0;0
901;0;0;0;0;0;0;0;0;2
754;0;0;0;0;0;0;0;0;0
766;0;0;0;0;0;0;0;0;2
743;0;0;0;0;0;0;0;0;2
819;9;0;0;0;0;0;0;0;2
844;0;0;0;0;0;0;0;0;0
737;0;0;0;0;0;0;0;0;0
475;0;0;0;0;0;0;0;0;0
543;0;0;0;0;0;0;0;0;0
936;0;0;0;0;0;0;0;0;0
212;0;0;0;0;0;0;0;0;0
961;0;0;0;0;0;0;0;0;0
993;0;0;0;0;0;0;0;0;0
824;0;0;0;0;0;0;0;0;0
352;0;0;0;0;0;0;0;0;0
753;0;0;0;0;0;0;0;0;0
816;0;0;0;0;4;0;0;0;0
078;0;0;0;0;0;0;2;0;0
316;6;0;0;0;0;0;0;0;0
767;0;0;0;0;0;0;0;0;0
911;3;0;0;0;0;0;0;0;2
523;3;0;0;0;0;0;0;0;0
965;0;0;0;0;0;0;0;0;0
556;0;0;0;0;0;0;0;0;0
053;3;0;0;0;0;0;2;0;0
905;0;0;0;0;0;0;0;0;0
836;0;0;0;0;0;0;2;0;0
324;0;0;2;0;0;0;2;0;2
073;0;0;0;0;0;0;0;0;2
067;0;0;0;0;0;0;0;0;0
355;0;0;0;0;0;0;0;0;0
617;0;0;0;0;0;0;0;0;2
464;0;0;0;0;0;0;0;0;0
576;0;0;0;0;0;0;0;0;2
311;3;0;0;0;0;0;0;0;0
833;0;0;0;0;0;0;0;0;0
902;6;0;0;0;0;0;0;0;0
321;6;0;0;0;0;0;0;0;2
538;3;4;0;0;0;2;8;2;0
925;0;0;0;0;0;0;0;0;0
472;0;0;0;0;0;0;0;0;2
736;0;0;0;0;0;0;0;0;0
141;0;0;2;2;0;0;0;0;0
867;0;0;0;0;0;0;0;0;0
995;0;0;0;0;0;0;0;0;0
951;0;0;0;0;0;0;0;0;0
915;9;0;0;0;0;0;0;0;0
955;0;0;0;0;0;0;0;0;0
033;0;0;0;0;0;0;0;0;0
853;6;0;0;0;0;2;0;0;2
223;0;0;0;0;0;0;0;0;0
452;0;0;0;0;0;0;0;0;2
077;0;0;0;0;0;0;0;0;4
823;9;0;0;0;2;0;0;0;0
983;3;0;0;0;0;0;0;0;0
247;0;0;0;0;0;0;0;0;0
752;0;0;0;0;0;0;0;0;0
817;0;4;0;0;0;4;0;0;0
331;3;0;0;0;0;0;0;0;0
441;0;0;0;0;0;0;0;0;0
213;6;2;0;2;0;0;2;0;4
063;0;0;0;0;0;0;0;0;0
611;3;2;0;0;0;0;0;0;0
545;0;0;0;0;0;0;0;0;0
922;3;0;0;0;0;0;0;0;0
992;0;0;0;0;0;0;0;0;2
351;0;0;0;0;0;0;0;0;2
966;0;0;0;0;0;0;0;0;0
731;0;0;0;0;0;0;0;0;0
514;6;0;0;0;0;0;0;0;2
111;0;0;0;0;0;0;2;2;0
759;0;2;0;0;0;0;0;0;0
626;0;0;0;0;0;0;0;0;0
079;0;2;0;0;0;0;2;0;0
846;0;0;0;0;0;0;0;0;0
517;0;0;0;0;0;0;0;2;0
473;0;0;0;0;0;0;0;0;0
144;0;4;0;2;0;0;2;0;0
934;3;0;0;0;0;0;0;0;0
994;0;0;0;0;0;0;0;0;0
315;0;2;0;0;0;0;0;0;0
054;3;0;0;0;0;0;0;0;0
361;3;0;2;0;0;0;0;0;2
715;0;0;0;0;0;0;0;0;2
906;0;0;2;0;0;0;0;0;0
621;3;0;0;0;0;0;0;0;0
841;0;0;0;0;0;0;0;0;0
725;0;0;0;0;0;0;0;0;0
251;9;2;0;0;0;0;0;0;0
546;0;0;0;0;0;0;0;0;0
751;0;0;0;0;0;0;0;0;0
222;0;0;0;0;0;0;0;0;0
478;0;0;0;0;0;0;0;0;0
616;0;0;0;0;0;0;0;0;0
154;0;0;0;0;0;0;0;0;0
142;0;0;0;0;0;0;0;0;0
822;3;0;0;0;4;0;0;0;2
908;0;0;0;0;0;0;0;0;0
744;0;0;0;0;0;0;0;0;0
228;0;0;0;0;0;0;0;0;0
837;0;0;0;0;0;0;0;0;2
758;0;0;0;0;0;0;0;0;2
225;3;0;0;0;0;0;0;0;0
134;6;6;0;4;0;0;6;0;0
256;0;0;0;0;0;0;0;0;0
761;0;0;0;0;4;0;2;2;0
923;0;0;0;0;0;0;0;0;0
933;0;0;0;0;0;0;0;0;0
997;3;0;0;0;0;0;0;0;0
143;0;0;0;0;0;0;0;0;0
866;3;0;0;0;0;2;0;0;2
555;3;0;0;0;0;0;0;0;0
914;0;0;0;0;0;0;0;0;0
034;3;0;0;0;0;0;0;0;0
062;0;0;0;0;0;0;0;0;0
733;0;0;0;0;0;0;0;0;0
811;0;0;0;0;2;0;0;0;0
863;0;0;0;0;0;0;0;0;0
714;3;0;0;0;0;0;0;0;0
516;0;0;0;0;0;0;0;0;0
113;3;0;0;0;0;0;0;0;2
821;3;0;0;0;0;0;0;0;0
