Statistischer Bezirk;Beratungs- und Vermittlungsstellen (cls:L605);Horte (cls:L606);Kindertagesstätten (cls:L608);legale Graffitiflächen (cls:L230);Spielplätze (cls:L229);"Kinderschutzprojekt ""Bärenstarker August"" (cls:L231)";Freizeiteinrichtungen (cls:L1100);Beratung und Unterstützung (cls:L1102);Schulsozialarbeit (cls:L1101);Jobcenter Dresden (cls:L101);Beratung arbeitsloser Menschen (cls:L382);Berufsorientierung und Weiterbildung (cls:L477);Freibäder (cls:L560);Kegelsportstätten (cls:L551);Reitsportstätten (cls:L552);Schwimmhallen (cls:L553);Eissportstätten (cls:L550);Sonstige Sportstätten/ Freizeitsport (cls:L559);Sporthallen (cls:L554);Sportkomplexe (cls:L555);Sportplätze und -stadien (cls:L556);Tennissportstätten (cls:L557);Wassersportstätten (cls:L558);Lebensmittelmärkte (cls:L700);WLAN-Hotspots (cls:L581);Paketstationen/Paketboxen (cls:L582);Märkte (cls:L108);Geldautomaten (cls:L110);Notare (cls:L109);Verbraucherberatung (cls:L461);Krankenhäuser (cls:L532);Krankenkassen (cls:L89);Gesundheitseinrichtungen (cls:L88);Suchtberatung (cls:L388);Sozialpsychiatrischer Dienst (cls:L389);Kontakt- und Informationsstelle für Selbsthilfegruppen (cls:L390);Hospizdienste (cls:L391);Tierärzte (cls:L460);Kostenfreies Trinkwasser (Refill) (cls:L459);Apotheken (cls:L458);Defibrillatoren (cls:L392);Berufsbildende Schulen (cls:L546);Förderschulen (cls:L541);Grundschulen (cls:L542);Zweiter Bildungsweg (cls:L544);Oberschulen (cls:L543);Gymnasien (cls:L545);Konsulate (cls:L225);Nachhaltigkeitsinitiativen (cls:L530);Kleidung für einkommensschwache Menschen (cls:L264);Möbel für einkommensschwache Menschen (cls:L265);Beratung bei (drohender) Wohnungslosigkeit (cls:L282);Betreuung und Begleitung Langzeitarbeitsloser (cls:L262);Schuldnerberatung (cls:L266);Übergangswohnheime für Wohnungslose (cls:L281);Essen für einkommensschwache Menschen (cls:L263);Beratung & Begegnung (cls:L387);Wohnungsgenossenschaften (cls:L465);Seniorenbegegnungsstätten (cls:L259);Pflegedienste (cls:L257);Seniorenberatungsstellen (cls:L260);Betreutes Wohnen (cls:L254);Senioren- und Pflegeheime (cls:L258);Kurzzeitpflege (cls:L256);Seniorentagespflege (cls:L261);Kommunale Sozialarbeit (cls:L255);Alltagsbegleitung (cls:L1108);Wohnstätten (cls:L240);Werkstätten (cls:L241);Betreutes Wohnen (cls:L246);ambulante Frühförderung (cls:L245);ambulante mobile Dienste (cls:L244);Begegnungsstätten (cls:L243);Beratungsstellen (cls:L242);Begegnung & Bildung (cls:L247);Beratung & Kontakt (cls:L248);Integrationskurse (cls:L538);Migrationsdienste (cls:L540);Regionalkoordinatoren (cls:L537);Asyl - Übergangswohnheime (cls:L250);Asyl - Erstaufnahmeeinrichtungen (cls:L249)
227;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
622;0;2;4;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
921;0;0;0;0;8;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;1;4;1;0;6;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;6;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
764;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
862;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
214;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
615;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
