Statistischer Bezirk;Mobile Sammelstellen (cls:L565)
227;1
622;2
921;0
132;1
764;0
862;0
763;0
559;0
214;0
615;0
568;1
991;2
768;0
865;0
554;1
061;0
211;0
254;1
541;0
477;2
842;0
735;0
998;3
931;3
963;1
145;0
242;2
773;0
964;0
522;1
578;0
245;0
835;2
074;2
625;1
814;0
244;0
051;0
318;1
813;2
832;0
924;1
454;2
985;3
861;2
851;0
815;0
577;0
313;1
363;0
818;1
742;3
451;2
215;0
226;0
558;2
052;0
755;2
916;0
131;0
765;0
774;0
032;2
036;0
353;3
076;1
241;0
982;3
864;1
868;2
255;1
474;2
542;1
146;0
845;2
317;1
769;0
952;1
557;0
772;1
356;2
465;2
734;2
825;0
569;0
312;1
364;2
624;2
221;0
904;0
455;3
986;0
072;0
852;3
935;0
901;5
754;0
766;1
743;3
819;0
844;0
737;0
475;0
543;0
936;0
212;0
961;0
993;2
824;0
352;2
753;1
816;0
078;0
316;2
767;1
911;0
523;0
965;1
556;0
053;1
905;2
836;0
324;3
073;0
067;0
355;2
617;0
464;2
576;1
311;0
833;0
902;1
321;4
538;0
925;0
472;2
736;0
141;0
867;0
995;0
951;0
915;0
955;0
033;1
853;2
223;2
452;0
077;0
823;0
983;3
247;0
752;3
817;0
331;0
441;0
213;1
063;1
611;2
545;0
922;0
992;2
351;0
966;0
731;1
514;0
111;2
759;1
626;0
079;0
846;0
517;0
473;2
144;1
934;0
994;0
315;0
054;0
361;3
715;0
906;2
621;0
841;1
725;0
251;1
546;1
751;0
222;0
478;2
616;1
154;0
142;0
822;0
908;0
744;0
228;0
837;0
758;3
225;0
134;0
256;0
761;1
923;0
933;0
997;2
143;0
866;0
555;0
914;0
034;0
062;1
733;0
811;1
863;1
714;1
516;0
113;0
821;1
909;0
762;0
471;2
771;0
246;1
757;0
579;0
623;2
224;1
133;0
932;0
996;0
243;0
967;2
314;0
055;0
362;2
984;3
907;2
257;0
476;2
834;1
614;0
843;0
953;0
071;1
732;2
112;0
332;0
756;0
962;0
812;0
981;2
232;2
035;0
644;2
643;0
122;2
978;0
511;1
721;1
414;2
524;0
114;0
726;0
342;0
572;1
563;0
428;2
233;4
975;1
123;0
972;0
421;3
533;2
151;0
115;0
973;0
723;0
422;0
041;0
958;0
252;0
944;1
722;2
525;0
612;0
642;1
513;0
561;1
571;0
121;0
431;0
253;0
945;3
544;0
069;0
613;0
641;0
724;1
971;1
532;0
043;3
946;1
153;0
068;0
341;0
512;1
117;0
152;0
515;0
116;0
518;0
531;0
042;1
427;3
631;0
234;0
025;1
434;0
977;1
011;0
426;2
045;0
632;1
435;2
954;0
453;0
012;0
411;0
066;1
976;0
551;1
354;0
566;1
838;0
425;0
537;0
044;0
463;0
575;0
521;2
957;0
903;1
741;0
941;0
713;0
322;1
075;2
618;0
727;0
024;0
536;0
633;2
031;0
567;0
839;1
526;1
424;0
047;0
913;1
412;3
065;0
249;0
432;1
574;0
831;1
942;0
462;3
323;2
956;3
619;1
728;1
023;1
553;0
634;3
564;1
974;0
535;0
712;0
912;0
413;0
064;0
046;0
646;0
022;0
527;1
248;3
433;2
461;2
573;2
124;1
565;1
118;1
534;1
645;2
423;0
943;2
711;0
552;0
021;0
231;0
562;0
429;1
