Statistischer Bezirk;Bodenrichtwerte (cls:L303);Bodenrichtwerte (cls:L483);Bodenrichtwertzonen 2015 - Beschriftung (cls:L580);Bodenleitwerte (cls:L295);Bodenrichtwerte (cls:L318);Bodenrichtwerte (cls:L308);Bodenrichtwerte (cls:L322);Bodenrichtwerte (cls:L311);Bodenrichtwerte (cls:L331);Bodenrichtwerte (cls:L312);Bodenrichtwerte (cls:L326);Bodenrichtwerte (cls:L335);Bodenrichtwerte (cls:L315);Bodenrichtwerte (cls:L329);Bodenrichtwerte (cls:L337);Bodenrichtwertzonen 2011 - Beschriftung (cls:L588);Bodenrichtwertzonen 2013 - Beschriftung (cls:L589);Bodenrichtwerte (cls:L298);Bodenrichtwerte (cls:L301);Bodenrichtwertzonen 2017 - Beschriftung (cls:L682);Bodenrichtwertzonen 2019 - Beschriftung (cls:L1079);Baukultur in Dresden (cls:L1090)
227;4;6;15;0;4;2;4;4;4;4;4;6;4;4;6;10;10;2;4;8;8;0
622;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0
921;6;2;6;2;4;6;4;4;4;4;4;2;4;4;2;2;4;2;4;4;4;1
132;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;0
764;0;2;6;2;0;0;2;0;2;0;2;2;0;2;2;4;4;0;0;4;4;0
862;0;0;3;0;0;2;0;2;0;2;0;0;2;0;0;2;2;0;2;4;4;0
763;4;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0
559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
214;2;2;6;2;2;10;2;6;2;4;2;2;2;2;2;4;4;0;2;4;4;1
615;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0
568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
991;0;6;12;0;0;0;4;0;6;0;4;6;0;6;6;8;8;0;0;8;8;0
768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;0
554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
061;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1
211;2;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;0
254;6;10;9;2;10;6;8;8;10;10;10;10;8;8;10;6;6;2;4;6;6;1
541;4;2;3;0;2;4;2;4;2;2;0;2;2;2;2;2;2;2;2;2;0;0
477;0;4;3;0;0;0;4;0;4;0;4;4;0;4;4;4;4;0;0;2;2;0
842;0;2;3;0;2;0;0;0;0;0;2;2;2;0;2;2;2;0;0;2;2;0
735;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
998;0;12;12;0;10;0;10;0;8;0;10;8;8;8;12;8;8;0;0;8;8;0
931;2;0;0;2;2;2;2;4;2;2;2;0;2;2;0;0;0;2;4;0;0;0
963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;5
242;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
773;2;0;0;0;0;2;2;2;2;0;2;2;0;2;0;0;0;0;2;0;0;0
964;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
522;2;4;0;0;6;2;6;2;6;4;6;4;6;4;4;0;0;0;2;0;0;0
578;0;2;0;0;2;4;0;2;2;2;2;2;0;2;2;0;0;2;0;0;0;0
245;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0
835;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
074;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
625;0;4;12;0;0;0;2;0;2;0;2;2;0;2;4;6;8;0;2;8;8;0
814;0;2;9;2;0;0;0;0;0;0;0;0;0;0;2;2;4;2;2;4;4;0
244;0;4;0;2;2;2;2;4;2;2;2;4;2;2;4;2;0;0;0;0;0;0
051;6;4;9;0;4;4;4;4;4;4;4;4;4;4;4;6;6;2;6;4;4;0
318;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
813;2;4;6;2;0;4;0;2;4;0;2;4;0;2;4;4;4;0;2;4;4;0
832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
924;0;2;3;0;2;0;2;0;2;2;2;2;2;2;2;2;2;0;0;2;2;0
454;0;8;18;0;0;0;8;0;6;0;8;8;0;6;8;14;14;0;0;10;10;0
985;6;12;33;2;10;8;10;6;10;8;10;10;8;10;12;26;22;2;4;22;24;0
861;0;2;6;4;4;0;2;0;2;0;2;2;0;2;2;4;4;2;0;4;4;1
851;0;8;18;0;6;2;6;2;6;4;6;8;4;6;8;12;12;0;0;12;12;0
815;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0
577;4;0;3;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;2;2;2;0
313;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0
363;0;6;9;0;0;0;6;0;6;0;6;6;0;6;6;12;12;0;0;6;6;0
818;2;0;0;0;2;2;2;2;2;2;2;0;2;2;0;2;2;0;2;0;0;1
742;4;12;21;2;8;4;10;8;10;6;12;12;8;12;12;14;14;2;2;14;14;0
451;0;6;24;0;0;0;4;0;6;0;4;4;0;6;6;16;16;0;0;12;12;0
215;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
226;0;4;9;2;6;4;6;6;6;6;6;4;6;6;4;6;6;2;0;6;6;1
558;0;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;2;0;0
052;4;0;0;0;4;6;4;4;2;4;4;0;4;4;0;0;0;2;4;0;0;1
755;4;8;12;2;6;4;6;6;6;6;6;6;6;6;8;6;6;2;2;8;8;0
916;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;4;4;0
131;12;10;12;8;12;12;10;12;12;10;12;10;10;12;10;8;8;8;8;8;8;3
765;4;4;3;0;4;2;4;2;4;2;4;4;4;2;4;2;2;2;2;6;6;0
774;0;2;6;2;0;0;0;0;2;2;0;2;0;0;2;4;4;0;0;4;4;0
032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
036;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
353;0;4;9;0;0;0;4;0;4;0;4;4;0;4;4;6;6;0;0;6;6;0
076;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;0
241;2;2;9;0;2;2;2;2;2;2;2;2;2;2;2;6;6;0;0;6;6;0
982;2;2;9;0;6;4;4;6;4;6;4;2;6;4;2;8;8;2;2;6;6;0
864;2;0;0;0;2;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2
868;4;2;0;2;2;4;2;4;2;2;2;2;2;2;2;0;0;2;2;0;0;0
255;2;0;6;0;0;2;0;2;0;2;0;0;2;0;0;4;4;0;0;4;4;0
474;0;6;9;0;0;0;4;0;4;0;4;4;0;4;6;8;8;0;0;4;4;0
542;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0
146;2;2;9;0;2;6;4;0;4;2;4;2;2;2;2;6;6;0;2;6;6;0
845;4;16;24;2;10;4;10;4;12;4;12;16;6;12;16;16;16;4;4;16;16;0
317;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
772;0;4;3;2;0;0;2;0;2;0;0;2;0;2;4;2;2;0;0;2;2;0
356;0;4;6;0;0;0;2;0;2;0;2;2;0;2;4;4;4;0;0;2;2;0
465;0;6;15;0;0;0;6;0;6;0;6;6;0;6;6;10;10;0;0;8;8;0
734;2;2;6;0;2;2;2;2;2;2;2;2;2;4;2;4;4;2;2;4;4;1
825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
312;0;2;3;2;0;0;2;0;2;0;2;0;0;2;2;2;2;0;0;2;2;0
364;0;6;15;0;0;0;6;0;6;0;6;6;0;6;6;10;10;0;0;10;10;0
624;4;6;9;0;6;4;6;4;6;4;6;6;6;6;6;6;6;4;2;6;6;0
221;4;4;18;2;6;8;6;8;4;6;4;4;6;4;4;14;14;2;0;2;2;1
904;0;2;3;0;2;0;2;0;2;0;2;2;2;2;2;2;2;0;0;2;2;0
455;0;4;3;0;0;0;2;0;4;0;4;4;0;4;4;4;4;0;0;2;2;0
986;2;4;9;0;2;4;2;4;2;2;2;2;2;2;2;6;6;0;0;4;4;0
072;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0
852;4;8;21;2;8;4;8;6;8;6;8;8;6;8;8;14;14;2;4;14;14;0
935;2;2;3;0;2;2;0;2;2;2;2;2;2;2;2;6;2;0;2;2;2;0
901;0;6;21;0;6;0;4;0;4;0;4;6;4;4;6;10;10;0;0;12;12;0
754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
766;0;2;9;0;0;0;0;0;0;0;0;0;0;2;0;8;6;0;0;2;2;0
743;6;10;18;2;10;6;10;10;10;10;10;12;10;10;10;12;12;6;6;12;12;0
819;2;4;3;0;2;2;2;2;2;2;2;4;2;2;4;2;2;0;0;2;2;0
844;2;4;9;0;6;6;6;4;6;4;6;4;4;6;4;6;6;2;2;6;6;1
737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
475;0;4;6;0;0;0;4;0;4;0;4;4;0;4;4;10;4;0;0;4;4;0
543;0;2;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0
936;2;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0
212;0;2;6;2;2;2;2;2;2;2;2;2;2;2;2;4;4;0;0;2;2;1
961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
993;0;4;15;0;0;0;2;0;2;0;2;2;0;2;4;12;10;0;0;10;10;0
