Statistischer Bezirk;Dominanten im Landschaftsbild (cls:L971)
227;4
622;0
921;8
132;4
764;0
862;0
763;0
559;0
214;0
615;0
568;0
991;4
768;0
865;4
554;0
061;2
211;0
254;0
541;4
477;0
842;0
735;0
998;4
931;0
963;0
145;4
242;0
773;0
964;0
522;0
578;0
245;0
835;4
074;0
625;4
814;0
244;0
051;0
318;0
813;0
832;0
924;0
454;0
985;0
861;0
851;0
815;0
577;0
313;4
363;0
818;0
742;8
451;0
215;4
226;0
558;0
052;2
755;4
916;0
131;14
765;0
774;0
032;0
036;4
353;0
076;0
241;0
982;0
864;0
868;0
255;0
474;0
542;0
146;0
845;0
317;0
769;0
952;0
557;0
772;0
356;4
465;4
734;0
825;4
569;0
312;0
364;0
624;0
221;0
904;8
455;0
986;0
072;0
852;0
935;0
901;0
754;0
766;0
743;0
819;0
844;0
737;0
475;4
543;0
936;0
212;0
961;0
993;12
824;0
352;0
753;0
816;0
078;4
316;4
767;0
911;4
523;0
965;0
556;0
053;8
905;0
836;0
324;0
073;0
067;0
355;8
617;0
464;0
576;4
311;0
833;0
902;4
321;0
538;4
925;0
472;2
736;4
141;4
867;0
995;0
951;4
915;0
955;0
033;4
853;0
223;0
452;0
077;4
823;8
983;4
247;0
752;4
817;8
331;0
441;6
213;4
063;2
611;4
545;0
922;4
992;0
351;0
966;0
731;0
514;4
111;0
759;0
626;0
079;0
846;0
517;0
473;0
144;0
934;0
994;0
315;0
054;0
361;2
715;0
906;0
621;0
841;0
725;4
251;4
546;0
751;0
222;0
478;2
616;0
154;0
142;0
822;0
908;0
744;0
228;0
837;0
758;0
225;0
134;4
256;0
761;8
923;0
933;0
997;0
143;0
866;4
555;0
914;0
034;4
062;2
733;0
811;4
863;0
714;0
516;0
113;0
821;4
909;4
762;4
471;4
771;0
246;4
757;0
579;0
623;0
224;0
133;4
932;0
996;0
243;0
967;4
314;0
055;24
362;0
984;0
907;0
257;0
476;0
834;0
614;0
843;0
953;0
071;2
732;0
112;0
332;0
756;0
962;0
812;0
981;0
232;0
035;2
644;4
643;0
122;0
978;0
511;0
721;4
414;8
524;0
114;0
726;0
342;4
572;0
563;0
428;0
233;4
975;0
123;12
972;0
421;0
533;0
151;0
115;0
973;0
723;0
422;0
041;8
958;0
252;0
944;0
722;0
525;4
612;0
642;4
513;0
561;12
571;0
121;0
431;4
253;0
945;0
544;0
069;0
613;0
641;0
724;0
971;0
532;0
043;8
946;4
153;0
068;4
341;8
512;2
117;0
152;10
515;0
116;4
518;0
531;0
042;4
427;0
631;0
234;0
025;8
434;0
977;0
011;20
426;0
045;0
632;0
435;0
954;0
453;0
012;16
411;16
066;0
976;0
551;4
354;2
566;0
838;0
425;0
537;0
044;0
463;0
575;0
521;0
957;0
903;8
741;0
941;0
713;0
322;4
075;0
618;8
727;0
024;0
536;4
633;0
031;0
567;0
839;0
526;0
424;0
047;0
913;0
412;8
065;0
249;0
432;8
574;0
831;4
942;0
462;0
323;4
956;0
619;0
728;0
023;0
553;0
634;0
564;4
974;0
535;4
712;0
912;4
413;4
064;4
046;0
646;0
022;4
527;0
248;0
433;8
461;0
573;0
124;4
565;0
118;0
534;0
645;0
423;0
943;0
711;0
552;0
021;0
231;4
562;0
429;0
