Statistischer Bezirk;Spielplätze (cls:L229)
227;0
622;3
921;12
132;6
764;3
862;3
763;0
559;0
214;3
615;3
568;0
991;9
768;3
865;0
554;0
061;3
211;0
254;0
541;9
477;0
842;3
735;0
998;6
931;9
963;6
145;6
242;0
773;0
964;0
522;3
578;0
245;0
835;0
074;0
625;0
814;0
244;0
051;3
318;3
813;0
832;0
924;9
454;6
985;3
861;3
851;3
815;0
577;0
313;0
363;3
818;0
742;3
451;3
215;6
226;0
558;0
052;3
755;3
916;6
131;3
765;3
774;0
032;6
036;6
353;3
076;9
241;0
982;0
864;0
868;3
255;6
474;3
542;12
146;3
845;3
317;0
769;0
952;0
557;0
772;3
356;6
465;6
734;0
825;0
569;0
312;3
364;3
624;3
221;0
904;0
455;0
986;9
072;0
852;3
935;3
901;6
754;3
766;3
743;6
819;3
844;0
737;0
475;0
543;9
936;3
212;9
961;9
993;6
824;3
352;0
753;0
816;0
078;12
316;6
767;3
911;3
523;0
965;0
556;0
053;6
905;3
836;0
324;6
073;0
067;0
355;0
617;3
464;3
576;3
311;0
833;0
902;0
321;0
538;0
925;0
472;3
736;0
141;3
867;3
995;0
951;0
915;0
955;3
033;3
853;3
223;0
452;3
077;0
823;0
983;6
247;0
752;0
817;0
331;0
441;0
213;9
063;0
611;0
545;27
922;9
992;3
351;3
966;3
731;3
514;0
111;0
759;6
626;0
079;12
846;0
517;0
473;0
144;3
934;12
994;0
315;0
054;0
361;3
715;3
906;3
621;0
841;9
725;0
251;6
546;18
751;0
222;0
478;0
616;0
154;0
142;6
822;0
908;3
744;0
228;0
837;3
758;0
225;9
134;0
256;3
761;0
923;0
933;0
997;0
143;0
866;3
555;0
914;9
034;18
062;6
733;0
811;0
863;0
714;0
516;0
113;3
821;0
909;0
762;3
471;6
771;0
246;3
757;0
579;0
623;0
224;6
133;0
932;9
996;0
243;0
967;6
314;6
055;0
362;9
984;6
907;3
257;3
476;3
834;6
614;0
843;0
953;0
071;3
732;6
112;0
332;0
756;3
962;0
812;0
981;0
232;3
035;0
644;6
643;0
122;0
978;0
511;6
721;0
414;0
524;0
114;3
726;3
342;0
572;0
563;6
428;3
233;0
975;0
123;3
972;12
421;0
533;6
151;0
115;6
973;9
723;0
422;0
041;0
958;0
252;0
944;3
722;0
525;6
612;0
642;0
513;3
561;0
571;3
121;0
431;3
253;0
945;9
544;18
069;9
613;0
641;0
724;0
971;6
532;0
043;0
946;3
153;0
068;3
341;0
512;0
117;0
152;3
515;3
116;6
518;0
531;0
042;0
427;0
631;0
234;0
025;0
434;0
977;9
011;0
426;0
045;0
632;3
435;0
954;9
453;0
012;3
411;0
066;3
976;0
551;3
354;9
566;0
838;0
425;3
537;6
044;0
463;9
575;3
521;0
957;3
903;6
741;3
941;3
713;3
322;3
075;6
618;0
727;3
024;6
536;6
633;6
031;0
567;0
839;0
526;3
424;0
047;3
913;0
412;3
065;3
249;0
432;3
574;0
831;0
942;0
462;6
323;0
956;6
619;3
728;3
023;0
553;0
634;0
564;3
974;6
535;0
712;6
912;0
413;3
064;3
046;3
646;0
022;0
527;3
248;3
433;3
461;15
573;0
124;0
565;3
118;3
534;3
645;0
423;0
943;0
711;3
552;0
021;3
231;0
562;0
429;0
