Statistischer Bezirk;Tankstellen (cls:L107)
227;2
622;0
921;2
132;0
764;0
862;0
763;0
559;0
214;1
615;0
568;0
991;2
768;0
865;0
554;0
061;0
211;0
254;0
541;0
477;0
842;0
735;0
998;2
931;0
963;0
145;0
242;0
773;0
964;0
522;0
578;0
245;0
835;0
074;0
625;0
814;0
244;0
051;5
318;0
813;1
832;0
924;0
454;1
985;1
861;2
851;0
815;0
577;0
313;0
363;0
818;1
742;1
451;0
215;0
226;2
558;0
052;1
755;0
916;0
131;4
765;1
774;1
032;0
036;0
353;2
076;0
241;0
982;0
864;0
868;0
255;0
474;0
542;0
146;2
845;0
317;1
769;0
952;0
557;0
772;0
356;0
465;0
734;1
825;0
569;0
312;0
364;0
624;1
221;0
904;0
455;0
986;0
072;0
852;0
935;0
901;0
754;1
766;0
743;3
819;0
844;2
737;0
475;0
543;0
936;0
212;0
961;0
993;1
824;0
352;0
753;1
816;0
078;0
316;0
767;0
911;3
523;0
965;0
556;0
053;1
905;0
836;0
324;0
073;0
067;0
355;0
617;0
464;0
576;1
311;1
833;1
902;0
321;0
538;1
925;0
472;0
736;0
141;1
867;0
995;0
951;0
915;0
955;0
033;0
853;0
223;0
452;0
077;1
823;0
983;0
247;0
752;0
817;1
331;2
441;0
213;0
063;0
611;0
545;0
922;0
992;1
351;0
966;0
731;0
514;0
111;1
759;0
626;1
079;0
846;0
517;0
473;0
144;0
934;0
994;0
315;0
054;3
361;0
715;0
906;0
621;0
841;0
725;0
251;1
546;0
751;1
222;0
478;0
616;0
154;0
142;0
822;2
908;0
744;0
228;0
837;0
758;0
225;3
134;0
256;0
761;0
923;0
933;1
997;0
143;0
866;0
555;0
914;0
034;1
062;0
733;0
811;0
863;0
714;1
516;0
113;0
821;0
909;0
762;0
471;1
771;0
246;1
757;0
579;1
623;0
224;0
133;2
932;1
996;0
243;0
967;0
314;0
055;2
362;0
984;1
907;0
257;0
476;0
834;0
614;2
843;1
953;0
071;0
732;0
112;0
332;0
756;3
962;0
812;0
981;1
232;0
035;1
644;0
643;0
122;2
978;0
511;0
721;1
414;0
524;0
114;0
726;0
342;1
572;0
563;1
428;0
233;2
975;0
123;1
972;0
421;0
533;0
151;0
115;1
973;0
723;0
422;0
041;1
958;3
252;2
944;0
722;0
525;0
612;0
642;0
513;0
561;2
571;0
121;0
431;0
253;0
945;1
544;0
069;0
613;0
641;0
724;0
971;2
532;0
043;0
946;0
153;0
068;1
341;1
512;1
117;0
152;4
515;0
116;0
518;0
531;0
042;1
427;1
631;0
234;0
025;0
434;0
977;0
011;5
426;0
045;0
632;0
435;0
954;0
453;1
012;1
411;1
066;0
976;0
551;0
354;1
566;0
838;0
425;0
537;0
044;0
463;0
575;0
521;1
957;0
903;1
741;0
941;0
713;0
322;0
075;0
618;0
727;0
024;0
536;1
633;0
031;2
567;1
839;0
526;0
424;0
047;0
913;0
412;1
065;0
249;0
432;0
574;0
831;0
942;0
462;0
323;0
956;0
619;1
728;0
023;0
553;0
634;0
564;1
974;0
535;0
712;0
912;0
413;0
064;0
046;0
646;0
022;0
527;0
248;0
433;1
461;0
573;0
124;0
565;0
118;1
534;0
645;1
423;0
943;0
711;0
552;0
021;1
231;3
562;0
429;0
