Statistischer Bezirk;WLAN-Hotspots (cls:L581)
227;3
622;0
921;12
132;18
764;0
862;3
763;3
559;0
214;6
615;0
568;0
991;0
768;0
865;3
554;3
061;0
211;0
254;30
541;0
477;0
842;0
735;0
998;21
931;15
963;0
145;3
242;0
773;0
964;0
522;0
578;0
245;0
835;0
074;0
625;0
814;0
244;0
051;15
318;0
813;0
832;0
924;9
454;0
985;3
861;0
851;3
815;15
577;0
313;0
363;0
818;0
742;36
451;0
215;0
226;0
558;0
052;9
755;3
916;0
131;18
765;3
774;0
032;3
036;3
353;0
076;0
241;0
982;0
864;0
868;0
255;0
474;0
542;3
146;6
845;0
317;6
769;0
952;0
557;0
772;0
356;0
465;0
734;0
825;0
569;0
312;3
364;0
624;0
221;9
904;0
455;0
986;0
072;0
852;0
935;48
901;3
754;0
766;0
743;12
819;3
844;0
737;0
475;0
543;0
936;0
212;0
961;0
993;12
824;3
352;0
753;0
816;0
078;3
316;0
767;0
911;0
523;3
965;0
556;0
053;6
905;0
836;3
324;3
073;6
067;0
355;0
617;0
464;0
576;6
311;9
833;0
902;0
321;0
538;18
925;0
472;0
736;0
141;0
867;0
995;0
951;0
915;0
955;0
033;3
853;0
223;6
452;3
077;0
823;6
983;0
247;0
752;0
817;6
331;3
441;0
213;3
063;0
611;6
545;0
922;0
992;0
351;0
966;6
731;3
514;3
111;6
759;0
626;12
079;3
846;0
517;9
473;0
144;30
934;3
994;0
315;0
054;15
361;3
715;3
906;3
621;9
841;0
725;0
251;3
546;0
751;0
222;0
478;0
616;0
154;0
142;6
822;0
908;0
744;0
228;0
837;0
758;0
225;12
134;27
256;6
761;3
923;0
933;3
997;0
143;0
866;0
555;0
914;0
034;0
062;0
733;0
811;0
863;0
714;3
516;0
113;6
821;6
909;0
762;6
471;0
771;0
246;0
757;0
579;9
623;0
224;0
133;3
932;0
996;0
243;3
967;12
314;0
055;0
362;0
984;9
907;0
257;0
476;0
834;0
614;0
843;0
953;0
071;0
732;0
112;6
332;0
756;0
962;0
812;6
981;9
232;0
035;0
644;0
643;0
122;3
978;0
511;0
721;0
414;3
524;0
114;39
726;0
342;0
572;0
563;0
428;0
233;0
975;3
123;3
972;0
421;15
533;0
151;0
115;48
973;0
723;0
422;15
041;12
958;0
252;3
944;3
722;0
525;3
612;6
642;0
513;0
561;0
571;6
121;0
431;0
253;0
945;0
544;0
069;0
613;3
641;0
724;0
971;3
532;0
043;6
946;0
153;0
068;0
341;3
512;15
117;6
152;3
515;9
116;9
518;0
531;0
042;9
427;6
631;0
234;0
025;0
434;0
977;0
011;63
426;0
045;0
632;3
435;0
954;0
453;3
012;33
411;0
066;6
976;0
551;0
354;3
566;0
838;0
425;3
537;0
044;3
463;0
575;0
521;0
957;0
903;9
741;0
941;18
713;0
322;0
075;3
618;0
727;0
024;0
536;0
633;0
031;39
567;0
839;0
526;0
424;0
047;69
913;0
412;6
065;6
249;0
432;0
574;3
831;6
942;0
462;3
323;0
956;0
619;0
728;0
023;0
553;0
634;0
564;0
974;0
535;0
712;0
912;3
413;0
064;3
046;0
646;0
022;0
527;9
248;3
433;0
461;3
573;0
124;3
565;0
118;12
534;0
645;3
423;0
943;0
711;0
552;0
021;0
231;12
562;0
429;3
