"Statistischer Bezirk";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtbezirk/Ortschaft";"Stadtraum";"Bautätigkeit - Art";"Genehmigungsjahr";"Gebäudeart";"Anzahl Gebäude";"Wohnungen gesamt"
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"1993";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"1997";"Nichtwohngebäude mit Wohnungen";7;30
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"1997";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"1998";"Nichtwohngebäude mit Wohnungen";2;4
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"1998";"Nichtwohngebäude ohne Wohnungen";6;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2002";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2003";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2004";"Mehrfamilienhaus";3;27
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2004";"Nichtwohngebäude mit Wohnungen";3;21
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2004";"Nichtwohngebäude ohne Wohnungen";5;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2005";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2006";"Nichtwohngebäude mit Wohnungen";3;20
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2007";"Mehrfamilienhaus";2;5
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2007";"Nichtwohngebäude mit Wohnungen";6;58
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2007";"Nichtwohngebäude ohne Wohnungen";2;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2008";"Nichtwohngebäude ohne Wohnungen";4;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2009";"Mehrfamilienhaus";4;35
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2009";"Nichtwohngebäude mit Wohnungen";3;18
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2009";"Nichtwohngebäude ohne Wohnungen";2;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2012";"Mehrfamilienhaus";2;9
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2012";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2014";"Mehrfamilienhaus";1;17
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2014";"Nichtwohngebäude mit Wohnungen";3;19
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2017";"Mehrfamilienhaus";1;8
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2018";"Mehrfamilienhaus";14;270
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2018";"Nichtwohngebäude mit Wohnungen";1;8
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2018";"Nichtwohngebäude ohne Wohnungen";2;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"1994";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"1997";"Nichtwohngebäude mit Wohnungen";1;5
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2000";"Nichtwohngebäude ohne Wohnungen";2;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2001";"Mehrfamilienhaus";3;54
