"Statistischer Bezirk";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtbezirk/Ortschaft";"Stadtraum";"Bautätigkeit - Art";"Fertigstellungsjahr";"Gebäudeart";"Anzahl Gebäude";"Wohnungen gesamt"
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"1998";"Nichtwohngebäude mit Wohnungen";4;16
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"1999";"Nichtwohngebäude mit Wohnungen";5;18
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"1999";"Nichtwohngebäude ohne Wohnungen";7;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2002";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2004";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2005";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2006";"Mehrfamilienhaus";3;27
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2006";"Nichtwohngebäude mit Wohnungen";3;21
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2006";"Nichtwohngebäude ohne Wohnungen";6;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2007";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2008";"Nichtwohngebäude mit Wohnungen";7;24
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2008";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2009";"Mehrfamilienhaus";2;5
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2009";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2010";"Nichtwohngebäude mit Wohnungen";2;54
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2010";"Nichtwohngebäude ohne Wohnungen";2;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2011";"Mehrfamilienhaus";2;16
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2011";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2012";"Mehrfamilienhaus";2;19
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2012";"Nichtwohngebäude mit Wohnungen";3;18
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2012";"Nichtwohngebäude ohne Wohnungen";3;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2013";"Mehrfamilienhaus";2;9
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2015";"Mehrfamilienhaus";1;17
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2017";"Nichtwohngebäude mit Wohnungen";3;19
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2018";"Mehrfamilienhaus";6;57
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2018";"Nichtwohngebäude mit Wohnungen";1;8
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2018";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"unbekannt";"Mehrfamilienhaus";9;221
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"unbekannt";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"1994";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"1998";"Nichtwohngebäude mit Wohnungen";1;5
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2000";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2001";"Mehrfamilienhaus";1;24
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2001";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2002";"Mehrfamilienhaus";3;38
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2003";"Mehrfamilienhaus";2;27
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2003";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2004";"Mehrfamilienhaus";6;94
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2004";"Nichtwohngebäude mit Wohnungen";1;2
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2004";"Nichtwohngebäude ohne Wohnungen";2;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2005";"Nichtwohngebäude ohne Wohnungen";1;0
"011  Innere Altstadt-Ost";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2006";"Mehrfamilienhaus";4;60
