"Jahr";"Bruttoinlandsprodukt zu Marktpreisen (in Mill. Euro)";"Bruttoinlandsprodukt zu Marktpreisen je Einwohner (in Euro/Person)";"Bruttoinlandsprodukt zu Marktpreisen je Erwerbstätigen (in Euro/Person)";"Bruttowertschöpfung - gesamt (in Mill. Euro)";"davon Land- und Forstwirtschaft, Fischerei (in Mill. Euro)";"davon Produzierendes Gewerbe (in Mill. Euro)";"- darunter Verarbeitendes Gewerbe (in Mill. Euro)";"- darunter Baugewerbe (in Mill. Euro)";"davon Handel, Verkehr und Gastgewerbe, Information und Kommunikation (in Mill. Euro)";"davon Grundstücks- und Wohnungswesen, Finanz- und Unternehmensdienstleister (in Mill. Euro)";"davon Öffentliche und sonstige Dienstleister, Erziehung und Gesundheit (in Mill. Euro)"
"2000";12342;26175;44273;11134;9;2845;1667;747;2108;2847;3325
"2001";13279;28141;47204;12000;10;3121;2009;669;2370;2996;3505
"2002";14231;30119;50529;12872;9;3668;2553;640;2371;3218;3606
"2003";15112;31856;53372;13648;8;4329;3124;735;2349;3269;3692
"2004";15914;33334;56152;14421;10;4930;3799;612;2425;3240;3818
"2005";15525;32168;54553;14049;8;4500;3428;559;2391;3314;3836
"2006";16039;32681;54743;14509;8;4580;3428;608;2524;3409;3989
"2007";16637;33514;55413;14969;9;4654;3428;679;2594;3614;4099
"2008";16300;32628;53741;14664;11;4015;2817;668;2664;3660;4314
"2009";15731;31227;52110;14113;8;3405;2219;686;2673;3586;4441
"2010";16410;32262;53883;14766;9;3543;2253;786;2836;3789;4589
"2011";16534;32133;53588;14852;12;3301;1993;802;2978;3811;4750
"2012";16800;32219;53641;15097;10;3099;1701;851;3067;3959;4962
"2013";17541;33226;55395;15781;9;3480;2082;833;3082;4090;5119
"2014";18218;34146;57129;16394;8;3779;2445;828;3099;4147;5360
"2015";20065;37153;62579;18059;6;4656;3266;877;3281;4546;5571
"2016";20725;37993;63783;18668;7;4701;3265;940;3527;4627;5806
