"Jahr";"Geschlecht";"Bezugsland (M03 aus MigraPro)";"Migrationshintergrund M2 (aggregiert)";"Anzahl Einwohner"
"2016";"männlich";"Südeuropa (Italien, Vatikan, San Marino, Malta -  2016 ff.)";"Ausländer";650
"2016";"männlich";"Südeuropa (Griechenland, Zypern - 2016 ff.)";"Ausländer";366
"2016";"männlich";"Südeuropa: Türkei 163";"Ausländer";517
"2016";"männlich";"Südeuropa (Spanien, Portugal, Andora - 2016 ff.)";"Ausländer";722
"2016";"männlich";"Osteuropa: EU-Beitrittsländer 2004";"Ausländer";2096
"2016";"männlich";"Osteuropa: EU-Beitrittsländer 2007";"Ausländer";1148
"2016";"männlich";"Osteuropa: Teil ehem. SU, GUS";"Ausländer";1665
"2016";"männlich";"Südosteuropa (2016 ff.)";"Ausländer";548
"2016";"männlich";"Westeuropa: EU-Länder";"Ausländer";1073
"2016";"männlich";"Westeuropa: Nicht-EU-Länder";"Ausländer";95
"2016";"männlich";"Nordafrika (2016 ff.)";"Ausländer";687
"2016";"männlich";"Mittel- und Südafrika (2016 ff.)";"Ausländer";576
"2016";"männlich";"Zentralasien (2016 ff.)";"Ausländer";146
"2016";"männlich";"Vorder- und Westasien (2016 ff.)";"Ausländer";2326
"2016";"männlich";"Südasien (2016 ff.)";"Ausländer";1759
"2016";"männlich";"Ostasien (2016 ff.)";"Ausländer";1774
"2016";"männlich";"Südostasien (2016 ff.)";"Ausländer";904
"2016";"männlich";"Nordamerika (2016 ff.)";"Ausländer";370
"2016";"männlich";"Mittel- und Südamerika (2016 ff.)";"Ausländer";540
"2016";"männlich";"Pazifikraum (2016 ff.)";"Ausländer";52
"2016";"männlich";"Sonstige und ungeklärt (2016 ff.)";"Ausländer";3574
"2016";"männlich";"BRD: 000 und 020";"Deutsche ohne Migrationshintergrund";243634
"2016";"männlich";"BRD: 000 und 020";"Deutsche mit Migrationshintergrund";10542
"2016";"weiblich";"Südeuropa (Italien, Vatikan, San Marino, Malta -  2016 ff.)";"Ausländer";453
"2016";"weiblich";"Südeuropa (Griechenland, Zypern - 2016 ff.)";"Ausländer";271
"2016";"weiblich";"Südeuropa: Türkei 163";"Ausländer";301
"2016";"weiblich";"Südeuropa (Spanien, Portugal, Andora - 2016 ff.)";"Ausländer";491
"2016";"weiblich";"Osteuropa: EU-Beitrittsländer 2004";"Ausländer";2311
"2016";"weiblich";"Osteuropa: EU-Beitrittsländer 2007";"Ausländer";812
"2016";"weiblich";"Osteuropa: Teil ehem. SU, GUS";"Ausländer";2660
"2016";"weiblich";"Südosteuropa (2016 ff.)";"Ausländer";359
"2016";"weiblich";"Westeuropa: EU-Länder";"Ausländer";705
"2016";"weiblich";"Westeuropa: Nicht-EU-Länder";"Ausländer";68
"2016";"weiblich";"Nordafrika (2016 ff.)";"Ausländer";239
"2016";"weiblich";"Mittel- und Südafrika (2016 ff.)";"Ausländer";234
"2016";"weiblich";"Zentralasien (2016 ff.)";"Ausländer";225
"2016";"weiblich";"Vorder- und Westasien (2016 ff.)";"Ausländer";1100
"2016";"weiblich";"Südasien (2016 ff.)";"Ausländer";635
"2016";"weiblich";"Ostasien (2016 ff.)";"Ausländer";1602
"2016";"weiblich";"Südostasien (2016 ff.)";"Ausländer";1150
"2016";"weiblich";"Nordamerika (2016 ff.)";"Ausländer";323
"2016";"weiblich";"Mittel- und Südamerika (2016 ff.)";"Ausländer";487
"2016";"weiblich";"Pazifikraum (2016 ff.)";"Ausländer";32
"2016";"weiblich";"Sonstige und ungeklärt (2016 ff.)";"Ausländer";1354
"2016";"weiblich";"BRD: 000 und 020";"Deutsche ohne Migrationshintergrund";250728
"2016";"weiblich";"BRD: 000 und 020";"Deutsche mit Migrationshintergrund";10732
