"Jahr";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtbezirk/Ortschaft";"Stadtraum";"AltK_13IRB-2-5-9-14-17-24-29-44-59-64-74-84-";"Anzahl Einwohner"
"";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"00 - 02 Jahre";31
"";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"03 - 05 Jahre";20
"";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"06 - 09 Jahre";13
"";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"10 - 14 Jahre";26
"";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"15 - 17 Jahre";18
"";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"18 - 24 Jahre";219
"";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"25 - 29 Jahre";278
"";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"30 - 44 Jahre";324
"";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"45 - 59 Jahre";238
"";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"60 - 64 Jahre";73
"";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"65 - 74 Jahre";147
"";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"75 - 84 Jahre";210
"";"01 Innere Altstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"85 Jahre u.älter";121
"";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"00 - 02 Jahre";142
"";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"03 - 05 Jahre";97
"";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"06 - 09 Jahre";127
"";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"10 - 14 Jahre";99
"";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"15 - 17 Jahre";48
"";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"18 - 24 Jahre";813
"";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"25 - 29 Jahre";764
"";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"30 - 44 Jahre";1146
"";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"45 - 59 Jahre";695
"";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"60 - 64 Jahre";231
"";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"65 - 74 Jahre";405
"";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"75 - 84 Jahre";922
"";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"85 Jahre u.älter";400
