"Jahr";"Baujahr";"Grundmiete";"Grundmiete - Whg mit Bad und IWC";"Betriebskosten - kalt";"Betriebskosten - warm"
"1995";" bis 1918";3;3;1;1
"1995";"1919 - 1945";3;3;1;1
"1995";"1946 - 1969";3;3;1;1
"1995";"1970 - 1990";3;3;1;1
"1995";"ab 1991";8;8;1;1
"1996";" bis 1918";4;4;1;1
"1996";"1919 - 1945";3;4;1;1
"1996";"1946 - 1969";3;3;1;1
"1996";"1970 - 1990";3;3;1;1
"1996";"ab 1991";8;7;1;1
"1998";" bis 1918";4;5;1;1
"1998";"1919 - 1945";4;5;1;1
"1998";"1946 - 1969";4;4;1;1
"1998";"1970 - 1990";4;4;1;1
"1998";"ab 1991";7;7;1;1
"2002";" bis 1918";5;5;1;1
"2002";"1919 - 1945";5;5;2;1
"2002";"1946 - 1969";4;4;1;1
"2002";"1970 - 1990";4;4;1;1
"2002";"ab 1991";6;6;1;1
"2005";" bis 1918";5;5;1;1
"2005";"1919 - 1945";5;5;1;1
"2005";"1946 - 1969";5;5;1;1
"2005";"1970 - 1990";4;4;1;1
"2005";"ab 1991";6;6;2;1
"2007";" bis 1918";5;5;1;1
"2007";"1919 - 1945";5;5;1;1
"2007";"1946 - 1969";5;5;1;1
"2007";"1970 - 1990";4;4;1;1
"2007";"ab 1991";6;6;1;1
"2010";" bis 1918";5;5;1;1
"2010";"1919 - 1945";5;5;1;1
"2010";"1946 - 1969";5;5;1;1
"2010";"1970 - 1990";5;5;1;1
"2010";"ab 1991";6;6;1;1
"2012";" bis 1918";6;6;1;1
"2012";"1919 - 1945";6;6;1;1
"2012";"1946 - 1969";5;5;1;1
"2012";"1970 - 1990";5;5;1;1
"2012";"ab 1991";6;6;1;1
"2014";" bis 1918";6;6;1;1
"2014";"1919 - 1945";6;6;1;1
"2014";"1946 - 1969";6;6;1;1
"2014";"1970 - 1990";5;5;1;1
"2014";"ab 1991";6;6;1;1
"2016";" bis 1918";6;6;1;1
"2016";"1919 - 1945";6;6;1;1
"2016";"1946 - 1969";6;6;1;1
"2016";"1970 - 1990";5;5;1;1
"2016";"ab 1991";7;7;1;1
"2018";" bis 1918";7;7;1;1
"2018";"1919 - 1945";6;6;1;1
"2018";"1946 - 1969";6;6;1;1
"2018";"1970 - 1990";6;5;1;1
"2018";"ab 1991";7;7;1;1
