"Jahr";"Eigentümer des Gebäudes";"Grundmiete";"Grundmiete - Whg mit Bad und IWC";"Betriebskosten - kalt";"Betriebskosten - warm"
"1995";"Eigentümer Wohnungsgenossenschaft";3;3;1;1
"1995";"Eigentümer Stadt";2;2;1;1
"1995";"Eigentümer privat";4;4;1;1
"1996";"Eigentümer Wohnungsgenossenschaft";4;4;1;1
"1996";"Eigentümer Stadt";3;3;1;1
"1996";"Eigentümer privat";5;5;1;1
"1998";"Eigentümer Wohnungsgenossenschaft";4;4;1;1
"1998";"Eigentümer Stadt";4;4;1;1
"1998";"Eigentümer privat";6;6;1;1
"2002";"Eigentümer Wohnungsgenossenschaft";4;4;1;1
"2002";"Eigentümer Stadt";4;4;1;1
"2002";"Eigentümer privat";5;5;2;1
"2005";"Eigentümer Wohnungsgenossenschaft";5;5;1;1
"2005";"Eigentümer Stadt";4;4;1;1
"2005";"Eigentümer privat";5;5;1;1
"2007";"Eigentümer Wohnungsgenossenschaft";5;5;1;1
"2007";"Eigentümer Stadt";5;5;1;1
"2007";"Eigentümer privat";5;5;1;1
"2010";"Eigentümer Wohnungsgenossenschaft";5;5;1;1
"2010";"Eigentümer Stadt";5;5;1;1
"2010";"Eigentümer privat";6;6;1;1
"2012";"Eigentümer Wohnungsgenossenschaft";5;5;1;1
"2012";"Eigentümer Stadt";5;5;1;1
"2012";"Eigentümer privat";6;6;1;1
"2014";"Eigentümer Wohnungsgenossenschaft";5;5;1;1
"2014";"Eigentümer Stadt";5;5;1;1
"2014";"Eigentümer privat";6;6;1;1
"2016";"Eigentümer Wohnungsgenossenschaft";5;5;1;1
"2016";"Eigentümer Stadt";6;6;1;1
"2016";"Eigentümer privat";6;6;1;1
"2018";"Eigentümer Wohnungsgenossenschaft";6;6;1;1
"2018";"Eigentümer Stadt";6;6;2;1
"2018";"Eigentümer privat";7;7;1;1
