"Jahr";"Haushalt-Größe-5";"Wohnfläche pro Person"
"1993";"1-Pers-Haush.";46
"1993";"2-Pers-Haush.";32
"1993";"3-Pers-Haush.";24
"1993";"4-Pers-Haush.";20
"1993";"5-u.m.-Pers-Hh.";19
"1993";"gewichtetes Mittel";28
"1995";"1-Pers-Haush.";50
"1995";"2-Pers-Haush.";32
"1995";"3-Pers-Haush.";24
"1995";"4-Pers-Haush.";20
"1995";"5-u.m.-Pers-Hh.";19
"1995";"gewichtetes Mittel";30
"1996";"1-Pers-Haush.";48
"1996";"2-Pers-Haush.";32
"1996";"3-Pers-Haush.";25
"1996";"4-Pers-Haush.";21
"1996";"5-u.m.-Pers-Hh.";19
"1996";"gewichtetes Mittel";30
"1998";"1-Pers-Haush.";50
"1998";"2-Pers-Haush.";33
"1998";"3-Pers-Haush.";26
"1998";"4-Pers-Haush.";22
"1998";"5-u.m.-Pers-Hh.";20
"1998";"gewichtetes Mittel";33
"2002";"1-Pers-Haush.";53
"2002";"2-Pers-Haush.";36
"2002";"3-Pers-Haush.";29
"2002";"4-Pers-Haush.";25
"2002";"5-u.m.-Pers-Hh.";23
"2002";"gewichtetes Mittel";36
"2005";"1-Pers-Haush.";54
"2005";"2-Pers-Haush.";36
"2005";"3-Pers-Haush.";29
"2005";"4-Pers-Haush.";25
"2005";"5-u.m.-Pers-Hh.";24
"2005";"gewichtetes Mittel";36
"2007";"1-Pers-Haush.";55
"2007";"2-Pers-Haush.";37
"2007";"3-Pers-Haush.";30
"2007";"4-Pers-Haush.";26
"2007";"5-u.m.-Pers-Hh.";23
"2007";"gewichtetes Mittel";38
"2010";"1-Pers-Haush.";55
"2010";"2-Pers-Haush.";38
"2010";"3-Pers-Haush.";30
"2010";"4-Pers-Haush.";25
"2010";"5-u.m.-Pers-Hh.";22
"2010";"gewichtetes Mittel";38
"2012";"1-Pers-Haush.";56
"2012";"2-Pers-Haush.";38
"2012";"3-Pers-Haush.";29
"2012";"4-Pers-Haush.";26
"2012";"5-u.m.-Pers-Hh.";24
"2012";"gewichtetes Mittel";39
"2014";"1-Pers-Haush.";59
"2014";"2-Pers-Haush.";39
"2014";"3-Pers-Haush.";30
"2014";"4-Pers-Haush.";27
"2014";"5-u.m.-Pers-Hh.";23
"2014";"gewichtetes Mittel";39
"2016";"1-Pers-Haush.";56
"2016";"2-Pers-Haush.";39
"2016";"3-Pers-Haush.";29
"2016";"4-Pers-Haush.";26
"2016";"5-u.m.-Pers-Hh.";24
"2016";"gewichtetes Mittel";44
"2018";"1-Pers-Haush.";56
"2018";"2-Pers-Haush.";40
"2018";"3-Pers-Haush.";30
"2018";"4-Pers-Haush.";26
"2018";"5-u.m.-Pers-Hh.";24
"2018";"gewichtetes Mittel";39
