"Jahr";"Stadtraum";"Anteil Wohnungen mit Bad";"Anteil Wohnungen mit IWC";"Anteil Wohnungen mit Balkon o.ä."
"1993";"01 StB Altstadt ohne Johannstadt";74;94;61
"1993";"02 Johannstadt";89;96;76
"1993";"03 StB Neustadt ohne Leipziger Vorstadt";64;64;40
"1993";"04 Leipziger Vorstadt, Pieschen";55;64;22
"1993";"05 Mickten, Kaditz, Trachau";69;82;46
"1993";"06 StB Klotzsche und nördliche OS";92;94;56
"1993";"07 StB Loschwitz und OS Schönfeld-Weißig";84;89;53
"1993";"08 Blasewitz, Striesen";83;86;52
"1993";"09 Tolkewitz, Seidnitz, Gruna";90;95;65
"1993";"10 StB Leuben";84;88;58
"1993";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";93;97;67
"1993";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";80;89;47
"1993";"13 Südvorstadt, Zschertnitz";89;96;62
"1993";"14 Mockritz, Coschütz, Plauen";79;84;50
"1993";"15 Cotta, Löbtau, Naußlitz, Dölzschen";51;63;38
"1993";"16 Gorbitz";96;97;81
"1993";"17 Briesnitz und westliche OS";74;74;22
"1993";"18 Dresden gesamt";80;86;55
"1995";"01 StB Altstadt ohne Johannstadt";85;97;56
"1995";"02 Johannstadt";91;92;68
"1995";"03 StB Neustadt ohne Leipziger Vorstadt";72;80;34
"1995";"04 Leipziger Vorstadt, Pieschen";59;67;26
"1995";"05 Mickten, Kaditz, Trachau";75;87;46
"1995";"06 StB Klotzsche und nördliche OS";83;86;51
"1995";"07 StB Loschwitz und OS Schönfeld-Weißig";77;86;49
"1995";"08 Blasewitz, Striesen";82;84;55
"1995";"09 Tolkewitz, Seidnitz, Gruna";89;96;72
"1995";"10 StB Leuben";89;95;58
"1995";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";98;96;62
"1995";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";79;88;52
"1995";"13 Südvorstadt, Zschertnitz";94;96;67
"1995";"14 Mockritz, Coschütz, Plauen";88;90;57
"1995";"15 Cotta, Löbtau, Naußlitz, Dölzschen";61;72;37
"1995";"16 Gorbitz";96;98;78
"1995";"17 Briesnitz und westliche OS";76;86;22
"1995";"18 Dresden gesamt";83;89;55
"1996";"01 StB Altstadt ohne Johannstadt";94;96;72
"1996";"02 Johannstadt";96;92;63
"1996";"03 StB Neustadt ohne Leipziger Vorstadt";86;85;41
"1996";"04 Leipziger Vorstadt, Pieschen";73;83;41
"1996";"05 Mickten, Kaditz, Trachau";80;86;51
"1996";"06 StB Klotzsche und nördliche OS";94;95;47
"1996";"07 StB Loschwitz und OS Schönfeld-Weißig";83;93;55
"1996";"08 Blasewitz, Striesen";94;95;66
"1996";"09 Tolkewitz, Seidnitz, Gruna";95;95;78
"1996";"10 StB Leuben";94;96;67
"1996";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";99;99;64
"1996";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";95;93;62
"1996";"13 Südvorstadt, Zschertnitz";96;95;69
"1996";"14 Mockritz, Coschütz, Plauen";95;94;66
"1996";"15 Cotta, Löbtau, Naußlitz, Dölzschen";79;87;40
"1996";"16 Gorbitz";99;98;77
"1996";"17 Briesnitz und westliche OS";80;91;34
"1996";"18 Dresden gesamt";91;93;61
"1998";"01 StB Altstadt ohne Johannstadt";97;93;62
"1998";"02 Johannstadt";99;97;70
"1998";"03 StB Neustadt ohne Leipziger Vorstadt";95;93;44
"1998";"04 Leipziger Vorstadt, Pieschen";84;90;43
"1998";"05 Mickten, Kaditz, Trachau";94;95;63
"1998";"06 StB Klotzsche und nördliche OS";94;96;64
"1998";"07 StB Loschwitz und OS Schönfeld-Weißig";93;92;64
"1998";"08 Blasewitz, Striesen";94;94;69
"1998";"09 Tolkewitz, Seidnitz, Gruna";99;99;75
"1998";"10 StB Leuben";97;95;63
"1998";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";99;98;72
"1998";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";96;97;64
"1998";"13 Südvorstadt, Zschertnitz";97;96;69
"1998";"14 Mockritz, Coschütz, Plauen";92;94;62
"1998";"15 Cotta, Löbtau, Naußlitz, Dölzschen";88;91;49
"1998";"16 Gorbitz";100;97;75
"1998";"17 Briesnitz und westliche OS";90;92;45
"1998";"18 Dresden gesamt";95;95;62
"2002";"01 StB Altstadt ohne Johannstadt";92;94;60
"2002";"02 Johannstadt";98;96;77
"2002";"03 StB Neustadt ohne Leipziger Vorstadt";95;91;49
"2002";"04 Leipziger Vorstadt, Pieschen";91;88;60
"2002";"05 Mickten, Kaditz, Trachau";94;96;65
"2002";"06 StB Klotzsche und nördliche OS";96;99;71
"2002";"07 StB Loschwitz und OS Schönfeld-Weißig";94;95;71
"2002";"08 Blasewitz, Striesen";97;97;72
"2002";"09 Tolkewitz, Seidnitz, Gruna";98;96;83
"2002";"10 StB Leuben";95;98;71
"2002";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";98;93;73
"2002";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";97;99;69
"2002";"13 Südvorstadt, Zschertnitz";96;96;75
"2002";"14 Mockritz, Coschütz, Plauen";97;94;72
"2002";"15 Cotta, Löbtau, Naußlitz, Dölzschen";93;95;60
"2002";"16 Gorbitz";99;97;75
"2002";"17 Briesnitz und westliche OS";94;95;58
"2002";"18 Dresden gesamt";96;95;69
"2005";"01 StB Altstadt ohne Johannstadt";99;100;75
"2005";"02 Johannstadt";100;99;78
"2005";"03 StB Neustadt ohne Leipziger Vorstadt";98;99;54
"2005";"04 Leipziger Vorstadt, Pieschen";97;98;51
"2005";"05 Mickten, Kaditz, Trachau";99;100;66
"2005";"06 StB Klotzsche und nördliche OS";99;97;82
"2005";"07 StB Loschwitz und OS Schönfeld-Weißig";97;96;74
"2005";"08 Blasewitz, Striesen";99;100;81
"2005";"09 Tolkewitz, Seidnitz, Gruna";99;100;89
"2005";"10 StB Leuben";99;100;79
"2005";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";99;100;78
"2005";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";100;100;79
"2005";"13 Südvorstadt, Zschertnitz";99;100;77
"2005";"14 Mockritz, Coschütz, Plauen";100;100;81
"2005";"15 Cotta, Löbtau, Naußlitz, Dölzschen";98;99;64
"2005";"16 Gorbitz";99;100;83
"2005";"17 Briesnitz und westliche OS";98;97;70
"2005";"18 Dresden gesamt";99;99;75
"2007";"01 StB Altstadt ohne Johannstadt";98;100;72
"2007";"02 Johannstadt";99;100;89
"2007";"03 StB Neustadt ohne Leipziger Vorstadt";96;98;63
"2007";"04 Leipziger Vorstadt, Pieschen";98;99;58
"2007";"05 Mickten, Kaditz, Trachau";99;100;69
"2007";"06 StB Klotzsche und nördliche OS";98;99;73
"2007";"07 StB Loschwitz und OS Schönfeld-Weißig";100;98;83
"2007";"08 Blasewitz, Striesen";100;100;78
"2007";"09 Tolkewitz, Seidnitz, Gruna";100;100;84
"2007";"10 StB Leuben";100;99;84
"2007";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";100;99;78
"2007";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";100;100;73
"2007";"13 Südvorstadt, Zschertnitz";99;99;70
"2007";"14 Mockritz, Coschütz, Plauen";99;99;79
"2007";"15 Cotta, Löbtau, Naußlitz, Dölzschen";97;98;66
"2007";"16 Gorbitz";99;100;80
"2007";"17 Briesnitz und westliche OS";99;98;72
"2007";"18 Dresden gesamt";99;99;74
"2010";"01 StB Altstadt ohne Johannstadt";100;100;74
"2010";"02 Johannstadt";97;100;84
"2010";"03 StB Neustadt ohne Leipziger Vorstadt";99;100;71
"2010";"04 Leipziger Vorstadt, Pieschen";100;99;58
"2010";"05 Mickten, Kaditz, Trachau";100;100;74
"2010";"06 StB Klotzsche und nördliche OS";97;100;73
"2010";"07 StB Loschwitz und OS Schönfeld-Weißig";100;98;87
"2010";"08 Blasewitz, Striesen";98;99;75
"2010";"09 Tolkewitz, Seidnitz, Gruna";100;100;88
"2010";"10 StB Leuben";100;100;82
"2010";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";100;98;84
"2010";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";98;100;79
"2010";"13 Südvorstadt, Zschertnitz";100;100;77
"2010";"14 Mockritz, Coschütz, Plauen";97;97;80
"2010";"15 Cotta, Löbtau, Naußlitz, Dölzschen";100;99;79
"2010";"16 Gorbitz";100;100;94
"2010";"17 Briesnitz und westliche OS";99;99;81
"2010";"18 Dresden gesamt";99;99;78
"2012";"01 StB Altstadt ohne Johannstadt";99;100;76
"2012";"02 Johannstadt";100;99;88
"2012";"03 StB Neustadt ohne Leipziger Vorstadt";98;99;65
"2012";"04 Leipziger Vorstadt, Pieschen";100;100;49
"2012";"05 Mickten, Kaditz, Trachau";100;99;65
"2012";"06 StB Klotzsche und nördliche OS";99;100;80
"2012";"07 StB Loschwitz und OS Schönfeld-Weißig";99;97;78
"2012";"08 Blasewitz, Striesen";98;100;81
"2012";"09 Tolkewitz, Seidnitz, Gruna";100;100;88
"2012";"10 StB Leuben";100;100;89
"2012";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";100;100;82
"2012";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";98;97;79
"2012";"13 Südvorstadt, Zschertnitz";100;99;72
"2012";"14 Mockritz, Coschütz, Plauen";99;99;79
"2012";"15 Cotta, Löbtau, Naußlitz, Dölzschen";100;99;53
"2012";"16 Gorbitz";99;97;88
"2012";"17 Briesnitz und westliche OS";100;100;73
"2012";"18 Dresden gesamt";99;99;75
"2014";"01 StB Altstadt ohne Johannstadt";100;98;67
"2014";"02 Johannstadt";100;100;84
"2014";"03 StB Neustadt ohne Leipziger Vorstadt";100;98;66
"2014";"04 Leipziger Vorstadt, Pieschen";100;98;65
"2014";"05 Mickten, Kaditz, Trachau";100;100;76
"2014";"06 StB Klotzsche und nördliche OS";99;98;78
"2014";"07 StB Loschwitz und OS Schönfeld-Weißig";100;99;91
"2014";"08 Blasewitz, Striesen";98;100;83
"2014";"09 Tolkewitz, Seidnitz, Gruna";100;100;88
"2014";"10 StB Leuben";99;100;86
"2014";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";99;100;84
"2014";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";100;100;82
"2014";"13 Südvorstadt, Zschertnitz";100;98;77
"2014";"14 Mockritz, Coschütz, Plauen";100;100;83
"2014";"15 Cotta, Löbtau, Naußlitz, Dölzschen";99;98;61
"2014";"16 Gorbitz";97;100;89
"2014";"17 Briesnitz und westliche OS";100;100;72
"2014";"18 Dresden gesamt";99;99;77
"2016";"01 StB Altstadt ohne Johannstadt";96;94;75
"2016";"02 Johannstadt";97;97;86
"2016";"03 StB Neustadt ohne Leipziger Vorstadt";100;100;60
"2016";"04 Leipziger Vorstadt, Pieschen";99;98;59
"2016";"05 Mickten, Kaditz, Trachau";98;99;67
"2016";"06 StB Klotzsche und nördliche OS";100;97;70
"2016";"07 StB Loschwitz und OS Schönfeld-Weißig";100;100;77
"2016";"08 Blasewitz, Striesen";99;99;79
"2016";"09 Tolkewitz, Seidnitz, Gruna";98;100;84
"2016";"10 StB Leuben";99;98;83
"2016";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";98;98;82
"2016";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";98;99;73
"2016";"13 Südvorstadt, Zschertnitz";98;100;84
"2016";"14 Mockritz, Coschütz, Plauen";100;99;77
"2016";"15 Cotta, Löbtau, Naußlitz, Dölzschen";97;99;67
"2016";"16 Gorbitz";100;100;85
"2016";"17 Briesnitz und westliche OS";99;98;71
"2016";"18 Dresden gesamt";99;98;74
"2018";"01 StB Altstadt ohne Johannstadt";100;97;78
"2018";"02 Johannstadt";99;98;85
"2018";"03 StB Neustadt ohne Leipziger Vorstadt";97;95;69
"2018";"04 Leipziger Vorstadt, Pieschen";98;95;65
"2018";"05 Mickten, Kaditz, Trachau";97;99;72
"2018";"06 StB Klotzsche und nördliche OS";100;95;83
"2018";"07 StB Loschwitz und OS Schönfeld-Weißig";100;97;81
"2018";"08 Blasewitz, Striesen";100;98;75
"2018";"09 Tolkewitz, Seidnitz, Gruna";100;99;88
"2018";"10 StB Leuben";100;99;82
"2018";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";96;98;84
"2018";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";99;99;77
"2018";"13 Südvorstadt, Zschertnitz";99;100;79
"2018";"14 Mockritz, Coschütz, Plauen";100;100;85
"2018";"15 Cotta, Löbtau, Naußlitz, Dölzschen";100;100;68
"2018";"16 Gorbitz";100;99;85
"2018";"17 Briesnitz und westliche OS";97;99;68
"2018";"18 Dresden gesamt";99;98;77
