"Jahr";"Steuereinnahmen (netto)";"Steuereinnahmen (brutto)";"Grundsteuer A und B";"Gewerbesteuer (brutto)";"Sonstige Gemeindesteuern";"Spielautomatensteuer";"Hundesteuer";"Zweitwohnungssteuer";"Beherbergungssteuer";"Gemeindeanteil an der Einkommenssteuer";"Gewerbesteuerumlage";"Gemeindeanteil Umsatzsteuer"
"1991";105;56;15;41;0;0;0;0;0;49;0;0
"1992";171;101;35;67;1;0;0;0;0;70;0;0
"1993";217;119;45;73;2;0;0;0;0;102;4;0
"1994";294;191;52;139;3;0;0;0;0;118;14;0
"1995";334;207;66;142;4;0;0;0;0;137;11;0
"1996";343;260;81;178;4;0;0;0;0;99;16;0
"1997";359;252;85;167;4;0;0;0;0;108;1;0
"1998";466;310;96;214;4;0;0;0;0;114;3;45
"1999";479;311;102;209;4;0;0;0;0;131;18;55
"2000";513;370;107;262;4;0;0;0;0;119;27;51
"2001";515;383;96;287;3;0;0;0;0;111;28;49
"2002";498;386;105;281;4;0;0;0;0;102;38;49
"2003";529;415;133;282;5;0;0;0;0;106;40;48
"2004";561;434;128;306;5;0;0;0;0;112;33;48
"2005";701;575;148;427;5;0;0;0;0;116;39;48
"2006";685;546;153;393;6;0;0;0;0;127;37;49
"2007";662;491;145;346;8;0;0;0;0;143;26;54
"2008";817;583;150;433;6;0;0;0;0;209;31;56
"2009";725;507;148;359;7;0;0;0;0;188;25;55
"2010";778;570;148;422;6;0;0;0;0;186;32;55
"2011";813;584;142;442;6;0;0;0;0;209;38;57
"2012";784;536;145;391;7;0;0;0;0;223;32;58
"2013";850;573;144;428;7;0;0;0;0;249;29;58
"2014";835;539;143;397;8;0;0;0;0;269;32;58
"2015";862;530;142;388;16;0;0;0;0;296;29;65
"2016";969;631;146;486;25;0;0;0;0;310;38;67
"2017";1164;807;144;636;27;5;3;2;17;327;50;80
"2018";1123;725;144;553;28;5;3;2;18;347;44;95
