"Jahr";"Quartal";"Monat";"Herkunftsland_24Auspr";"Herkunftsland_05Auspr";"Herkunftsland_D/A";"Tourismus_Ank¸nfte";"Tourismus_‹bernachtungen"
"2000";"1. Quartal";"01";"Deutschland";"Deutschland";"Deutschland";41075;84879
"2000";"1. Quartal";"01";"Belgien";"Europa ohne Deutschland";"Ausland";92;115
"2000";"1. Quartal";"01";"D‰nemark";"Europa ohne Deutschland";"Ausland";29;58
"2000";"1. Quartal";"01";"Frankreich";"Europa ohne Deutschland";"Ausland";198;404
"2000";"1. Quartal";"01";"Italien";"Europa ohne Deutschland";"Ausland";165;360
"2000";"1. Quartal";"01";"Niederlande";"Europa ohne Deutschland";"Ausland";246;472
"2000";"1. Quartal";"01";"÷sterreich";"Europa ohne Deutschland";"Ausland";326;632
"2000";"1. Quartal";"01";"Polen";"Europa ohne Deutschland";"Ausland";113;143
"2000";"1. Quartal";"01";"Schweden";"Europa ohne Deutschland";"Ausland";55;82
"2000";"1. Quartal";"01";"Schweiz";"Europa ohne Deutschland";"Ausland";659;2109
"2000";"1. Quartal";"01";"Russland";"Europa ohne Deutschland";"Ausland";111;205
"2000";"1. Quartal";"01";"Spanien";"Europa ohne Deutschland";"Ausland";59;103
"2000";"1. Quartal";"01";"Tschechische Republik";"Europa ohne Deutschland";"Ausland";59;91
"2000";"1. Quartal";"01";"Groﬂbritannien";"Europa ohne Deutschland";"Ausland";254;526
"2000";"1. Quartal";"01";"sonst.europ‰ische L‰nder (o.13 L‰nder)";"Europa ohne Deutschland";"Ausland";254;520
"2000";"1. Quartal";"01";"afrikanische L‰nder";"Sonst. Ausland";"Ausland";17;35
"2000";"1. Quartal";"01";"USA";"Amerika";"Ausland";714;1870
"2000";"1. Quartal";"01";"Kanada";"Amerika";"Ausland";18;27
"2000";"1. Quartal";"01";"amerik. L‰nder (o.USA, Kanada)";"Amerika";"Ausland";61;120
"2000";"1. Quartal";"01";"China";"Asien";"Ausland";51;250
"2000";"1. Quartal";"01";"Japan";"Asien";"Ausland";322;1029
"2000";"1. Quartal";"01";"asiatische L‰nder (o.China, Japan)";"Asien";"Ausland";113;460
"2000";"1. Quartal";"01";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";70;133
"2000";"1. Quartal";"01";"Ausl‰nder ohne Angabe";"Sonst. Ausland";"Ausland";23;45
"2000";"1. Quartal";"02";"Deutschland";"Deutschland";"Deutschland";46786;91664
"2000";"1. Quartal";"02";"Belgien";"Europa ohne Deutschland";"Ausland";107;168
"2000";"1. Quartal";"02";"D‰nemark";"Europa ohne Deutschland";"Ausland";46;78
"2000";"1. Quartal";"02";"Frankreich";"Europa ohne Deutschland";"Ausland";256;517
"2000";"1. Quartal";"02";"Italien";"Europa ohne Deutschland";"Ausland";139;281
