"Jahr";"Quartal";"Monat";"Wirtschaftszweig 2-Steller";"Auftragseingang insgesamt (in 1000 Euro)";"Auftragseingang Ausland (in 1000 Euro)";"Auftragseingang Eurozone (in 1000 Euro)";"Umsatz insgesamt aus Auftragseingang (in 1000 Euro)";"Umsazu Ausland aus Auftragseingang (in 1000 Euro)";"Umsatz Eurozone aus Auftragseingang (in 1000 Euro)"
"2014";"1. Quartal";"01";"";432689;205812;276036;119913;170368;113023
"2014";"1. Quartal";"01";"13-Herst. von Textilien";0;0;0;0;0;0
"2014";"1. Quartal";"01";"20-Herst. von chemischen Erzeugnissen";8194;2364;7280;1138;2252;1227
"2014";"1. Quartal";"01";"21-Herst. von pharmazeutischen Erzeugnissen";0;0;14110;0;0;0
"2014";"1. Quartal";"01";"25-Herst. von Metallerzeugnissen";10823;711;8080;545;807;409
"2014";"1. Quartal";"01";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";147603;110450;150655;94526;109814;94566
"2014";"1. Quartal";"01";"27-Herst. von elektrischen Ausrüstungen";29004;10018;21210;1210;9895;1525
"2014";"1. Quartal";"01";"28-Maschinenbau";64094;39348;27959;3016;17244;2669
"2014";"1. Quartal";"01";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2014";"1. Quartal";"01";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2014";"1. Quartal";"02";"";469863;367934;415054;28845;310327;213682
"2014";"1. Quartal";"02";"13-Herst. von Textilien";0;0;0;0;0;0
"2014";"1. Quartal";"02";"20-Herst. von chemischen Erzeugnissen";7293;1832;7469;1050;2403;1424
"2014";"1. Quartal";"02";"21-Herst. von pharmazeutischen Erzeugnissen";0;0;15966;0;0;0
"2014";"1. Quartal";"02";"25-Herst. von Metallerzeugnissen";9367;575;8746;195;755;575
"2014";"1. Quartal";"02";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";296825;0;247790;0;0;0
"2014";"1. Quartal";"02";"27-Herst. von elektrischen Ausrüstungen";33264;22510;21403;9113;12000;2613
"2014";"1. Quartal";"02";"28-Maschinenbau";67849;52594;70568;4265;57413;3354
"2014";"1. Quartal";"02";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2014";"1. Quartal";"02";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2014";"1. Quartal";"03";"";469327;374573;464288;296482;355305;257039
"2014";"1. Quartal";"03";"13-Herst. von Textilien";0;0;0;0;0;0
"2014";"1. Quartal";"03";"20-Herst. von chemischen Erzeugnissen";7337;2324;7749;1350;2553;1408
"2014";"1. Quartal";"03";"21-Herst. von pharmazeutischen Erzeugnissen";14333;0;16395;0;0;0
"2014";"1. Quartal";"03";"25-Herst. von Metallerzeugnissen";8566;1108;10176;424;1212;1066
"2014";"1. Quartal";"03";"26-Herst. DVgeräten,elektron.+opt. Erzeugnissen";309484;268657;289470;248727;0;0
"2014";"1. Quartal";"03";"27-Herst. von elektrischen Ausrüstungen";26671;15431;18204;919;9375;873
"2014";"1. Quartal";"03";"28-Maschinenbau";36988;24567;78831;4820;60754;2191
"2014";"1. Quartal";"03";"29-Herst. von Kraftwagen und Kraftwagenteilen";0;0;0;0;0;0
"2014";"1. Quartal";"03";"30-Sonstiger Fahrzeugbau";0;0;0;0;0;0
"2014";"2. Quartal";"04";"";353223;231003;338261;163691;240701;170117
"2014";"2. Quartal";"04";"13-Herst. von Textilien";0;0;0;0;0;0
"2014";"2. Quartal";"04";"20-Herst. von chemischen Erzeugnissen";7886;2557;8013;1571;2707;1691
"2014";"2. Quartal";"04";"21-Herst. von pharmazeutischen Erzeugnissen";0;0;16536;0;0;0
