"Jahr";"Quartal";"Monat";"Wirtschaftszweig 2-Steller";"Anzahl Betriebe";"Tätige Personen (absolut)";"Tätige Personen (Anteil an Gesamtsumme des verarb. Gewerbes)";"Geleistete Arbeitsstunden (gesamt in 1000h)";"Geleistete Arbeitsstunden je tätiger Person";"Entgelte (in 1000 EUR)";"Entgelte je tätiger Person";"Gesamtumsatz (in 1000 EUR)";"Absoluter Anteil des Umsatzes in der Europazone am Gesamtumsatz (in 1000 EUR)";"Absoluter Anteil des Umsatzes im Ausland am Gesamtumsatz (in 1000 EUR)";"Gesamtumsatz je tätiger Person";"Anteil des Gesamtumsatzes an Gesamtsumme des verarb. Gewerbes";"Umsatz aus eigenen Erzeugnissen gesamt (in 1000 EUR)";"Umsatz aus eigenen Erzeugnissen Ausland (in 1000 EUR)";"Umsatz aus eigenen Erzeugnissen je tätiger Person"
"2014";"1. Quartal";"01";"Verarbeitendes Gewerbe gesamt";119;23468;100;3455;147;78925;3363;371782;189612;0;15842;100;359553;186644;15321
"2014";"1. Quartal";"01";"Kohlenbergbau, Torfgewinnung";7;547;2;75;137;1126;2059;7199;0;0;13160;2;6871;0;12561
"2014";"1. Quartal";"01";"Gewinnung v.Erdöl u.Erbringung damit verbund.Dienstleistgen.";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"01";"Bergbau auf Uran- und Thoriumerze";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"01";"Tabakverarbeitung";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"01";"Bekleidungsgewerbe";7;1472;6;202;137;3502;2379;14838;0;0;10080;4;14256;0;9685
"2014";"1. Quartal";"01";"Holzgewerbe (ohne Herstellung von Möbeln) 20";5;483;2;72;149;1151;2383;8543;2278;0;17687;2;7280;2252;15072
"2014";"1. Quartal";"01";"Papiergewerbe";4;1424;6;206;145;4686;3291;14494;0;0;10178;4;14110;0;9909
"2014";"1. Quartal";"01";"Verlags-,Druckgew.,Vervielfält.v.besp.Ton-,Bild-u.Datenträg.";3;293;1;44;150;675;2304;6204;0;0;21174;2;6152;0;20997
"2014";"1. Quartal";"01";"Kokerei,Mineralölverarb.,Herst.u.Verarb.v.Spalt-u.Brutstoff. 23";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"01";"Herstellung von Gummi- und Kunststoffwaren 25";12;1161;5;178;153;2490;2145;8612;710;0;7417;2;8437;631;7267
"2014";"1. Quartal";"01";"Glasgewerbe, Keramik, Verarbeitung von Steinen und Erden 26";20;8088;35;1198;148;29981;3707;154112;110286;0;19054;42;150736;109615;18637
"2014";"1. Quartal";"01";"Metallerzeugung und -bearbeitung";11;1692;7;258;152;5740;3392;22261;11354;0;13156;6;20799;10064;12293
"2014";"1. Quartal";"01";"Herstellung von Metallerzeugnissen";22;3955;17;601;152;14022;3545;28684;17781;0;7252;8;28311;17706;7158
"2014";"1. Quartal";"01";"Maschinenbau 29";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"01";"Herst.v.Büromasch.,Datenverarbeitungsgeräten u.-einrichtgen.";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"01";"Rundfunk-, Fernseh- und Nachrichtentechnik";7;571;2;79;138;1044;1828;3148;0;0;5513;1;1389;0;2433
"2014";"1. Quartal";"01";"Medizin-, Meß-, Steuer- und Regelungstechnik, Optik";14;1372;0;196;143;5450;3972;11627;0;0;8474;3;11364;0;8283
"2014";"1. Quartal";"02";"Verarbeitendes Gewerbe gesamt";119;23452;100;3179;136;79025;3370;512998;328190;218297;21874;100;498067;324351;21238
"2014";"1. Quartal";"02";"Kohlenbergbau, Torfgewinnung";7;540;2;65;120;1089;2017;6094;0;0;11285;1;5754;0;10656
"2014";"1. Quartal";"02";"Gewinnung v.Erdöl u.Erbringung damit verbund.Dienstleistgen.";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"02";"Bergbau auf Uran- und Thoriumerze";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"02";"Tabakverarbeitung";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"02";"Bekleidungsgewerbe";7;1464;6;183;125;3484;2380;14890;0;0;10170;3;14344;0;9798
"2014";"1. Quartal";"02";"Holzgewerbe (ohne Herstellung von Möbeln) 20";5;476;2;64;134;1182;2483;8795;2488;1506;18476;2;7469;2403;15691
"2014";"1. Quartal";"02";"Papiergewerbe";4;1423;6;189;133;4713;3312;16602;11879;10853;11666;3;15966;11686;11220
"2014";"1. Quartal";"02";"Verlags-,Druckgew.,Vervielfält.v.besp.Ton-,Bild-u.Datenträg.";3;295;1;42;142;658;2231;5483;0;0;18586;1;5375;0;18220
"2014";"1. Quartal";"02";"Kokerei,Mineralölverarb.,Herst.u.Verarb.v.Spalt-u.Brutstoff. 23";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"02";"Herstellung von Gummi- und Kunststoffwaren 25";12;1173;5;168;143;2468;2104;9456;817;610;8061;2;9235;757;7873
"2014";"1. Quartal";"02";"Glasgewerbe, Keramik, Verarbeitung von Steinen und Erden 26";20;8073;34;1108;137;31426;3893;251728;0;0;31181;49;247908;0;30708
"2014";"1. Quartal";"02";"Metallerzeugung und -bearbeitung";11;1701;7;233;137;5694;3347;22479;13380;2694;13215;4;20970;12064;12328
"2014";"1. Quartal";"02";"Herstellung von Metallerzeugnissen";22;3959;17;550;139;13324;3365;73623;59217;3472;18596;14;71200;58058;17984
"2014";"1. Quartal";"02";"Maschinenbau 29";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"02";"Herst.v.Büromasch.,Datenverarbeitungsgeräten u.-einrichtgen.";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"02";"Rundfunk-, Fernseh- und Nachrichtentechnik";7;576;3;74;128;1075;1866;3036;0;0;5270;1;1899;0;3297
"2014";"1. Quartal";"02";"Medizin-, Meß-, Steuer- und Regelungstechnik, Optik";14;1375;6;193;140;4802;3492;14088;1408;526;10245;3;13853;1408;10075
"2014";"1. Quartal";"03";"Verarbeitendes Gewerbe gesamt";118;23428;100;3308;141;82406;3517;577647;374047;263689;24656;100;557426;370944;23793
"2014";"1. Quartal";"03";"Kohlenbergbau, Torfgewinnung";7;540;2;67;124;1150;2130;7765;0;0;14379;1;6940;0;12852
"2014";"1. Quartal";"03";"Gewinnung v.Erdöl u.Erbringung damit verbund.Dienstleistgen.";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"03";"Bergbau auf Uran- und Thoriumerze";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"03";"Tabakverarbeitung";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"03";"Bekleidungsgewerbe";7;1476;6;192;130;3576;2423;15165;0;0;10274;3;14579;0;9877
"2014";"1. Quartal";"03";"Holzgewerbe (ohne Herstellung von Möbeln) 20";5;479;2;68;142;1400;2923;9164;2570;1422;19131;2;7749;2553;16177
"2014";"1. Quartal";"03";"Papiergewerbe";4;1447;6;207;143;8400;5805;16906;0;0;11683;3;16395;0;11330
"2014";"1. Quartal";"03";"Verlags-,Druckgew.,Vervielfält.v.besp.Ton-,Bild-u.Datenträg.";3;295;1;44;149;681;2308;6112;0;0;20718;1;6087;0;20634
"2014";"1. Quartal";"03";"Kokerei,Mineralölverarb.,Herst.u.Verarb.v.Spalt-u.Brutstoff. 23";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"03";"Herstellung von Gummi- und Kunststoffwaren 25";12;1176;5;172;146;2508;2133;10667;0;0;9070;2;10596;0;9010
"2014";"1. Quartal";"03";"Glasgewerbe, Keramik, Verarbeitung von Steinen und Erden 26";20;8083;35;1128;140;29145;3606;293942;0;0;36365;51;289569;0;35824
"2014";"1. Quartal";"03";"Metallerzeugung und -bearbeitung";11;1698;7;246;145;7801;4594;19630;11062;1056;11560;3;17957;9596;10575
"2014";"1. Quartal";"03";"Herstellung von Metallerzeugnissen";21;3909;17;578;148;12950;3313;83311;62149;2561;21312;14;79443;61502;20323
"2014";"1. Quartal";"03";"Maschinenbau 29";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
