Statistischer Bezirk,Berufsbildende Schulen (cls:L546)
01 StB Altstadt ohne Johannstadt,30
02 Johannstadt,12
03 StB Neustadt ohne Leipziger Vorstadt,18
"04 Leipziger Vorstadt, Pieschen",6
"05 Mickten, Kaditz, Trachau",0
06 StB Klotzsche und nördliche OS,0
07 StB Loschwitz und OS Schönfeld-Weißig,0
"08 Blasewitz, Striesen",9
"09 Tolkewitz, Seidnitz, Gruna",0
10 StB Leuben,0
"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0
"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",6
"13 Südvorstadt, Zschertnitz",12
"14 Mockritz, Coschütz, Plauen",3
"15 Cotta, Löbtau, Naußlitz, Dölzschen",0
16 Gorbitz,6
17 Briesnitz und westliche OS,0
