Statistischer Bezirk,Grundschulen (cls:L542)
01 StB Altstadt ohne Johannstadt,18
02 Johannstadt,6
03 StB Neustadt ohne Leipziger Vorstadt,24
"04 Leipziger Vorstadt, Pieschen",18
"05 Mickten, Kaditz, Trachau",12
06 StB Klotzsche und nördliche OS,21
07 StB Loschwitz und OS Schönfeld-Weißig,21
"08 Blasewitz, Striesen",21
"09 Tolkewitz, Seidnitz, Gruna",15
10 StB Leuben,21
"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",9
"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",12
"13 Südvorstadt, Zschertnitz",6
"14 Mockritz, Coschütz, Plauen",21
"15 Cotta, Löbtau, Naußlitz, Dölzschen",15
16 Gorbitz,9
17 Briesnitz und westliche OS,15
