Statistischer Bezirk,Beratungs- und Vermittlungsstellen (cls:L605),Horte (cls:L606),Kindertagesstätten (cls:L608)
01 StB Altstadt ohne Johannstadt,0,15,45
02 Johannstadt,0,9,39
03 StB Neustadt ohne Leipziger Vorstadt,0,30,87
"04 Leipziger Vorstadt, Pieschen",3,24,66
"05 Mickten, Kaditz, Trachau",0,15,36
06 StB Klotzsche und nördliche OS,0,24,66
07 StB Loschwitz und OS Schönfeld-Weißig,0,18,66
"08 Blasewitz, Striesen",3,18,105
"09 Tolkewitz, Seidnitz, Gruna",0,12,48
10 StB Leuben,0,21,60
"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0,12,24
"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",3,15,33
"13 Südvorstadt, Zschertnitz",0,12,51
"14 Mockritz, Coschütz, Plauen",0,12,33
"15 Cotta, Löbtau, Naußlitz, Dölzschen",0,18,57
16 Gorbitz,0,12,30
17 Briesnitz und westliche OS,0,15,36
